method,cluster,original_cells,median_jaccard,q25,q75,evaluated_repeats,min_retained
k-means,0,4301,0.994,0.991,0.994,10,3412
k-means,1,4995,0.994,0.993,0.995,10,3954
k-means,2,7556,0.997,0.996,0.997,10,5986
k-means,3,3148,0.995,0.994,0.995,10,2496
Hierarchical (single),0,19999,1.0,1.0,1.0,10,15999
Hierarchical (single),1,1,1.0,1.0,1.0,8,0
Hierarchical (average),0,19995,1.0,0.999,1.0,10,15995
Hierarchical (average),1,5,0.204,0.121,0.6,10,3
Hierarchical (complete),0,19992,0.999,0.999,0.999,10,15992
Hierarchical (complete),1,8,0.236,0.192,0.277,10,3
Hierarchical (ward),0,2872,0.573,0.545,0.591,10,2258
Hierarchical (ward),1,1911,0.583,0.523,0.639,10,1517
Hierarchical (ward),2,6367,0.688,0.641,0.7,10,5054
Hierarchical (ward),3,7644,0.706,0.667,0.735,10,6068
Hierarchical (ward),4,519,0.482,0.174,0.734,10,404
Hierarchical (ward),5,687,0.635,0.606,0.66,10,538
Leiden,0,3588,0.78,0.677,0.895,10,2847
Leiden,1,2881,0.549,0.483,0.918,10,2270
Leiden,2,2200,0.651,0.645,0.786,10,1730
Leiden,3,2035,0.844,0.836,0.914,10,1593
Leiden,4,1887,0.763,0.754,0.782,10,1497
Leiden,5,1165,0.568,0.552,0.694,10,916
Leiden,6,1072,0.697,0.654,0.716,10,854
Leiden,7,857,0.845,0.759,0.85,10,665
Leiden,8,757,0.746,0.731,0.819,10,586
Leiden,9,615,0.916,0.902,0.923,10,481
Leiden,10,531,0.836,0.82,0.85,10,418
Leiden,11,506,0.848,0.81,0.861,10,391
Leiden,12,420,0.854,0.831,0.899,10,325
Leiden,13,401,0.76,0.747,0.768,10,315
Leiden,14,297,0.667,0.137,0.809,10,230
Leiden,15,284,0.111,0.105,0.319,10,217
Leiden,16,281,0.12,0.117,0.122,10,217
Leiden,17,223,0.734,0.582,0.764,10,170
