method,profile_kind,group_id,split_id,subset_id,marker,arcsinh_value,z_value
CellCNN,training_representative,1.0,9.0,2.0,CD3,2.9838152375713114,-0.16541532782796897
CellCNN,training_representative,1.0,9.0,2.0,CD19,0.6205761364065767,-0.051695831515209276
CellCNN,training_representative,1.0,9.0,2.0,CD56,3.6088942330885527,2.074163348792185
CellCNN,training_representative,1.0,9.0,2.0,CD16,3.640505138739236,1.7006476310784864
CellCNN,training_representative,1.0,9.0,2.0,CD94,3.792326634527348,2.402045584146958
CellCNN,training_representative,1.0,9.0,2.0,NKG2A,1.4209944809761597,0.5182796425426814
CellCNN,training_representative,1.0,9.0,2.0,NKG2C,3.665423781526048,4.595783006348568
CellCNN,training_representative,1.0,9.0,2.0,CD57,3.419557221338426,1.8821954367447473
Citrus,training_representative,1.0,25.0,139891.0,CD3,4.63331630787932,0.7335926548104996
Citrus,training_representative,1.0,25.0,139891.0,CD19,0.627336994290599,-0.04598974026970647
Citrus,training_representative,1.0,25.0,139891.0,CD56,0.658788823664042,-0.18188701674459945
Citrus,training_representative,1.0,25.0,139891.0,CD16,0.843952252488027,-0.09316283609458556
Citrus,training_representative,1.0,25.0,139891.0,CD94,1.19634651592608,0.4051736038941094
Citrus,training_representative,1.0,25.0,139891.0,NKG2A,0.29948229824366,-0.39747239524341677
Citrus,training_representative,1.0,25.0,139891.0,NKG2C,0.415780384651506,0.25238095836426166
Citrus,training_representative,1.0,25.0,139891.0,CD57,3.92875829735847,2.2427282019514325
SVM,donor_balanced_positive_oof,,,,CD3,3.8557576522415085,0.30980909324087924
SVM,donor_balanced_positive_oof,,,,CD19,0.7650847055395309,0.07026784460027186
SVM,donor_balanced_positive_oof,,,,CD56,2.523314626993227,1.243982074819199
SVM,donor_balanced_positive_oof,,,,CD16,3.48955807951551,1.603824711635156
SVM,donor_balanced_positive_oof,,,,CD94,3.1450852921095684,1.904176555076085
SVM,donor_balanced_positive_oof,,,,NKG2A,1.2620688113839749,0.3885115419136075
SVM,donor_balanced_positive_oof,,,,NKG2C,2.4743316521309326,3.0037954057618625
SVM,donor_balanced_positive_oof,,,,CD57,3.633599835252815,2.0337453432566965
