id,method,score,clusters,smallest,largest_pct,sizes,k,neighbors,resolution,stability,eligible
0,k-means,2.421,2,3785,81.075,"[16215, 3785]",2.0,,,0.997,True
1,k-means,2.422,3,3358,42.08,"[8416, 8226, 3358]",3.0,,,0.996,True
2,k-means,2.363,4,3148,37.78,"[7556, 4995, 4301, 3148]",4.0,,,0.995,True
3,k-means,2.428,6,543,24.335,"[4867, 4289, 3972, 3839, 2490, 543]",6.0,,,0.988,True
4,k-means,2.563,8,526,19.705,"[3941, 3078, 2878, 2866, 2798, 2144, 1769, 526]",8.0,,,0.975,True
5,k-means,2.648,10,500,19.02,"[3804, 2858, 2732, 2707, 2068, 1725, 1439, 138...",10.0,,,0.973,True
6,k-means,2.608,12,488,16.92,"[3384, 2824, 2701, 2532, 2026, 1589, 1261, 123...",12.0,,,0.769,True
7,Hierarchical (single),0.264,2,1,99.995,"[19999, 1]",2.0,,,1.0,True
8,Hierarchical (single),0.302,3,1,99.99,"[19998, 1, 1]",3.0,,,0.667,True
9,Hierarchical (single),0.303,4,1,99.985,"[19997, 1, 1, 1]",4.0,,,1.0,True
10,Hierarchical (single),0.425,6,1,99.97,"[19994, 2, 1, 1, 1, 1]",6.0,,,1.0,True
11,Hierarchical (single),0.412,8,1,99.96,"[19992, 2, 1, 1, 1, 1, 1, 1]",8.0,,,0.875,True
12,Hierarchical (single),0.329,10,1,99.955,"[19991, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10.0,,,1.0,True
13,Hierarchical (single),0.334,12,1,99.945,"[19989, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12.0,,,1.0,True
14,Hierarchical (average),0.894,2,5,99.975,"[19995, 5]",2.0,,,0.602,True
15,Hierarchical (average),1.63,3,5,99.79,"[19958, 37, 5]",3.0,,,0.449,False
16,Hierarchical (average),1.584,4,2,99.78,"[19956, 37, 5, 2]",4.0,,,0.427,False
17,Hierarchical (average),1.604,6,2,99.665,"[19933, 37, 23, 3, 2, 2]",6.0,,,0.502,False
18,Hierarchical (average),1.693,8,2,99.665,"[19933, 26, 15, 11, 8, 3, 2, 2]",8.0,,,0.474,False
19,Hierarchical (average),1.479,10,1,99.665,"[19933, 25, 15, 11, 7, 3, 2, 2, 1, 1]",10.0,,,0.617,True
20,Hierarchical (average),1.639,12,1,99.28,"[19856, 60, 25, 17, 15, 11, 7, 3, 2, 2, 1, 1]",12.0,,,0.568,False
21,Hierarchical (complete),0.948,2,8,99.96,"[19992, 8]",2.0,,,0.617,True
22,Hierarchical (complete),1.515,3,8,97.56,"[19512, 480, 8]",3.0,,,0.529,False
23,Hierarchical (complete),1.709,4,8,97.305,"[19461, 480, 51, 8]",4.0,,,0.514,False
24,Hierarchical (complete),2.115,6,8,95.645,"[19129, 468, 332, 51, 12, 8]",6.0,,,0.47,False
25,Hierarchical (complete),2.723,8,4,88.51,"[17702, 1427, 468, 332, 47, 12, 8, 4]",8.0,,,0.405,False
26,Hierarchical (complete),2.976,10,4,84.685,"[16937, 1427, 765, 468, 314, 47, 18, 12, 8, 4]",10.0,,,0.329,False
27,Hierarchical (complete),2.825,12,4,84.685,"[16937, 1125, 765, 468, 314, 302, 34, 18, 13, ...",12.0,,,0.309,False
28,Hierarchical (ward),2.553,2,2598,87.01,"[17402, 2598]",2.0,,,0.691,True
29,Hierarchical (ward),2.885,3,2598,48.79,"[9758, 7644, 2598]",3.0,,,0.653,True
30,Hierarchical (ward),2.77,4,2598,38.22,"[7644, 6886, 2872, 2598]",4.0,,,0.579,False
31,Hierarchical (ward),2.522,6,519,38.22,"[7644, 6367, 2872, 1911, 687, 519]",6.0,,,0.611,True
32,Hierarchical (ward),2.98,8,519,24.59,"[4918, 4339, 2872, 2726, 2028, 1911, 687, 519]",8.0,,,0.567,False
33,Hierarchical (ward),2.793,10,481,24.59,"[4918, 3390, 2872, 2726, 1911, 1547, 949, 687,...",10.0,,,0.563,False
34,Hierarchical (ward),2.83,12,481,16.95,"[3390, 3342, 2872, 2726, 1911, 1576, 949, 827,...",12.0,,,0.527,False
35,Leiden,2.392,7,291,28.53,"[5706, 3797, 3519, 3116, 3027, 544, 291]",,10.0,0.3,0.719,True
36,Leiden,2.557,13,438,20.885,"[4177, 2812, 2640, 2490, 1840, 1785, 892, 688,...",,10.0,0.7,0.604,True
37,Leiden,2.496,21,193,12.98,"[2596, 2203, 2195, 2190, 2132, 1452, 1191, 823...",,10.0,1.2,0.627,True
38,Leiden,2.443,6,293,29.015,"[5803, 4103, 3540, 3432, 2829, 293]",,30.0,0.3,0.762,True
39,Leiden,2.523,9,134,22.675,"[4535, 3598, 3531, 3138, 2845, 1128, 785, 306,...",,30.0,0.7,0.785,True
40,Leiden,2.361,18,223,17.94,"[3588, 2881, 2200, 2035, 1887, 1165, 1072, 857...",,30.0,1.2,0.683,True
41,Leiden,2.581,5,2952,29.165,"[5833, 4815, 3223, 3177, 2952]",,60.0,0.3,0.719,True
42,Leiden,2.479,10,283,21.225,"[4245, 3532, 3059, 2969, 2672, 1163, 881, 681,...",,60.0,0.7,0.694,True
43,Leiden,2.433,17,204,14.445,"[2889, 2744, 2351, 2317, 1670, 1621, 1105, 106...",,60.0,1.2,0.731,True
