split_id,donor_id,y_true,filter_id,frequency,n_selected_cells,n_cells,halfmax_threshold,training_donors,model,alpha,rho,pooled_response
0,a_002,1,3.0,0.0114,228.0,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b,cellcnn,,,
0,a_004,0,3.0,5e-05,1.0,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b,cellcnn,,,
0,a_006,0,3.0,0.00065,13.0,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b,cellcnn,,,
0,a_1a,0,3.0,0.0028,56.0,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b,cellcnn,,,
0,a_2a,0,3.0,0.0002,4.0,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b,cellcnn,,,
0,a_4a,1,3.0,0.00515,103.0,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b,cellcnn,,,
1,a_002,1,0.0,0.0457,914.0,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,cellcnn,,,
1,a_003,0,0.0,0.0041,82.0,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,cellcnn,,,
1,a_004,0,0.0,0.00105,21.0,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,cellcnn,,,
1,a_006,0,0.0,0.00065,13.0,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,cellcnn,,,
1,a_3b,0,0.0,0.0008,16.0,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,cellcnn,,,
1,a_5a,1,0.0,0.02525,505.0,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,cellcnn,,,
2,a_002,1,2.0,0.0518,1036.0,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,cellcnn,,,
2,a_004,0,2.0,0.00105,21.0,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,cellcnn,,,
2,a_007,1,2.0,0.004,80.0,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,cellcnn,,,
2,a_010,0,2.0,0.0004,8.0,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,cellcnn,,,
2,a_1a,0,2.0,0.0033,66.0,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,cellcnn,,,
2,a_3b,0,2.0,0.0011,22.0,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,cellcnn,,,
3,a_006,0,0.0,0.0001,2.0,20000,8.23436164855957,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,cellcnn,,,
3,a_009,0,0.0,0.00015,3.0,20000,8.23436164855957,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,cellcnn,,,
3,a_011,0,0.0,0.00015,3.0,20000,8.23436164855957,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,cellcnn,,,
3,a_2a,0,0.0,0.0007,14.0,20000,8.23436164855957,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,cellcnn,,,
3,a_5a,1,0.0,0.0075,150.0,20000,8.23436164855957,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,cellcnn,,,
3,a_5b,1,0.0,0.01235,247.0,20000,8.23436164855957,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,cellcnn,,,
4,a_001,1,2.0,0.0014,28.0,20000,6.318910598754883,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,cellcnn,,,
4,a_003,0,2.0,0.0037,74.0,20000,6.318910598754883,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,cellcnn,,,
4,a_010,0,2.0,0.00045,9.0,20000,6.318910598754883,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,cellcnn,,,
4,a_011,0,2.0,0.00055,11.0,20000,6.318910598754883,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,cellcnn,,,
4,a_2a,0,2.0,0.00085,17.0,20000,6.318910598754883,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,cellcnn,,,
4,a_4b,1,2.0,0.00515,103.0,20000,6.318910598754883,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,cellcnn,,,
5,a_003,0,1.0,0.00145,29.0,20000,6.925445079803467,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a,cellcnn,,,
5,a_011,0,1.0,0.0001,2.0,20000,6.925445079803467,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a,cellcnn,,,
5,a_2b,0,1.0,0.00035,7.0,20000,6.925445079803467,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a,cellcnn,,,
