split_id,positive_clusters,native_queries_checked,native_index_mismatches,max_centroid_error,null_positive_selection
0,1,384,0,4.884981308350689e-15,False
1,1,384,0,5.329070518200751e-15,False
2,6,384,0,4.884981308350689e-15,False
3,4,384,0,4.884981308350689e-15,False
4,1,384,0,5.329070518200751e-15,False
5,1,384,0,4.6629367034256575e-15,False
6,1,384,0,4.884981308350689e-15,False
7,1,384,0,4.884981308350689e-15,False
8,6,384,0,4.884981308350689e-15,False
9,7,384,0,5.329070518200751e-15,False
10,6,384,0,5.10702591327572e-15,False
11,4,384,0,4.6629367034256575e-15,False
12,7,384,0,4.884981308350689e-15,False
13,7,384,0,4.884981308350689e-15,False
14,2,384,0,4.884981308350689e-15,False
15,3,384,0,4.884981308350689e-15,False
16,3,384,0,4.884981308350689e-15,False
17,2,384,0,4.6629367034256575e-15,False
18,2,384,0,4.884981308350689e-15,False
19,0,0,0,0.0,True
20,4,384,0,5.329070518200751e-15,False
21,2,384,0,4.884981308350689e-15,False
22,1,384,0,4.884981308350689e-15,False
23,1,384,0,4.884981308350689e-15,False
24,0,0,0,0.0,True
25,4,384,0,4.884981308350689e-15,False
26,0,0,0,0.0,True
27,0,0,0,0.0,True
28,2,384,0,4.884981308350689e-15,False
29,2,384,0,4.884981308350689e-15,False
