method,group_id,n_centroids,n_splits,occurrences,frequency,positive_splits,negative_splits,representative_split_id,representative_subset_id,retained
CellCNN,1,58,30,30,1.0,30,0,9,2,True
CellCNN,2,25,30,20,0.6666666666666666,0,20,1,1,True
CellCNN,3,20,30,15,0.5,0,15,15,0,True
CellCNN,4,8,30,8,0.26666666666666666,2,6,23,2,True
CellCNN,5,5,30,5,0.16666666666666666,0,5,9,0,False
CellCNN,6,2,30,2,0.06666666666666667,0,2,0,0,False
CellCNN,7,2,30,2,0.06666666666666667,2,0,16,0,False
CellCNN,8,2,30,2,0.06666666666666667,0,2,22,0,False
CellCNN,9,1,30,1,0.03333333333333333,0,1,0,2,False
CellCNN,10,1,30,1,0.03333333333333333,0,1,12,1,False
CellCNN,11,1,30,1,0.03333333333333333,0,1,12,2,False
CellCNN,12,1,30,1,0.03333333333333333,0,1,18,1,False
CellCNN,13,1,30,1,0.03333333333333333,0,1,20,4,False
CellCNN,14,1,30,1,0.03333333333333333,1,0,24,1,False
CellCNN,15,2,30,1,0.03333333333333333,1,0,27,3,False
Citrus,1,28,30,18,0.6,18,0,25,139891,True
Citrus,2,19,30,11,0.36666666666666664,11,0,12,139875,True
Citrus,3,17,30,10,0.3333333333333333,4,7,3,139847,True
Citrus,4,6,30,6,0.2,0,6,8,139775,True
Citrus,5,7,30,6,0.2,6,0,20,139062,True
Citrus,6,5,30,5,0.16666666666666666,0,5,3,138914,False
Citrus,7,6,30,5,0.16666666666666666,3,2,3,139993,False
Citrus,8,7,30,5,0.16666666666666666,3,2,11,139341,False
Citrus,9,5,30,5,0.16666666666666666,2,3,12,139942,False
Citrus,10,5,30,5,0.16666666666666666,0,5,27,137845,False
Citrus,11,4,30,4,0.13333333333333333,4,0,20,137822,False
Citrus,12,4,30,3,0.1,3,0,12,138051,False
Citrus,13,4,30,3,0.1,1,2,15,137511,False
Citrus,14,2,30,2,0.06666666666666667,0,2,3,137807,False
Citrus,15,2,30,2,0.06666666666666667,2,0,8,138245,False
Citrus,16,1,30,1,0.03333333333333333,1,0,8,138875,False
Citrus,17,1,30,1,0.03333333333333333,0,1,16,138291,False
