method,marker,mean_z,median_z,q1_z,q3_z,n_donors
CellCNN,CD3,-0.10483884887001334,-0.04474943481330983,-0.4099901422276633,0.23380898473318568,20
CellCNN,CD27,0.0943680577919729,-0.06003362288884609,-0.18300485730430388,0.4075509685684335,20
CellCNN,CD19,0.06146927602495479,0.05676885949723942,-0.05087757061508642,0.18865126701514878,20
CellCNN,CD4,0.04154075518164875,0.0945564293683987,-0.16376302898016692,0.19752196001772107,20
CellCNN,CD8,0.6006697300631377,0.6173037261061525,0.3387000077137212,0.7525274943827672,20
CellCNN,CD57,1.6701601236869288,1.521048920472,1.2489515371738573,1.9989046516176157,20
CellCNN,2DL1-S1,1.6153970296635252,1.6445325711864573,1.1452777202189592,1.9395007828177535,20
CellCNN,TRAIL,0.724375362765955,0.6856553123624445,0.4904994457383791,0.8425426814610226,20
CellCNN,2DL2-L3-S2,1.7343230532968388,1.6689921723955976,1.4614866751080886,1.991192862947698,20
CellCNN,CD16,1.3057674820517193,1.3600620910580596,1.0098517931299122,1.5661897675382548,20
CellCNN,CD10,1.0105107313964499,1.03239477531065,0.7254532448686345,1.2250501618188556,20
CellCNN,3DL1-S1,0.9970037896595472,0.9101254236504688,0.4181339132807524,1.3944345939725593,20
CellCNN,CD117,0.6370126348019635,0.6254959433685121,0.4493922390285129,0.7349430713156102,20
CellCNN,2DS4,0.9350987451723602,1.0443893947767888,0.018189310565761452,1.641838336913044,20
CellCNN,ILT2-CD85j,0.1577865325935826,0.19200277507889668,-0.11458641307870077,0.33896415691490184,20
CellCNN,NKp46,0.8123576228539191,0.7741630444715841,0.4989602254420113,1.1117516937714522,20
CellCNN,NKG2D,0.945625521755242,0.9661386589371621,0.6834835716364909,1.1217677256808134,20
CellCNN,NKG2C,2.8619782468233117,2.7166840292703753,2.1816134723914478,3.6131191848782436,20
CellCNN,2B4,0.6160329915317592,0.6553801495600264,0.285904632403739,0.903670357858698,20
CellCNN,CD33,-0.13534954088943876,-0.124323211404014,-0.7402315242106897,0.32553219952955564,20
CellCNN,CD11b,0.24098961429716156,0.19420922547457753,0.013601419759526785,0.47643050250122865,20
CellCNN,NKp30,1.0771640537141036,1.0819787704548953,0.923389733538912,1.1879563150031274,20
CellCNN,CD122,0.9155270043641405,0.9482165884965819,0.6398287904725188,1.1378100977440377,20
CellCNN,3DL1,1.0892433246906081,1.064531817614708,0.4600562527358158,1.466893451061488,20
CellCNN,NKp44,0.9062524096525479,0.8643461845704568,0.5394205541667475,1.290478780516373,20
CellCNN,CD127,-0.05019953384914048,-0.11030481661496401,-0.3122072908655106,0.11356075917947997,20
CellCNN,2DL1,0.7533129029980694,0.6314580228878903,0.465166676029832,0.8699159232503323,20
CellCNN,CD94,1.6735721488278983,1.7306852730000934,1.4048268217178508,2.0294221873445606,20
CellCNN,CD34,0.3603923838042845,0.30034829447356015,0.1784911797714279,0.5215988544945767,20
CellCNN,CCR7,-0.08235287334466126,-0.10701178561832864,-0.3010334842462786,-0.031611667813996526,20
CellCNN,2DL3,1.5441265546022656,1.6704031293065436,1.0380387250450689,1.9352771465794454,20
CellCNN,NKG2A,0.5111269291615549,0.23367224976331286,0.0941669458215853,0.8599718507880982,20
CellCNN,HLA-DR,-0.19170240268697777,-0.13341019553213904,-0.3838098628404459,-0.04437758554580701,20
CellCNN,2DL4,0.05096391996087866,0.08159878112414966,-0.042280434856768134,0.18137457310557778,20
CellCNN,CD56,1.5496726688402596,1.6008445396665023,1.347726014733606,1.7337343650773454,20
CellCNN,2DL5,0.3445354549607953,0.35368273486909313,0.23978931529844244,0.5067177621094894,20
CellCNN,CD25,0.26659059615296987,0.2343142664991647,0.17112685525659976,0.38382792646734315,20
Citrus,CD3,0.4307033248451974,0.5195947431808764,0.11753483386299544,0.6387139752742662,20
Citrus,CD27,0.1754588766602476,0.06600195257010197,-0.13756677361779818,0.47902223708444436,20
Citrus,CD19,0.022975113639062513,0.019257310055596985,-0.058029036301973314,0.08327925275603629,20
