split_id,first,second,auc_difference
0,CellCNN,SVM,0.0
1,CellCNN,SVM,0.125
2,CellCNN,SVM,0.25
3,CellCNN,SVM,0.0
4,CellCNN,SVM,0.375
5,CellCNN,SVM,0.0
6,CellCNN,SVM,0.125
7,CellCNN,SVM,0.125
8,CellCNN,SVM,-0.25
9,CellCNN,SVM,0.375
10,CellCNN,SVM,0.0
11,CellCNN,SVM,0.125
12,CellCNN,SVM,0.0
13,CellCNN,SVM,0.125
14,CellCNN,SVM,0.0
15,CellCNN,SVM,-0.125
16,CellCNN,SVM,0.125
17,CellCNN,SVM,-0.25
18,CellCNN,SVM,0.0
19,CellCNN,SVM,-0.375
20,CellCNN,SVM,0.0
21,CellCNN,SVM,0.0
22,CellCNN,SVM,-0.375
23,CellCNN,SVM,-0.25
24,CellCNN,SVM,0.0
25,CellCNN,SVM,0.125
26,CellCNN,SVM,0.0
27,CellCNN,SVM,0.0
28,CellCNN,SVM,0.125
29,CellCNN,SVM,0.125
0,CellCNN,Citrus,0.5
1,CellCNN,Citrus,0.3125
2,CellCNN,Citrus,0.25
3,CellCNN,Citrus,0.75
4,CellCNN,Citrus,0.0
5,CellCNN,Citrus,0.75
6,CellCNN,Citrus,0.375
7,CellCNN,Citrus,0.0625
8,CellCNN,Citrus,0.5
9,CellCNN,Citrus,0.375
10,CellCNN,Citrus,0.125
11,CellCNN,Citrus,0.125
12,CellCNN,Citrus,0.125
13,CellCNN,Citrus,0.25
14,CellCNN,Citrus,0.0
15,CellCNN,Citrus,0.25
16,CellCNN,Citrus,0.125
17,CellCNN,Citrus,0.125
18,CellCNN,Citrus,0.125
19,CellCNN,Citrus,0.0
20,CellCNN,Citrus,0.25
21,CellCNN,Citrus,-0.125
22,CellCNN,Citrus,0.0
23,CellCNN,Citrus,-0.25
24,CellCNN,Citrus,0.5
25,CellCNN,Citrus,0.0
26,CellCNN,Citrus,0.375
27,CellCNN,Citrus,0.4375
28,CellCNN,Citrus,0.0
29,CellCNN,Citrus,0.25
0,SVM,Citrus,0.5
1,SVM,Citrus,0.1875
2,SVM,Citrus,0.0
3,SVM,Citrus,0.75
4,SVM,Citrus,-0.375
5,SVM,Citrus,0.75
6,SVM,Citrus,0.25
7,SVM,Citrus,-0.0625
8,SVM,Citrus,0.75
9,SVM,Citrus,0.0
10,SVM,Citrus,0.125
11,SVM,Citrus,0.0
12,SVM,Citrus,0.125
13,SVM,Citrus,0.125
14,SVM,Citrus,0.0
15,SVM,Citrus,0.375
16,SVM,Citrus,0.0
17,SVM,Citrus,0.375
18,SVM,Citrus,0.125
19,SVM,Citrus,0.375
20,SVM,Citrus,0.25
21,SVM,Citrus,-0.125
22,SVM,Citrus,0.375
23,SVM,Citrus,0.0
24,SVM,Citrus,0.5
25,SVM,Citrus,-0.125
26,SVM,Citrus,0.375
27,SVM,Citrus,0.4375
28,SVM,Citrus,-0.125
29,SVM,Citrus,0.125
