method,split_id,roc_auc,average_precision,balanced_accuracy
CellCNN,0,1.0,1.0,0.875
CellCNN,1,1.0,1.0,1.0
CellCNN,2,1.0,1.0,0.75
CellCNN,3,1.0,1.0,0.875
CellCNN,4,0.875,0.8333333333333333,0.625
CellCNN,5,1.0,1.0,0.875
CellCNN,6,0.625,0.7,0.625
CellCNN,7,0.75,0.75,0.5
CellCNN,8,0.5,0.6666666666666666,0.5
CellCNN,9,1.0,1.0,0.75
CellCNN,10,0.875,0.8333333333333333,0.5
CellCNN,11,0.875,0.8333333333333333,0.75
CellCNN,12,0.75,0.75,0.5
CellCNN,13,1.0,1.0,0.75
CellCNN,14,1.0,1.0,0.875
CellCNN,15,0.625,0.5,0.5
CellCNN,16,0.625,0.7,0.5
CellCNN,17,0.625,0.7,0.5
CellCNN,18,1.0,1.0,0.75
CellCNN,19,0.5,0.6666666666666666,0.5
CellCNN,20,0.75,0.75,0.625
CellCNN,21,0.625,0.7,0.375
CellCNN,22,0.625,0.7,0.5
CellCNN,23,0.625,0.7,0.625
CellCNN,24,1.0,1.0,0.875
CellCNN,25,0.875,0.8333333333333333,0.875
CellCNN,26,0.875,0.8333333333333333,0.625
CellCNN,27,0.75,0.75,0.5
CellCNN,28,1.0,1.0,0.875
CellCNN,29,1.0,1.0,1.0
SVM,0,1.0,1.0,0.75
SVM,1,0.875,0.8333333333333333,0.625
SVM,2,0.75,0.75,0.5
SVM,3,1.0,1.0,1.0
SVM,4,0.5,0.45,0.5
SVM,5,1.0,1.0,0.75
SVM,6,0.5,0.6666666666666666,0.75
SVM,7,0.625,0.7,0.5
SVM,8,0.75,0.75,0.5
SVM,9,0.625,0.5,0.5
SVM,10,0.875,0.8333333333333333,0.5
SVM,11,0.75,0.75,0.75
SVM,12,0.75,0.75,0.75
SVM,13,0.875,0.8333333333333333,0.75
SVM,14,1.0,1.0,0.5
SVM,15,0.75,0.5833333333333333,0.625
SVM,16,0.5,0.6666666666666666,0.375
SVM,17,0.875,0.8333333333333333,0.75
SVM,18,1.0,1.0,0.5
SVM,19,0.875,0.8333333333333333,0.625
SVM,20,0.75,0.5833333333333333,0.375
SVM,21,0.625,0.7,0.375
SVM,22,1.0,1.0,0.75
SVM,23,0.875,0.8333333333333333,0.625
SVM,24,1.0,1.0,0.875
SVM,25,0.75,0.75,0.5
SVM,26,0.875,0.8333333333333333,0.875
SVM,27,0.75,0.75,0.5
SVM,28,0.875,0.8333333333333333,0.875
SVM,29,0.875,0.8333333333333333,0.5
Citrus,0,0.5,0.45,0.5
Citrus,1,0.6875,0.7,0.5
Citrus,2,0.75,0.5833333333333333,0.375
Citrus,3,0.25,0.325,0.625
Citrus,4,0.875,0.8333333333333333,0.5
Citrus,5,0.25,0.325,0.125
Citrus,6,0.25,0.3333333333333333,0.25
Citrus,7,0.6875,0.7,0.625
Citrus,8,0.0,0.26666666666666666,0.25
Citrus,9,0.625,0.5,0.625
Citrus,10,0.75,0.75,0.625
Citrus,11,0.75,0.75,0.625
Citrus,12,0.625,0.5,0.625
Citrus,13,0.75,0.75,0.5
Citrus,14,1.0,1.0,0.75
Citrus,15,0.375,0.3666666666666667,0.5
Citrus,16,0.5,0.45,0.5
Citrus,17,0.5,0.45,0.375
Citrus,18,0.875,0.8333333333333333,0.625
Citrus,19,0.5,0.3333333333333333,0.5
Citrus,20,0.5,0.45,0.625
Citrus,21,0.75,0.75,0.625
Citrus,22,0.625,0.7,0.375
Citrus,23,0.875,0.8333333333333333,0.625
Citrus,24,0.5,0.3333333333333333,0.5
Citrus,25,0.875,0.8333333333333333,0.5
Citrus,26,0.5,0.3333333333333333,0.5
Citrus,27,0.3125,0.3333333333333333,0.5
Citrus,28,1.0,1.0,0.75
Citrus,29,0.75,0.5833333333333333,0.875
