donor,event,method,cluster
a_001_NK.fcs,360,k-means,0
a_001_NK.fcs,401,k-means,3
a_001_NK.fcs,433,k-means,1
a_001_NK.fcs,446,k-means,1
a_001_NK.fcs,449,k-means,3
a_001_NK.fcs,532,k-means,0
a_001_NK.fcs,579,k-means,2
a_001_NK.fcs,599,k-means,0
a_001_NK.fcs,644,k-means,3
a_001_NK.fcs,809,k-means,0
a_001_NK.fcs,993,k-means,0
a_001_NK.fcs,1010,k-means,0
a_001_NK.fcs,1139,k-means,0
a_001_NK.fcs,1197,k-means,0
a_001_NK.fcs,1294,k-means,0
a_001_NK.fcs,1459,k-means,0
a_001_NK.fcs,1468,k-means,0
a_001_NK.fcs,1592,k-means,3
a_001_NK.fcs,1731,k-means,0
a_001_NK.fcs,1764,k-means,0
a_001_NK.fcs,1806,k-means,2
a_001_NK.fcs,1850,k-means,1
a_001_NK.fcs,1860,k-means,2
a_001_NK.fcs,1968,k-means,0
a_001_NK.fcs,2032,k-means,2
a_001_NK.fcs,2052,k-means,2
a_001_NK.fcs,2382,k-means,0
a_001_NK.fcs,2510,k-means,1
a_001_NK.fcs,2607,k-means,0
a_001_NK.fcs,2658,k-means,0
a_001_NK.fcs,2826,k-means,3
a_001_NK.fcs,2881,k-means,2
a_001_NK.fcs,2967,k-means,3
a_001_NK.fcs,2971,k-means,1
a_001_NK.fcs,3034,k-means,3
a_001_NK.fcs,3054,k-means,2
a_001_NK.fcs,3300,k-means,3
a_001_NK.fcs,3394,k-means,2
a_001_NK.fcs,3482,k-means,2
a_001_NK.fcs,3550,k-means,2
a_001_NK.fcs,3559,k-means,3
a_001_NK.fcs,3564,k-means,2
a_001_NK.fcs,3627,k-means,3
a_001_NK.fcs,3659,k-means,0
a_001_NK.fcs,3668,k-means,2
a_001_NK.fcs,4033,k-means,2
a_001_NK.fcs,4113,k-means,2
a_001_NK.fcs,4244,k-means,2
a_001_NK.fcs,4256,k-means,3
a_001_NK.fcs,4359,k-means,2
a_001_NK.fcs,4370,k-means,0
a_001_NK.fcs,4481,k-means,0
a_001_NK.fcs,4535,k-means,0
a_001_NK.fcs,4703,k-means,0
a_001_NK.fcs,4750,k-means,0
a_001_NK.fcs,5009,k-means,0
a_001_NK.fcs,5192,k-means,2
a_001_NK.fcs,5300,k-means,1
a_001_NK.fcs,5447,k-means,2
a_001_NK.fcs,5526,k-means,0
a_001_NK.fcs,5527,k-means,1
a_001_NK.fcs,5772,k-means,2
a_001_NK.fcs,5941,k-means,3
a_001_NK.fcs,6213,k-means,0
a_001_NK.fcs,6450,k-means,1
a_001_NK.fcs,6462,k-means,1
a_001_NK.fcs,6612,k-means,2
a_001_NK.fcs,6751,k-means,0
a_001_NK.fcs,6888,k-means,2
a_001_NK.fcs,6899,k-means,2
a_001_NK.fcs,6928,k-means,0
a_001_NK.fcs,6990,k-means,0
a_001_NK.fcs,7071,k-means,2
a_001_NK.fcs,7079,k-means,3
a_001_NK.fcs,7145,k-means,2
a_001_NK.fcs,7196,k-means,2
a_001_NK.fcs,7258,k-means,2
a_001_NK.fcs,7338,k-means,1
a_001_NK.fcs,7377,k-means,2
a_001_NK.fcs,7390,k-means,2
a_001_NK.fcs,7427,k-means,2
a_001_NK.fcs,7429,k-means,3
a_001_NK.fcs,7495,k-means,2
a_001_NK.fcs,7542,k-means,3
a_001_NK.fcs,7643,k-means,2
a_001_NK.fcs,7659,k-means,3
a_001_NK.fcs,7685,k-means,2
a_001_NK.fcs,7717,k-means,2
a_001_NK.fcs,7723,k-means,3
a_001_NK.fcs,7796,k-means,0
a_001_NK.fcs,7797,k-means,2
a_001_NK.fcs,7838,k-means,0
a_001_NK.fcs,7856,k-means,1
a_001_NK.fcs,7859,k-means,1
a_001_NK.fcs,7915,k-means,2
a_001_NK.fcs,8118,k-means,2
a_001_NK.fcs,8219,k-means,2
a_001_NK.fcs,8327,k-means,2
a_001_NK.fcs,8435,k-means,2
a_001_NK.fcs,8615,k-means,1
a_001_NK.fcs,8650,k-means,1
a_001_NK.fcs,8660,k-means,0
a_001_NK.fcs,8741,k-means,3
a_001_NK.fcs,8742,k-means,0
a_001_NK.fcs,8796,k-means,2
a_001_NK.fcs,8863,k-means,1
a_001_NK.fcs,8928,k-means,1
a_001_NK.fcs,9082,k-means,1
a_001_NK.fcs,9305,k-means,2
a_001_NK.fcs,9327,k-means,2
a_001_NK.fcs,9348,k-means,3
a_001_NK.fcs,9454,k-means,1
a_001_NK.fcs,9474,k-means,0
a_001_NK.fcs,9608,k-means,1
a_001_NK.fcs,9620,k-means,2
a_001_NK.fcs,9704,k-means,0
a_001_NK.fcs,9727,k-means,2
a_001_NK.fcs,9728,k-means,0
a_001_NK.fcs,9808,k-means,0
a_001_NK.fcs,9823,k-means,3
a_001_NK.fcs,9881,k-means,1
a_001_NK.fcs,9958,k-means,0
a_001_NK.fcs,10010,k-means,3
a_001_NK.fcs,10030,k-means,0
a_001_NK.fcs,10077,k-means,2
a_001_NK.fcs,10118,k-means,3
a_001_NK.fcs,10268,k-means,0
a_001_NK.fcs,10289,k-means,1
a_001_NK.fcs,10403,k-means,0
a_001_NK.fcs,10421,k-means,0
a_001_NK.fcs,10500,k-means,3
a_001_NK.fcs,10575,k-means,2
a_001_NK.fcs,10609,k-means,0
a_001_NK.fcs,10640,k-means,0
a_001_NK.fcs,10715,k-means,2
a_001_NK.fcs,10774,k-means,2
a_001_NK.fcs,10810,k-means,2
