method,cluster,cells,marker,median_arcsinh,relative_iqr
k-means,0,4301,CD3,1.2735267,-0.8219545875582112
k-means,0,4301,CD27,-0.03849079,-0.20745586445974507
k-means,0,4301,CD19,1.8693916,1.359374316592672
k-means,0,4301,CD4,-0.03195984,-0.31398764315909505
k-means,0,4301,CD8,0.36286238,-0.44356999469123765
k-means,0,4301,CD57,-0.07656563,-0.034277443319186286
k-means,0,4301,2DL1-S1,-0.08684307,-0.11746366613099253
k-means,0,4301,TRAIL,-0.09762866,-0.05844849819024276
k-means,0,4301,2DL2-L3-S2,-0.08581342,-0.09488977515588326
k-means,0,4301,CD16,-0.044321246,-0.031134327540902357
k-means,0,4301,CD10,-0.07619464,-0.0643647445820713
k-means,0,4301,3DL1-S1,-0.093289986,-0.046333221718161496
k-means,0,4301,CD117,-0.09070249,-0.06196504472267261
k-means,0,4301,2DS4,-0.08653902,-0.13557448801514574
k-means,0,4301,ILT2-CD85j,1.3944116,0.14318897639290062
k-means,0,4301,NKp46,-0.079426385,-0.05559161715490635
k-means,0,4301,NKG2D,-0.07678741,-0.042391082186767966
k-means,0,4301,NKG2C,-0.09042936,-0.1559594517825736
k-means,0,4301,2B4,0.25306803,-0.36493060595558613
k-means,0,4301,CD33,1.5901563,-0.1842993979106213
k-means,0,4301,CD11b,-0.06789206,-0.10799765400805503
k-means,0,4301,NKp30,-0.07910869,-0.04428206695961662
k-means,0,4301,CD122,-0.081782274,-0.04669114944807325
k-means,0,4301,3DL1,-0.088654965,-0.07282623273164901
k-means,0,4301,NKp44,-0.09226614,-0.0550282407704366
k-means,0,4301,CD127,-0.07770645,-0.10891979377423366
k-means,0,4301,2DL1,-0.09418194,-0.1472253187447533
k-means,0,4301,CD94,-0.08243668,-0.03622810434411312
k-means,0,4301,CD34,-0.07000662,-0.03508437358910908
k-means,0,4301,CCR7,-0.02458562,-0.008036310386584828
k-means,0,4301,2DL3,-0.072722904,-0.04363942661587573
k-means,0,4301,NKG2A,0.3162547,0.11646121058505783
k-means,0,4301,HLA-DR,5.365153,0.5309405445071718
k-means,0,4301,2DL4,1.5879241,0.5109062201022749
k-means,0,4301,CD56,0.21820997,-0.025397056546155497
k-means,0,4301,2DL5,-0.07773929,-0.06078145520082842
k-means,0,4301,CD25,-0.077844456,-0.015184622182048435
k-means,1,4995,CD3,3.4533517,-0.045219104266174134
k-means,1,4995,CD27,0.12300791,-0.11506622153572477
k-means,1,4995,CD19,-0.038334157,-0.010260244639709218
k-means,1,4995,CD4,1.16677,0.24255109842315414
k-means,1,4995,CD8,1.5818325,-0.020998792213946068
k-means,1,4995,CD57,-0.05245615,-0.015686189220602578
k-means,1,4995,2DL1-S1,-0.082206875,-0.08049288199816436
k-means,1,4995,TRAIL,-0.08901704,0.021478532898639272
k-means,1,4995,2DL2-L3-S2,-0.07606843,-0.016332491428551116
k-means,1,4995,CD16,0.5278912,0.27710302950063176
k-means,1,4995,CD10,-0.06312304,0.02189301141062407
k-means,1,4995,3DL1-S1,-0.08850722,-0.002901695647102173
k-means,1,4995,CD117,-0.077777304,0.0490966467273479
k-means,1,4995,2DS4,-0.017645132,0.38605118211317374
k-means,1,4995,ILT2-CD85j,2.8851075,0.7413360593288238
k-means,1,4995,NKp46,-0.039569695,0.0583076796096622
k-means,1,4995,NKG2D,-0.041025303,-0.015541100432235845
k-means,1,4995,NKG2C,-0.059257057,0.04702023090026212
k-means,1,4995,2B4,2.526934,0.622575879004422
k-means,1,4995,CD33,4.5792584,0.8055069392273674
k-means,1,4995,CD11b,1.1582692,0.7444265401071606
k-means,1,4995,NKp30,-0.048110083,-0.0020541604055900335
k-means,1,4995,CD122,-0.06570696,-0.02599683710874572
k-means,1,4995,3DL1,-0.08411993,-0.0345495324019991
k-means,1,4995,NKp44,-0.08560437,0.003862382009106009
k-means,1,4995,CD127,0.0784963,-0.029303257008189136
k-means,1,4995,2DL1,-0.08037051,-0.038565659440417566
k-means,1,4995,CD94,-0.04448395,-0.003768312794679916
k-means,1,4995,CD34,1.6586357,1.3686056031214644
k-means,1,4995,CCR7,-0.025924454,-0.009094631382464354
k-means,1,4995,2DL3,-0.038561262,0.1625050537475962
k-means,1,4995,NKG2A,0.62721056,0.31901396960546996
k-means,1,4995,HLA-DR,5.3351126,0.5232135925252757
k-means,1,4995,2DL4,1.986516,0.7124245393330443
k-means,1,4995,CD56,0.6659481,0.2358325170958864
k-means,1,4995,2DL5,0.03395628,0.3496748163330128
k-means,1,4995,CD25,-0.059420343,0.13593999930674117
k-means,2,7556,CD3,4.648612,0.38068712554859363
k-means,2,7556,CD27,1.1199589,0.45526615917034274
k-means,2,7556,CD19,-0.052881658,-0.020704492194419586
k-means,2,7556,CD4,1.4572268,0.3774025424461199
k-means,2,7556,CD8,2.2542162,0.21209138427179583
k-means,2,7556,CD57,-0.014823278,0.013333198070360219
k-means,2,7556,2DL1-S1,-0.07279016,-0.005400469891263378
k-means,2,7556,TRAIL,-0.0939984,-0.02475498021972254
k-means,2,7556,2DL2-L3-S2,-0.08550629,-0.09241392489416983
k-means,2,7556,CD16,-0.0440207,-0.03097243290505223
k-means,2,7556,CD10,-0.084507816,-0.11922232532037277
k-means,2,7556,3DL1-S1,-0.09404878,-0.05322373401725387
k-means,2,7556,CD117,-0.09143021,-0.06821809831535613
k-means,2,7556,2DS4,-0.08691321,-0.13840764742643435
k-means,2,7556,ILT2-CD85j,-0.048678204,-0.4358559365737642
k-means,2,7556,NKp46,-0.087506466,-0.07868223069988295
k-means,2,7556,NKG2D,-0.0111836605,0.006863830118913775
k-means,2,7556,NKG2C,-0.071164645,-0.030516506789636525
k-means,2,7556,2B4,-0.009185312,-0.47882337351063703
k-means,2,7556,CD33,1.2552607,-0.295196176935913
k-means,2,7556,CD11b,-0.018707698,-0.07380481118026583
k-means,2,7556,NKp30,-0.067427516,-0.02836936507733758
k-means,2,7556,CD122,-0.055783946,-0.013222593382213772
k-means,2,7556,3DL1,-0.088511884,-0.07161859762311845
k-means,2,7556,NKp44,-0.09119883,-0.04559312690036986
k-means,2,7556,CD127,1.3971338,0.642806208889983
k-means,2,7556,2DL1,-0.077296376,-0.014380322989090364
k-means,2,7556,CD94,-0.056742035,-0.014252272809474751
k-means,2,7556,CD34,-0.07562095,-0.03964331700527131
k-means,2,7556,CCR7,0.2179024,0.18364553800994
k-means,2,7556,2DL3,-0.086602345,-0.1273933070566558
k-means,2,7556,NKG2A,-0.062102176,-0.12999573019003932
k-means,2,7556,HLA-DR,1.4792778,-0.4685836041457074
k-means,2,7556,2DL4,-0.06660473,-0.3255831673803088
k-means,2,7556,CD56,-0.06271216,-0.18929904284771146
k-means,2,7556,2DL5,-0.087831914,-0.09786959149370382
k-means,2,7556,CD25,-0.0884732,-0.10236738727071729
k-means,3,3148,CD3,2.5093942,-0.3815788186775771
k-means,3,3148,CD27,0.12457953,-0.11416713980985632
k-means,3,3148,CD19,-0.029820016,-0.004147593076759137
k-means,3,3148,CD4,0.12277575,-0.2421479877293549
k-means,3,3148,CD8,2.462801,0.28439989935202314
k-means,3,3148,CD57,1.9261492,1.5100521306619983
k-means,3,3148,2DL1-S1,-0.007520633,0.5150832433809546
k-means,3,3148,TRAIL,-0.076798484,0.13488263907766773
k-means,3,3148,2DL2-L3-S2,0.21709786,2.3469695886459245
k-means,3,3148,CD16,3.7392976,2.007011998705068
k-means,3,3148,CD10,0.36969823,2.8780239233276053
k-means,3,3148,3DL1-S1,-0.059387747,0.261527532377146
k-means,3,3148,CD117,-0.051962093,0.27091791788817876
k-means,3,3148,2DS4,-0.039876208,0.21773001849052348
k-means,3,3148,ILT2-CD85j,0.8789735,-0.063632396664416
k-means,3,3148,NKp46,1.4660232,4.360871867449671
k-means,3,3148,NKG2D,1.4493198,1.1034013183658107
k-means,3,3148,NKG2C,-0.02014156,0.3017223398007561
k-means,3,3148,2B4,1.993964,0.391114873111101
k-means,3,3148,CD33,1.9314382,-0.0712878766619981
k-means,3,3148,CD11b,0.2083198,0.08402413331729704
k-means,3,3148,NKp30,1.6439738,2.3029898320993416
k-means,3,3148,CD122,1.8151925,2.3953507507479266
k-means,3,3148,3DL1,-0.01621277,0.5386020512920201
k-means,3,3148,NKp44,-0.06217883,0.21094607933227727
k-means,3,3148,CD127,0.3016393,0.08443271318916325
k-means,3,3148,2DL1,-0.016105847,0.46702828823193426
k-means,3,3148,CD94,2.8847866,2.501545665670837
k-means,3,3148,CD34,0.31322008,0.2761028744228293
k-means,3,3148,CCR7,-0.03024892,-0.012513033038258091
k-means,3,3148,2DL3,-0.019529542,0.2773497579989711
k-means,3,3148,NKG2A,2.1523378,1.312462755518672
k-means,3,3148,HLA-DR,2.329339,-0.24993100251288605
k-means,3,3148,2DL4,0.2789803,-0.15086380591733103
k-means,3,3148,CD56,3.2437649,1.7398410198032446
k-means,3,3148,2DL5,-0.009043446,0.19166041861484068
