"method","gate","run_mode","split_id","split_seed","r_seed","selected_lambda","selected_cluster_count","eligible_cluster_count","file_sample_size","minimum_cluster_size_fraction"
"citrus","gated_alive","full",0,3003105692,855622045,0.121348853973722,2,30,1000,0.05
"citrus","gated_alive","full",1,976400780,976400780,0.0863341170145597,4,31,1000,0.05
"citrus","gated_alive","full",2,3387213021,1239729374,0.206858122105369,0,30,1000,0.05
"citrus","gated_alive","full",3,1360466708,1360466708,0.0273971261840725,6,32,1000,0.05
"citrus","gated_alive","full",4,876933080,876933080,0.251176715115119,2,34,1000,0.05
"citrus","gated_alive","full",5,3424658561,1277174914,0.137043467349912,3,31,1000,0.05
"citrus","gated_alive","full",6,2760304911,612821264,0.0727211267684497,5,31,1000,0.05
"citrus","gated_alive","full",7,2904491693,757008046,0.195704464257581,1,29,1000,0.05
"citrus","gated_alive","full",8,4245388044,2097904397,0.0550198546256001,5,31,1000,0.05
"citrus","gated_alive","full",9,1679802727,1679802727,0.240226508332419,1,34,1000,0.05
"citrus","gated_alive","full",10,3605303106,1457819459,0.301968393975182,1,31,1000,0.05
"citrus","gated_alive","full",11,1429424934,1429424934,0.128505162070748,4,31,1000,0.05
"citrus","gated_alive","full",12,2437408156,289924509,0.238921299835455,1,30,1000,0.05
"citrus","gated_alive","full",13,2569716528,422232881,0.258584562578929,2,32,1000,0.05
"citrus","gated_alive","full",14,915442270,915442270,0.229704412274067,0,32,1000,0.05
"citrus","gated_alive","full",15,802017219,802017219,0.0974937176433031,4,30,1000,0.05
"citrus","gated_alive","full",16,984129068,984129068,0.229747238698099,0,32,1000,0.05
"citrus","gated_alive","full",17,2889465206,741981559,0.0772100444644905,7,29,1000,0.05
"citrus","gated_alive","full",18,2634853374,487369727,0.115065148704324,3,31,1000,0.05
"citrus","gated_alive","full",19,4045012504,1897528857,0.258040797688792,0,30,1000,0.05
"citrus","gated_alive","full",20,3032918238,885434591,0.041859608825926,5,33,1000,0.05
"citrus","gated_alive","full",21,1066207224,1066207224,0.18714223097773,2,33,1000,0.05
"citrus","gated_alive","full",22,3929519758,1782036111,0.0498495957215754,8,32,1000,0.05
"citrus","gated_alive","full",23,4075413513,1927929866,0.0360005864286844,7,32,1000,0.05
"citrus","gated_alive","full",24,3145778132,998294485,0.24585497758457,0,29,1000,0.05
"citrus","gated_alive","full",25,2865763038,718279391,0.0362694477531473,8,30,1000,0.05
"citrus","gated_alive","full",26,561033802,561033802,0.22851017455532,2,35,1000,0.05
"citrus","gated_alive","full",27,411878496,411878496,0.274252433091912,0,32,1000,0.05
"citrus","gated_alive","full",28,1143809828,1143809828,0.206662552768223,1,31,1000,0.05
"citrus","gated_alive","full",29,1897686915,1897686915,0.24459514102711,2,33,1000,0.05
"citrus","gated_alive","full",30,310984977,310984977,0.0410500871797613,5,31,1000,0.05
"citrus","gated_alive","full",31,3807402261,1659918614,0.247833452236227,1,30,1000,0.05
"citrus","gated_alive","full",32,2035922533,2035922533,0.105917041748235,4,30,1000,0.05
"citrus","gated_alive","full",33,2995539971,848056324,0.108934978982038,3,28,1000,0.05
"citrus","gated_alive","full",34,913046978,913046978,0.240521335265137,1,34,1000,0.05
"citrus","gated_alive","full",35,1402190273,1402190273,0.170230316672584,2,33,1000,0.05
"citrus","gated_alive","full",36,498139153,498139153,0.282460606270478,2,30,1000,0.05
"citrus","gated_alive","full",37,3152197458,1004713811,0.211128188238356,2,31,1000,0.05
"citrus","gated_alive","full",38,3325497001,1178013354,0.230561504979521,0,32,1000,0.05
"citrus","gated_alive","full",39,945472433,945472433,0.126507357115607,4,30,1000,0.05
"citrus","gated_alive","full",40,3070822591,923338944,0.194841607576773,3,31,1000,0.05
"citrus","gated_alive","full",41,350446006,350446006,0.175490150947534,2,31,1000,0.05
"citrus","gated_alive","full",42,1681873724,1681873724,0.0569628282490787,3,30,1000,0.05
"citrus","gated_alive","full",43,686746376,686746376,0.148275592140283,4,32,1000,0.05
"citrus","gated_alive","full",44,3195502165,1048018518,0.151665232642611,3,30,1000,0.05
"citrus","gated_alive","full",45,1460719170,1460719170,0.144591813287864,3,32,1000,0.05
"citrus","gated_alive","full",46,2033282004,2033282004,0.127934132377433,3,31,1000,0.05
"citrus","gated_alive","full",47,1997989380,1997989380,0.257852046485101,2,31,1000,0.05
"citrus","gated_alive","full",48,2042481486,2042481486,0.0761838836454173,5,32,1000,0.05
"citrus","gated_alive","full",49,1144269602,1144269602,0.202986318697113,2,30,1000,0.05
"citrus","gated_alive","full",50,2396799522,249315875,0.206453297930369,2,32,1000,0.05
"citrus","gated_alive","full",51,3503732972,1356249325,0.105011433584769,4,29,1000,0.05
"citrus","gated_alive","full",52,2141779427,2141779427,0.167563959714122,1,32,1000,0.05
"citrus","gated_alive","full",53,830193079,830193079,0.262104225214252,0,30,1000,0.05
"citrus","gated_alive","full",54,104832471,104832471,0.210216064876805,3,33,1000,0.05
"citrus","gated_alive","full",55,556065447,556065447,0.378426652002056,0,31,1000,0.05
"citrus","gated_alive","full",56,349892316,349892316,0.262798455897555,1,31,1000,0.05
"citrus","gated_alive","full",57,393697109,393697109,0.171844419917573,2,30,1000,0.05
"citrus","gated_alive","full",58,526061820,526061820,0.033983586633974,6,32,1000,0.05
"citrus","gated_alive","full",59,2570830042,423346395,0.252977582667126,0,30,1000,0.05
"citrus","gated_alive","full",60,3466446890,1318963243,0.0926550124286479,6,32,1000,0.05
"citrus","gated_alive","full",61,3671088524,1523604877,0.00783345442150786,6,31,1000,0.05
"citrus","gated_alive","full",62,2806373941,658890294,0.209022473014739,4,33,1000,0.05
"citrus","gated_alive","full",63,2583943556,436459909,0.137612568346932,3,31,1000,0.05
"citrus","gated_alive","full",64,1424584135,1424584135,0.0340177799357064,7,33,1000,0.05
"citrus","gated_alive","full",65,4002859530,1855375883,0.152020168319505,3,32,1000,0.05
"citrus","gated_alive","full",66,2751328124,603844477,0.161954247293451,3,31,1000,0.05
"citrus","gated_alive","full",67,3112912241,965428594,0.108851513696649,4,30,1000,0.05
"citrus","gated_alive","full",68,3152106376,1004622729,0.0985307055107896,4,32,1000,0.05
"citrus","gated_alive","full",69,3696039763,1548556116,0.123419825963257,2,34,1000,0.05
"citrus","gated_alive","full",70,3017305172,869821525,0.235355504906112,1,30,1000,0.05
"citrus","gated_alive","full",71,3991475463,1843991816,0.259888295608237,0,32,1000,0.05
"citrus","gated_alive","full",72,2325576896,178093249,0.0753738639851229,5,31,1000,0.05
"citrus","gated_alive","full",73,2345851045,198367398,0.271147070431886,1,34,1000,0.05
"citrus","gated_alive","full",74,1078349150,1078349150,0.0564900375796145,8,31,1000,0.05
"citrus","gated_alive","full",75,4027274691,1879791044,0.203396019602172,0,30,1000,0.05
"citrus","gated_alive","full",76,2374937433,227453786,0.275822014235375,1,32,1000,0.05
"citrus","gated_alive","full",77,2125957013,2125957013,0.0457493651889489,5,30,1000,0.05
"citrus","gated_alive","full",78,1358653540,1358653540,0.0494061829833884,6,32,1000,0.05
"citrus","gated_alive","full",79,1175846864,1175846864,0.125876411218612,4,33,1000,0.05
"citrus","gated_alive","full",80,2719779336,572295689,0.0951172914005408,3,32,1000,0.05
"citrus","gated_alive","full",81,1940374772,1940374772,0.334805180221298,2,30,1000,0.05
