Methode,Metrik,Median,Q1,Q3,Mittelwert,Standardabweichung
CellCNN,roc_auc,0.875,0.75,1.0,0.8075,0.19252115192724653
CellCNN,average_precision,0.8333333333333333,0.7,1.0,0.8038333333333333,0.18045031898184874
CellCNN,pr_auc,0.7916666666666666,0.6625,1.0,0.7612499999999999,0.22420321257175863
CellCNN,balanced_accuracy,0.75,0.5,0.78125,0.67875,0.18990876996360884
Citrus,roc_auc,0.625,0.5,0.75,0.588125,0.21004880836115067
Citrus,average_precision,0.5,0.3333333333333333,0.6749999999999999,0.5349166666666667,0.19104420590089946
Citrus,pr_auc,0.41666666666666663,0.29062499999999997,0.6666666666666666,0.49183333333333323,0.2229572125560238
Citrus,balanced_accuracy,0.5,0.5,0.625,0.54375,0.16890074636073138
Lineare Single-Cell-SVM,roc_auc,0.875,0.625,1.0,0.78375,0.19450711472017593
Lineare Single-Cell-SVM,average_precision,0.8333333333333333,0.6916666666666667,1.0,0.7798333333333332,0.18172766405607382
Lineare Single-Cell-SVM,pr_auc,0.7916666666666666,0.6552083333333333,1.0,0.7311666666666667,0.228098197885884
Lineare Single-Cell-SVM,balanced_accuracy,0.625,0.5,0.75,0.62,0.15883095645141956
