split_id,CellCNN − Citrus,CellCNN − lineare SVM
0,0.0,0.0
1,0.0,0.125
2,0.5,0.25
3,0.25,0.0
4,0.375,0.375
5,0.75,0.0
6,0.0,0.125
7,0.5,0.125
8,-0.25,-0.25
9,0.25,0.375
10,0.375,0.0
11,0.375,0.125
12,0.125,0.0
13,0.375,0.125
14,0.5,0.0
15,-0.125,-0.125
16,0.125,0.125
17,-0.125,-0.25
18,0.25,0.0
19,0.0,-0.375
20,0.375,0.0
21,0.375,0.0
22,-0.25,-0.375
23,-0.125,-0.25
24,0.5,0.0
25,0.125,0.125
26,0.125,0.0
27,0.25,0.0
28,0.25,0.125
29,0.5,0.125
30,0.0,0.125
31,0.5,0.25
32,0.5,0.125
33,0.375,-0.25
34,0.5,-0.125
35,0.25,0.0
36,0.25,0.125
37,0.375,0.125
38,-0.125,-0.625
39,0.125,0.0
40,-0.5,-0.125
41,-0.25,-0.25
42,0.25,0.125
43,0.5,-0.125
44,-0.125,-0.5
45,0.125,0.125
46,0.375,0.375
47,0.0,-0.125
48,0.0,0.0
49,-0.125,0.0
50,0.125,0.0
51,0.25,0.0
52,0.125,0.125
53,0.5,0.125
54,0.0,-0.25
55,0.5,0.0
56,0.5,0.0
57,0.125,0.375
58,0.0,0.125
59,0.25,-0.25
60,-0.125,-0.25
61,-0.125,0.0
62,0.25,0.0
63,0.375,0.0
64,0.625,0.0
65,0.25,0.0
66,0.375,0.875
67,0.5,0.0
68,-0.125,-0.25
69,0.125,0.125
70,0.5,0.125
71,0.25,0.125
72,0.375,-0.125
73,-0.25,0.0
74,0.125,0.25
75,0.375,0.25
76,0.25,0.0
77,0.125,0.125
78,0.375,0.375
79,0.25,0.0
80,-0.125,-0.25
81,0.75,0.25
82,0.875,0.0
83,0.75,0.25
84,-0.125,0.0
85,0.375,-0.125
86,0.5,0.0
87,0.125,0.125
88,0.125,0.25
89,0.5,0.375
90,0.375,0.125
91,0.25,0.25
92,0.375,0.25
93,0.25,0.25
94,-0.3125,-0.125
95,0.25,0.0
96,-0.25,-0.75
97,0.125,0.0
98,0.625,-0.125
99,0.25,0.0
