split_id,network_auc,frequency_auc,frequency_effect,phenotype_status
0,1.0,1.0,0.007349999706093513,berechnet
1,1.0,1.0,0.03382499888539314,berechnet
2,1.0,1.0,0.02643749872368062,berechnet
3,1.0,1.0,0.00964999968164193,berechnet
4,0.875,0.875,0.001887500038719736,berechnet
5,1.0,1.0,0.0126375000236294,berechnet
6,0.625,0.5,0.0030000001497683115,berechnet
7,0.75,0.75,0.0004624999937732355,berechnet
8,0.5,0.9375,0.008874999533873051,berechnet
9,1.0,1.0,0.003224999913072679,berechnet
10,0.875,0.75,0.0006624998932238668,berechnet
11,0.875,0.875,0.002687499940293492,berechnet
12,0.75,0.75,0.0033875001354317646,berechnet
13,1.0,1.0,0.012224999692989513,berechnet
14,1.0,1.0,0.008949999706601375,berechnet
15,0.625,0.5,-0.0010124999789695721,berechnet
16,0.625,0.875,0.011449999670730904,berechnet
17,0.625,1.0,0.003837499942164868,berechnet
18,1.0,1.0,0.015612499380949885,berechnet
19,0.5,0.625,0.0007374999113380909,berechnet
20,0.75,0.75,0.0003250000263506081,berechnet
21,0.625,0.5,0.0034749999722407665,berechnet
22,0.625,0.875,0.009037499832629692,berechnet
23,0.625,1.0,0.007537499652244151,berechnet
24,1.0,1.0,0.025225000048521906,berechnet
25,0.875,1.0,0.002537499734899029,berechnet
26,0.875,0.875,0.003475000006801565,berechnet
27,0.75,0.625,0.010962500120513141,berechnet
28,1.0,1.0,0.013787499643513002,berechnet
29,1.0,1.0,0.014437499434279744,berechnet
30,0.875,0.875,0.003149999916786328,berechnet
31,0.875,0.75,0.00038749996019760147,berechnet
32,1.0,0.875,0.006337499995424878,berechnet
33,0.75,1.0,0.002025000016146805,berechnet
34,0.875,1.0,0.0015374999939012923,berechnet
35,0.875,0.8125,0.005212499889239552,berechnet
36,0.875,1.0,0.006162499747006223,berechnet
37,1.0,1.0,0.008412499752012081,berechnet
38,0.375,0.375,-0.041624998673796654,berechnet
39,0.875,0.875,0.006224999620826566,berechnet
40,0.375,0.625,0.0003125000630461727,berechnet
41,0.5,0.5625,0.0018249998229293851,berechnet
42,0.625,0.5,-8.749996777623892e-05,berechnet
43,0.875,1.0,0.0115375000750646,berechnet
44,0.5,,,kein positiver Output-Kontrast
45,1.0,1.0,0.016049999507231405,berechnet
46,1.0,0.875,0.001162500018835999,berechnet
47,0.75,0.875,0.0050624998402781785,berechnet
48,0.75,0.875,0.012299999973038211,berechnet
49,0.625,0.625,0.000999999917439709,berechnet
50,0.75,0.75,0.005137499715601734,berechnet
51,1.0,1.0,0.010212499750196002,berechnet
52,1.0,1.0,0.0033499999408377334,berechnet
53,1.0,1.0,0.01239999963217997,berechnet
54,0.25,0.5,-0.00039999998625717126,berechnet
55,1.0,1.0,0.01518749922979623,berechnet
56,0.75,0.875,0.013225000111560803,berechnet
57,0.875,0.875,0.004449999873031629,berechnet
58,1.0,1.0,0.01783750005051843,berechnet
59,0.75,0.75,0.0012124999630032107,berechnet
60,0.75,0.875,0.023937499150633812,berechnet
61,0.625,1.0,0.007987500037415884,berechnet
62,1.0,1.0,0.010099999475642107,berechnet
63,0.875,0.625,0.00015000000166764949,berechnet
64,0.875,1.0,0.007975000014994293,berechnet
65,1.0,1.0,0.016862499382114038,berechnet
66,1.0,1.0,0.0016374999768231646,berechnet
67,0.875,1.0,0.015612499722919893,berechnet
68,0.75,0.625,0.0019125000271742465,berechnet
69,0.75,0.6875,0.00048750000132713467,berechnet
70,0.625,0.625,0.007487499657145236,berechnet
71,0.75,0.875,0.0062749996650381945,berechnet
72,0.875,1.0,0.011762499751057476,berechnet
73,0.75,0.75,0.009250000031897798,berechnet
74,0.5,0.625,0.00035000005300389603,berechnet
75,0.875,0.875,0.004899999892586493,berechnet
76,1.0,1.0,0.01457499954267405,berechnet
77,0.875,0.875,0.006287499747486436,berechnet
78,1.0,1.0,0.02517499859459349,berechnet
79,1.0,1.0,0.008662499620186281,berechnet
80,0.625,0.625,0.0001250000022992026,berechnet
81,0.75,0.875,0.013587499459390529,berechnet
82,1.0,1.0,0.014249999541789293,berechnet
83,1.0,1.0,0.008212499771616422,berechnet
84,0.375,,,kein positiver Output-Kontrast
85,0.75,0.875,0.005487499758601189,berechnet
86,1.0,1.0,0.021675000036339043,berechnet
87,0.75,0.875,0.0006999999950494384,berechnet
88,1.0,0.75,0.0016624999670966645,berechnet
89,0.875,1.0,0.015874999851803295,berechnet
90,0.875,0.75,0.0073250002023996785,berechnet
91,0.75,0.5625,0.004662499978621781,berechnet
92,1.0,0.875,0.013024999250774272,berechnet
93,0.75,0.75,0.00542499974835664,berechnet
94,0.375,0.375,6.250003661989467e-05,berechnet
95,1.0,1.0,0.01149999990593642,berechnet
96,0.25,1.0,0.0020624999087885953,berechnet
97,0.625,0.8125,0.013224999594967812,berechnet
98,0.875,1.0,0.009387499489093898,berechnet
99,0.875,1.0,0.00958749942947179,berechnet
