split_id,donor_id,y_true,filter_id,frequency,n_cells
0,a_002,1,1.0,0.055799998342990875,20000
0,a_004,0,1.0,0.08204999566078186,20000
0,a_006,0,1.0,0.07864999771118164,20000
0,a_1a,0,1.0,0.003999999724328518,20000
0,a_2a,0,1.0,0.04149999842047691,20000
0,a_4a,1,1.0,0.022350000217556953,20000
1,a_002,1,1.0,0.6711999773979187,20000
1,a_003,0,1.0,0.5038999915122986,20000
1,a_004,0,1.0,0.5444999933242798,20000
1,a_006,0,1.0,0.6275999546051025,20000
1,a_3b,0,1.0,0.6717000007629395,20000
1,a_5a,1,1.0,0.7328000068664551,20000
2,a_002,1,1.0,0.04039999842643738,20000
2,a_004,0,1.0,0.08379999548196793,20000
2,a_007,1,1.0,0.029600000008940697,20000
2,a_010,0,1.0,0.03904999792575836,20000
2,a_1a,0,1.0,0.019700000062584877,20000
2,a_3b,0,1.0,0.03904999792575836,20000
3,a_006,0,2.0,0.5135499835014343,20000
3,a_009,0,2.0,0.4720499813556671,20000
3,a_011,0,2.0,0.17874999344348907,20000
3,a_2a,0,2.0,0.20594999194145203,20000
3,a_5a,1,2.0,0.2581000030040741,20000
3,a_5b,1,2.0,0.2784999907016754,20000
4,a_001,1,2.0,0.850849986076355,20000
4,a_003,0,2.0,0.7394499778747559,20000
4,a_010,0,2.0,0.8491999506950378,20000
4,a_011,0,2.0,0.9044999480247498,20000
4,a_2a,0,2.0,0.8355499505996704,20000
4,a_4b,1,2.0,0.7342000007629395,20000
5,a_003,0,1.0,0.6310999989509583,20000
5,a_011,0,1.0,0.8206999897956848,20000
5,a_2b,0,1.0,0.7371999621391296,20000
5,a_3b,0,1.0,0.6696999669075012,20000
5,a_5a,1,1.0,0.7551999688148499,20000
5,a_5b,1,1.0,0.7583499550819397,20000
6,a_001,1,0.0,0.8364499807357788,20000
6,a_003,0,0.0,0.804099977016449,20000
6,a_1a,0,0.0,0.6207999587059021,20000
6,a_2a,0,0.0,0.8677499890327454,20000
6,a_2b,0,0.0,0.8593999743461609,20000
6,a_5a,1,0.0,0.8915999531745911,20000
7,a_002,1,1.0,0.00634999992325902,20000
7,a_004,0,1.0,0.00044999999227002263,20000
7,a_010,0,1.0,0.0015499999281018972,20000
7,a_012,1,1.0,0.00019999999494757503,20000
7,a_1a,0,1.0,4.999999873689376e-05,20000
7,a_2a,0,1.0,0.00039999998989515007,20000
8,a_001,1,,,20000
8,a_006,0,,,20000
