split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_modified,frequency_auc_modified,frequency_effect_modified,phenotype_status_modified,network_auc_delta
0,1.0,1.0,0.0073499997060935,berechnet,0.375,0.375,-0.012474998598918319,berechnet,-0.625
1,1.0,1.0,0.0338249988853931,berechnet,1.0,0.875,0.1150750070810318,berechnet,0.0
2,1.0,1.0,0.0264374987236806,berechnet,0.25,0.5,-0.010399998631328344,berechnet,-0.75
3,1.0,1.0,0.0096499996816419,berechnet,0.625,0.5,-0.07427499070763588,berechnet,-0.375
4,0.875,0.875,0.0018875000387197,berechnet,0.5,0.375,-0.03964996337890625,berechnet,-0.375
5,1.0,1.0,0.0126375000236294,berechnet,0.5,0.75,0.042099982500076294,berechnet,-0.5
6,0.625,0.5,0.0030000001497683,berechnet,0.875,0.75,0.0760124921798706,berechnet,0.25
7,0.75,0.75,0.0004624999937732,berechnet,0.25,0.625,0.0026624999818523065,berechnet,-0.5
8,0.5,0.9375,0.008874999533873,berechnet,0.375,,,kein positiver Output-Kontrast,-0.125
9,1.0,1.0,0.0032249999130726,berechnet,0.625,0.5,-0.004275009036064148,berechnet,-0.375
10,0.875,0.75,0.0006624998932238,berechnet,0.625,0.25,0.00415000319480896,berechnet,-0.25
11,0.875,0.875,0.0026874999402934,berechnet,1.0,0.375,0.0007500052452087402,berechnet,0.125
12,0.75,0.75,0.0033875001354317,berechnet,0.75,0.375,-0.004424989223480225,berechnet,0.0
13,1.0,1.0,0.0122249996929895,berechnet,0.75,0.75,0.0543999969959259,berechnet,-0.25
14,1.0,1.0,0.0089499997066013,berechnet,0.25,0.25,-0.032362499507144094,berechnet,-0.75
15,0.625,0.5,-0.0010124999789695,berechnet,0.75,0.75,0.06130000948905945,berechnet,0.125
16,0.625,0.875,0.0114499996707309,berechnet,1.0,1.0,0.21433749049901962,berechnet,0.375
17,0.625,1.0,0.0038374999421648,berechnet,0.625,0.625,0.060549989342689514,berechnet,0.0
18,1.0,1.0,0.0156124993809498,berechnet,0.875,0.875,0.1876249983906746,berechnet,-0.125
19,0.5,0.625,0.000737499911338,berechnet,0.75,0.25,-0.07041247189044952,berechnet,0.25
20,0.75,0.75,0.0003250000263506,berechnet,0.875,0.75,0.11681248992681503,berechnet,0.125
21,0.625,0.5,0.0034749999722407,berechnet,0.25,0.625,0.021725013852119446,berechnet,-0.375
22,0.625,0.875,0.0090374998326296,berechnet,1.0,1.0,0.19337499141693115,berechnet,0.375
23,0.625,1.0,0.0075374996522441,berechnet,0.5,0.25,-0.009324997663497925,berechnet,-0.125
24,1.0,1.0,0.0252250000485219,berechnet,0.875,0.75,0.03453749418258667,berechnet,-0.125
25,0.875,1.0,0.002537499734899,berechnet,0.5,0.5,0.001050010323524475,berechnet,-0.375
26,0.875,0.875,0.0034750000068015,berechnet,0.5,0.5,-0.0080375075340271,berechnet,-0.375
27,0.75,0.625,0.0109625001205131,berechnet,0.25,0.5,0.03247499838471413,berechnet,-0.5
28,1.0,1.0,0.013787499643513,berechnet,1.0,0.625,0.014350011944770813,berechnet,0.0
29,1.0,1.0,0.0144374994342797,berechnet,0.625,0.625,0.03966251015663147,berechnet,-0.375
30,0.875,0.875,0.0031499999167863,berechnet,1.0,1.0,0.20704999566078186,berechnet,0.125
31,0.875,0.75,0.0003874999601976,berechnet,0.5,0.6875,2.7284841053187847e-12,berechnet,-0.375
32,1.0,0.875,0.0063374999954248,berechnet,0.75,0.75,0.05376249551773071,berechnet,-0.25
33,0.75,1.0,0.0020250000161468,berechnet,0.625,0.375,-0.01688745617866516,berechnet,-0.125
34,0.875,1.0,0.0015374999939012,berechnet,0.75,0.625,0.0016750097274780273,berechnet,-0.125
35,0.875,0.8125,0.0052124998892395,berechnet,0.75,0.5,0.023800015449523926,berechnet,-0.125
36,0.875,1.0,0.0061624997470062,berechnet,0.375,0.375,-0.028287500143051147,berechnet,-0.5
37,1.0,1.0,0.008412499752012,berechnet,0.75,0.125,-0.000624999975116225,berechnet,-0.25
38,0.375,0.375,-0.0416249986737966,berechnet,0.75,0.625,0.017275013029575348,berechnet,0.375
39,0.875,0.875,0.0062249996208265,berechnet,0.375,0.75,0.008937499951571226,berechnet,-0.5
40,0.375,0.625,0.0003125000630461,berechnet,0.5,0.5,-0.08538749068975449,berechnet,0.125
41,0.5,0.5625,0.0018249998229293,berechnet,0.75,0.625,0.008912503719329834,berechnet,0.25
42,0.625,0.5,-8.749996777623892e-05,berechnet,0.625,0.375,-0.022312507033348083,berechnet,0.0
43,0.875,1.0,0.0115375000750646,berechnet,0.75,0.75,0.02063749637454748,berechnet,-0.125
44,0.5,,,kein positiver Output-Kontrast,1.0,0.5,0.03837499022483826,berechnet,0.5
45,1.0,1.0,0.0160499995072314,berechnet,0.375,0.375,-0.015900015830993652,berechnet,-0.625
46,1.0,0.875,0.0011625000188359,berechnet,0.625,0.625,0.03628748655319214,berechnet,-0.375
47,0.75,0.875,0.0050624998402781,berechnet,0.625,0.5,-0.04124999791383743,berechnet,-0.125
48,0.75,0.875,0.0122999999730382,berechnet,0.75,0.75,0.001912500236358028,berechnet,0.0
49,0.625,0.625,0.0009999999174397,berechnet,0.625,0.75,0.018024999648332596,berechnet,0.0
50,0.75,0.75,0.0051374997156017,berechnet,0.5,0.5,-1.2500006050686352e-05,berechnet,-0.25
51,1.0,1.0,0.010212499750196,berechnet,0.75,0.5,0.03471249341964722,berechnet,-0.25
52,1.0,1.0,0.0033499999408377,berechnet,0.875,0.625,0.013187527656555176,berechnet,-0.125
53,1.0,1.0,0.0123999996321799,berechnet,0.875,0.875,0.03767499327659607,berechnet,-0.125
54,0.25,0.5,-0.0003999999862571,berechnet,0.375,0.5,0.01158750057220459,berechnet,0.125
55,1.0,1.0,0.0151874992297962,berechnet,0.75,0.5,0.008412495255470276,berechnet,-0.25
56,0.75,0.875,0.0132250001115608,berechnet,0.625,0.75,0.051225002855062485,berechnet,-0.125
57,0.875,0.875,0.0044499998730316,berechnet,0.625,0.625,0.05745002627372742,berechnet,-0.25
58,1.0,1.0,0.0178375000505184,berechnet,0.5,0.125,-0.00036249999538995326,berechnet,-0.5
