"method","gate","run_mode","split_id","split_seed","r_seed","selected_lambda","selected_cluster_count","eligible_cluster_count","file_sample_size","minimum_cluster_size_fraction"
"citrus","gated_alive","full",0,3003105692,855622045,0.199902248780843,6,3117,10000,5e-04
"citrus","gated_alive","full",1,976400780,976400780,0.287366325459792,1,3112,10000,5e-04
"citrus","gated_alive","full",2,3387213021,1239729374,0.0356563927054345,10,3134,10000,5e-04
"citrus","gated_alive","full",3,1360466708,1360466708,0.0345624839736978,8,3172,10000,5e-04
"citrus","gated_alive","full",4,876933080,876933080,0.30506221975169,1,3150,10000,5e-04
"citrus","gated_alive","full",5,3424658561,1277174914,0.349766092246743,1,3142,10000,5e-04
"citrus","gated_alive","full",6,2760304911,612821264,0.344834262003423,3,3135,10000,5e-04
"citrus","gated_alive","full",7,2904491693,757008046,0.327278626269565,1,3126,10000,5e-04
"citrus","gated_alive","full",8,4245388044,2097904397,0.0113695009428921,12,3095,10000,5e-04
"citrus","gated_alive","full",9,1679802727,1679802727,0.050153534077854,8,3138,10000,5e-04
