cell_id,sample_id,event_index
gated_alive:a_001:436,a_001,436
gated_alive:a_001:535,a_001,535
gated_alive:a_001:603,a_001,603
gated_alive:a_001:814,a_001,814
gated_alive:a_001:1146,a_001,1146
gated_alive:a_001:1468,a_001,1468
gated_alive:a_001:1477,a_001,1477
gated_alive:a_001:1602,a_001,1602
gated_alive:a_001:1774,a_001,1774
gated_alive:a_001:1817,a_001,1817
gated_alive:a_001:1862,a_001,1862
gated_alive:a_001:1872,a_001,1872
gated_alive:a_001:2045,a_001,2045
gated_alive:a_001:2064,a_001,2064
gated_alive:a_001:2525,a_001,2525
gated_alive:a_001:2623,a_001,2623
gated_alive:a_001:2843,a_001,2843
gated_alive:a_001:3053,a_001,3053
gated_alive:a_001:3073,a_001,3073
gated_alive:a_001:3415,a_001,3415
gated_alive:a_001:3586,a_001,3586
gated_alive:a_001:3682,a_001,3682
gated_alive:a_001:3690,a_001,3690
gated_alive:a_001:4779,a_001,4779
gated_alive:a_001:5224,a_001,5224
gated_alive:a_001:5333,a_001,5333
gated_alive:a_001:5560,a_001,5560
gated_alive:a_001:6251,a_001,6251
gated_alive:a_001:6490,a_001,6490
gated_alive:a_001:6502,a_001,6502
gated_alive:a_001:6652,a_001,6652
gated_alive:a_001:6792,a_001,6792
gated_alive:a_001:6930,a_001,6930
gated_alive:a_001:6941,a_001,6941
gated_alive:a_001:7033,a_001,7033
gated_alive:a_001:7189,a_001,7189
gated_alive:a_001:7302,a_001,7302
gated_alive:a_001:7383,a_001,7383
gated_alive:a_001:7422,a_001,7422
gated_alive:a_001:7472,a_001,7472
gated_alive:a_001:7541,a_001,7541
gated_alive:a_001:7706,a_001,7706
gated_alive:a_001:7765,a_001,7765
gated_alive:a_001:7771,a_001,7771
gated_alive:a_001:7908,a_001,7908
gated_alive:a_001:7963,a_001,7963
gated_alive:a_001:8487,a_001,8487
gated_alive:a_001:8703,a_001,8703
gated_alive:a_001:8713,a_001,8713
gated_alive:a_001:8850,a_001,8850
gated_alive:a_001:8917,a_001,8917
gated_alive:a_001:8982,a_001,8982
gated_alive:a_001:9385,a_001,9385
gated_alive:a_001:9532,a_001,9532
gated_alive:a_001:9679,a_001,9679
gated_alive:a_001:9763,a_001,9763
gated_alive:a_001:9787,a_001,9787
gated_alive:a_001:10019,a_001,10019
gated_alive:a_001:10091,a_001,10091
gated_alive:a_001:10179,a_001,10179
gated_alive:a_001:10352,a_001,10352
gated_alive:a_001:10467,a_001,10467
gated_alive:a_001:10485,a_001,10485
gated_alive:a_001:10640,a_001,10640
gated_alive:a_001:10780,a_001,10780
gated_alive:a_001:10840,a_001,10840
gated_alive:a_001:10877,a_001,10877
gated_alive:a_001:11449,a_001,11449
gated_alive:a_001:11455,a_001,11455
gated_alive:a_001:11507,a_001,11507
gated_alive:a_001:11518,a_001,11518
gated_alive:a_001:11547,a_001,11547
gated_alive:a_001:11605,a_001,11605
gated_alive:a_001:11832,a_001,11832
gated_alive:a_001:11862,a_001,11862
gated_alive:a_001:12194,a_001,12194
gated_alive:a_001:12437,a_001,12437
gated_alive:a_001:12453,a_001,12453
gated_alive:a_001:12490,a_001,12490
gated_alive:a_001:12602,a_001,12602
gated_alive:a_001:12633,a_001,12633
gated_alive:a_001:13161,a_001,13161
gated_alive:a_001:13221,a_001,13221
gated_alive:a_001:13224,a_001,13224
gated_alive:a_001:13526,a_001,13526
gated_alive:a_001:13631,a_001,13631
gated_alive:a_001:13657,a_001,13657
gated_alive:a_001:13690,a_001,13690
gated_alive:a_001:14003,a_001,14003
gated_alive:a_001:14331,a_001,14331
gated_alive:a_001:14379,a_001,14379
gated_alive:a_001:14504,a_001,14504
gated_alive:a_001:14728,a_001,14728
gated_alive:a_001:14738,a_001,14738
gated_alive:a_001:14848,a_001,14848
gated_alive:a_001:14933,a_001,14933
gated_alive:a_001:14941,a_001,14941
gated_alive:a_001:15448,a_001,15448
gated_alive:a_001:15516,a_001,15516
gated_alive:a_001:15936,a_001,15936
gated_alive:a_001:16151,a_001,16151
gated_alive:a_001:16377,a_001,16377
gated_alive:a_001:16431,a_001,16431
gated_alive:a_001:16486,a_001,16486
gated_alive:a_001:16603,a_001,16603
gated_alive:a_001:16657,a_001,16657
gated_alive:a_001:17588,a_001,17588
gated_alive:a_001:18362,a_001,18362
gated_alive:a_001:18584,a_001,18584
gated_alive:a_001:18600,a_001,18600
gated_alive:a_001:18885,a_001,18885
gated_alive:a_001:18912,a_001,18912
gated_alive:a_001:19148,a_001,19148
gated_alive:a_001:19176,a_001,19176
gated_alive:a_001:19425,a_001,19425
gated_alive:a_001:19581,a_001,19581
gated_alive:a_001:19624,a_001,19624
gated_alive:a_001:19809,a_001,19809
gated_alive:a_001:20031,a_001,20031
gated_alive:a_001:20115,a_001,20115
gated_alive:a_001:20618,a_001,20618
gated_alive:a_001:21032,a_001,21032
gated_alive:a_001:21422,a_001,21422
gated_alive:a_001:21575,a_001,21575
gated_alive:a_001:21617,a_001,21617
gated_alive:a_001:21809,a_001,21809
gated_alive:a_001:21922,a_001,21922
gated_alive:a_001:22334,a_001,22334
gated_alive:a_001:22648,a_001,22648
gated_alive:a_001:22656,a_001,22656
gated_alive:a_001:22667,a_001,22667
gated_alive:a_001:22705,a_001,22705
gated_alive:a_001:22968,a_001,22968
gated_alive:a_001:23064,a_001,23064
gated_alive:a_001:23066,a_001,23066
gated_alive:a_001:23099,a_001,23099
gated_alive:a_001:23368,a_001,23368
gated_alive:a_001:23567,a_001,23567
gated_alive:a_001:23619,a_001,23619
gated_alive:a_001:23698,a_001,23698
gated_alive:a_001:23860,a_001,23860
gated_alive:a_001:23903,a_001,23903
gated_alive:a_001:24068,a_001,24068
gated_alive:a_001:24197,a_001,24197
gated_alive:a_001:24387,a_001,24387
gated_alive:a_001:24554,a_001,24554
gated_alive:a_001:24625,a_001,24625
gated_alive:a_001:24728,a_001,24728
gated_alive:a_001:24757,a_001,24757
gated_alive:a_001:24818,a_001,24818
gated_alive:a_001:24911,a_001,24911
gated_alive:a_001:25103,a_001,25103
gated_alive:a_001:25330,a_001,25330
gated_alive:a_001:25465,a_001,25465
gated_alive:a_001:25516,a_001,25516
gated_alive:a_001:25586,a_001,25586
gated_alive:a_001:25811,a_001,25811
gated_alive:a_001:25928,a_001,25928
gated_alive:a_001:25966,a_001,25966
gated_alive:a_001:26056,a_001,26056
gated_alive:a_001:26336,a_001,26336
gated_alive:a_001:26342,a_001,26342
gated_alive:a_001:26346,a_001,26346
gated_alive:a_001:26681,a_001,26681
gated_alive:a_001:27043,a_001,27043
gated_alive:a_001:27074,a_001,27074
gated_alive:a_001:27227,a_001,27227
gated_alive:a_001:27409,a_001,27409
gated_alive:a_001:27511,a_001,27511
gated_alive:a_001:27583,a_001,27583
gated_alive:a_001:27801,a_001,27801
gated_alive:a_001:28099,a_001,28099
gated_alive:a_001:28475,a_001,28475
gated_alive:a_001:28482,a_001,28482
gated_alive:a_001:29024,a_001,29024
gated_alive:a_001:29675,a_001,29675
gated_alive:a_001:29795,a_001,29795
gated_alive:a_001:29867,a_001,29867
gated_alive:a_001:30023,a_001,30023
gated_alive:a_001:30042,a_001,30042
gated_alive:a_001:30190,a_001,30190
gated_alive:a_001:30337,a_001,30337
gated_alive:a_001:30348,a_001,30348
gated_alive:a_001:30473,a_001,30473
gated_alive:a_001:30713,a_001,30713
gated_alive:a_001:30803,a_001,30803
gated_alive:a_001:31236,a_001,31236
gated_alive:a_001:31248,a_001,31248
gated_alive:a_001:31741,a_001,31741
gated_alive:a_001:32706,a_001,32706
gated_alive:a_001:32938,a_001,32938
gated_alive:a_001:33318,a_001,33318
gated_alive:a_001:33486,a_001,33486
gated_alive:a_001:33547,a_001,33547
gated_alive:a_001:33644,a_001,33644
gated_alive:a_001:33718,a_001,33718
gated_alive:a_001:33962,a_001,33962
gated_alive:a_001:34126,a_001,34126
