first,second,neighbor_jaccard
pca,pca_white,0.8617564499484004
pca,tsne_p5,0.007297134225927329
pca,tsne_p30,0.008228430656466638
pca,tsne_p50,0.008476704834395988
pca,umap_n15_d0.1,0.006569376868342386
pca,umap_n50_d0.1,0.006751372152751463
pca,umap_n15_d0.5,0.0063638381541829825
pca_white,tsne_p5,0.007198771841185633
pca_white,tsne_p30,0.008220323986358469
pca_white,tsne_p50,0.008484600291429377
pca_white,umap_n15_d0.1,0.006547765146730664
pca_white,umap_n50_d0.1,0.006742624310555345
pca_white,umap_n15_d0.5,0.006355381668140289
tsne_p5,tsne_p30,0.2993625384040647
tsne_p5,tsne_p50,0.25721584210009363
tsne_p5,umap_n15_d0.1,0.11580987807838454
tsne_p5,umap_n50_d0.1,0.08382225742816764
tsne_p5,umap_n15_d0.5,0.06031216133781818
tsne_p30,tsne_p50,0.4938673586663242
tsne_p30,umap_n15_d0.1,0.1472308322752126
tsne_p30,umap_n50_d0.1,0.11302684444279927
tsne_p30,umap_n15_d0.5,0.07635730361595265
tsne_p50,umap_n15_d0.1,0.15079237999322548
tsne_p50,umap_n50_d0.1,0.12114364757198463
tsne_p50,umap_n15_d0.5,0.07896459505343759
umap_n15_d0.1,umap_n50_d0.1,0.17809254182722792
umap_n15_d0.1,umap_n15_d0.5,0.1546070605303878
umap_n50_d0.1,umap_n15_d0.5,0.127372246995589
