cell_id,sample_id,event_index,kmeans_k6,kmeans_k10,kmeans_k14,ward_k6,ward_k10,ward_k14,leiden_r0.5,leiden_r1.0,leiden_r1.5
gated_alive:a_001:436,a_001,436,3,4,4,0,0,0,1,2,3
gated_alive:a_001:535,a_001,535,5,2,1,0,1,1,0,0,8
gated_alive:a_001:603,a_001,603,5,8,10,0,0,0,0,8,10
gated_alive:a_001:814,a_001,814,1,0,0,1,2,2,3,1,4
gated_alive:a_001:1146,a_001,1146,5,2,1,0,1,1,0,0,0
gated_alive:a_001:1468,a_001,1468,0,5,11,2,3,3,4,3,1
gated_alive:a_001:1477,a_001,1477,0,5,11,2,3,3,4,3,1
gated_alive:a_001:1602,a_001,1602,0,5,3,3,4,4,0,0,17
gated_alive:a_001:1774,a_001,1774,0,5,11,2,3,3,4,3,1
gated_alive:a_001:1817,a_001,1817,3,9,12,1,2,2,1,6,3
gated_alive:a_001:1862,a_001,1862,1,0,0,1,2,2,3,1,4
gated_alive:a_001:1872,a_001,1872,1,0,6,1,2,2,3,1,6
gated_alive:a_001:2045,a_001,2045,3,3,4,1,5,5,1,2,5
gated_alive:a_001:2064,a_001,2064,3,3,4,1,5,5,1,2,3
gated_alive:a_001:2525,a_001,2525,5,8,10,0,0,6,0,0,0
gated_alive:a_001:2623,a_001,2623,0,5,11,2,3,3,4,3,1
gated_alive:a_001:2843,a_001,2843,1,0,0,1,2,2,3,1,4
gated_alive:a_001:3053,a_001,3053,3,3,4,1,2,2,1,2,5
gated_alive:a_001:3073,a_001,3073,0,5,11,0,0,7,4,7,12
gated_alive:a_001:3415,a_001,3415,1,0,0,1,2,2,3,1,4
gated_alive:a_001:3586,a_001,3586,2,6,2,3,6,8,2,4,2
gated_alive:a_001:3682,a_001,3682,2,6,2,3,6,9,2,4,2
gated_alive:a_001:3690,a_001,3690,5,8,3,0,1,1,0,7,11
gated_alive:a_001:4779,a_001,4779,1,0,0,1,2,2,3,1,4
gated_alive:a_001:5224,a_001,5224,3,3,4,1,5,5,1,2,3
gated_alive:a_001:5333,a_001,5333,5,8,10,0,0,0,4,8,10
gated_alive:a_001:5560,a_001,5560,2,6,2,0,0,0,2,4,2
gated_alive:a_001:6251,a_001,6251,5,2,1,0,1,1,0,0,0
gated_alive:a_001:6490,a_001,6490,5,2,3,0,1,1,4,3,1
gated_alive:a_001:6502,a_001,6502,3,3,4,1,5,5,1,2,5
gated_alive:a_001:6652,a_001,6652,1,0,0,1,2,2,3,1,4
gated_alive:a_001:6792,a_001,6792,5,8,10,0,1,1,0,7,12
gated_alive:a_001:6930,a_001,6930,0,2,1,0,1,1,0,0,0
gated_alive:a_001:6941,a_001,6941,3,3,4,1,5,5,1,2,5
gated_alive:a_001:7033,a_001,7033,3,4,8,1,5,5,1,2,3
gated_alive:a_001:7189,a_001,7189,0,5,11,2,3,3,4,3,1
gated_alive:a_001:7302,a_001,7302,3,9,4,1,5,5,1,2,3
