cluster,cell_count,donor_coverage,dominant_donor_share,variant
0,2268,20,0.08465608465608465,kmeans_k6
1,1902,20,0.10094637223974763,kmeans_k6
2,1153,20,0.10928013876843018,kmeans_k6
3,2063,20,0.08434318952981096,kmeans_k6
4,262,20,0.13358778625954199,kmeans_k6
5,2352,20,0.0897108843537415,kmeans_k6
0,334,20,0.09580838323353294,ward_k14
1,1920,20,0.090625,ward_k14
2,1310,20,0.10610687022900764,ward_k14
3,1522,20,0.09592641261498029,ward_k14
4,216,20,0.13425925925925927,ward_k14
5,1606,20,0.08841843088418432,ward_k14
6,439,20,0.14350797266514806,ward_k14
7,232,20,0.09051724137931035,ward_k14
8,815,20,0.09325153374233129,ward_k14
9,288,20,0.11805555555555555,ward_k14
10,483,20,0.10351966873706005,ward_k14
11,247,18,0.1417004048582996,ward_k14
12,266,20,0.07142857142857142,ward_k14
13,322,20,0.18944099378881987,ward_k14
0,1969,20,0.08430675469781615,leiden_r1.0
1,1612,20,0.09987593052109181,leiden_r1.0
2,1429,20,0.08957312806158152,leiden_r1.0
3,1275,20,0.09098039215686274,leiden_r1.0
4,1019,20,0.10304219823356231,leiden_r1.0
5,807,20,0.07434944237918216,leiden_r1.0
6,679,20,0.09720176730486009,leiden_r1.0
7,422,20,0.17298578199052134,leiden_r1.0
8,389,20,0.10282776349614396,leiden_r1.0
9,247,20,0.145748987854251,leiden_r1.0
10,152,20,0.10526315789473684,leiden_r1.0
