cluster,sample_id,cell_count,variant
0,a_001,102,kmeans_k6
0,a_002,97,kmeans_k6
0,a_003,128,kmeans_k6
0,a_004,192,kmeans_k6
0,a_005,93,kmeans_k6
0,a_006,115,kmeans_k6
0,a_007,129,kmeans_k6
0,a_009,113,kmeans_k6
0,a_010,187,kmeans_k6
0,a_011,103,kmeans_k6
0,a_012,99,kmeans_k6
0,a_1a,45,kmeans_k6
0,a_2a,109,kmeans_k6
0,a_2b,169,kmeans_k6
0,a_3a,78,kmeans_k6
0,a_3b,83,kmeans_k6
0,a_4a,90,kmeans_k6
0,a_4b,79,kmeans_k6
0,a_5a,113,kmeans_k6
0,a_5b,144,kmeans_k6
1,a_001,120,kmeans_k6
1,a_002,79,kmeans_k6
1,a_003,18,kmeans_k6
1,a_004,71,kmeans_k6
1,a_005,54,kmeans_k6
1,a_006,167,kmeans_k6
1,a_007,133,kmeans_k6
1,a_009,87,kmeans_k6
1,a_010,107,kmeans_k6
1,a_011,31,kmeans_k6
1,a_012,27,kmeans_k6
1,a_1a,192,kmeans_k6
1,a_2a,95,kmeans_k6
1,a_2b,135,kmeans_k6
1,a_3a,105,kmeans_k6
1,a_3b,124,kmeans_k6
1,a_4a,85,kmeans_k6
1,a_4b,88,kmeans_k6
1,a_5a,99,kmeans_k6
1,a_5b,85,kmeans_k6
2,a_001,42,kmeans_k6
2,a_002,87,kmeans_k6
2,a_003,126,kmeans_k6
2,a_004,62,kmeans_k6
2,a_005,95,kmeans_k6
2,a_006,19,kmeans_k6
2,a_007,51,kmeans_k6
2,a_009,47,kmeans_k6
2,a_010,41,kmeans_k6
2,a_011,98,kmeans_k6
2,a_012,53,kmeans_k6
2,a_1a,43,kmeans_k6
2,a_2a,32,kmeans_k6
2,a_2b,16,kmeans_k6
2,a_3a,51,kmeans_k6
2,a_3b,60,kmeans_k6
2,a_4a,77,kmeans_k6
2,a_4b,37,kmeans_k6
2,a_5a,66,kmeans_k6
2,a_5b,50,kmeans_k6
3,a_001,140,kmeans_k6
3,a_002,162,kmeans_k6
3,a_003,63,kmeans_k6
3,a_004,53,kmeans_k6
3,a_005,174,kmeans_k6
3,a_006,81,kmeans_k6
3,a_007,99,kmeans_k6
3,a_009,135,kmeans_k6
3,a_010,67,kmeans_k6
3,a_011,70,kmeans_k6
3,a_012,91,kmeans_k6
3,a_1a,87,kmeans_k6
3,a_2a,94,kmeans_k6
3,a_2b,90,kmeans_k6
3,a_3a,128,kmeans_k6
3,a_3b,112,kmeans_k6
3,a_4a,99,kmeans_k6
3,a_4b,84,kmeans_k6
3,a_5a,116,kmeans_k6
3,a_5b,118,kmeans_k6
4,a_001,3,kmeans_k6
4,a_002,13,kmeans_k6
4,a_003,30,kmeans_k6
4,a_004,1,kmeans_k6
4,a_005,6,kmeans_k6
4,a_006,29,kmeans_k6
4,a_007,23,kmeans_k6
4,a_009,35,kmeans_k6
4,a_010,1,kmeans_k6
4,a_011,5,kmeans_k6
4,a_012,19,kmeans_k6
4,a_1a,10,kmeans_k6
4,a_2a,2,kmeans_k6
4,a_2b,4,kmeans_k6
4,a_3a,6,kmeans_k6
4,a_3b,1,kmeans_k6
4,a_4a,29,kmeans_k6
4,a_4b,12,kmeans_k6
4,a_5a,14,kmeans_k6
4,a_5b,19,kmeans_k6
5,a_001,93,kmeans_k6
5,a_002,62,kmeans_k6
5,a_003,135,kmeans_k6
5,a_004,121,kmeans_k6
5,a_005,78,kmeans_k6
5,a_006,89,kmeans_k6
5,a_007,65,kmeans_k6
5,a_009,83,kmeans_k6
5,a_010,97,kmeans_k6
5,a_011,193,kmeans_k6
5,a_012,211,kmeans_k6
5,a_1a,123,kmeans_k6
5,a_2a,168,kmeans_k6
5,a_2b,86,kmeans_k6
5,a_3a,132,kmeans_k6
5,a_3b,120,kmeans_k6
5,a_4a,120,kmeans_k6
5,a_4b,200,kmeans_k6
