cluster,CD3,CD27,CD19,CD4,CD8,CD57,2DL1-S1,TRAIL,2DL2-L3-S2,CD16,CD10,3DL1-S1,CD117,2DS4,ILT2-CD85j,NKp46,NKG2D,NKG2C,2B4,CD33,CD11b,NKp30,CD122,3DL1,NKp44,CD127,2DL1,CD94,CD34,CCR7,2DL3,NKG2A,HLA-DR,2DL4,CD56,2DL5,CD25,variant
0,1.5644949566867146,-0.04849902893337894,1.6398311561939378,-0.03138226881945,0.5076616599029509,-0.07938743353329752,-0.09198042361223466,-0.09234982875128851,-0.09123682226532873,-0.0511948802307021,-0.07948951607672657,-0.09687179909090801,-0.09363870973400014,-0.08631467719423319,1.3706001096419866,-0.08077139874241698,-0.08056339906226848,-0.08268433022640947,0.18475607390480822,1.8989001683616515,-0.06617225309480124,-0.08151354476739414,-0.08569540219065777,-0.09120853645617458,-0.09647844278260845,-0.07004420952397816,-0.0928433204985127,-0.07491071915555657,-0.06984241392315985,-0.03999735235978196,-0.07790591882005615,0.2533667371071735,5.283947290973144,1.4535352064369502,0.2444327790232165,-0.07658301408554512,-0.07652511531982514,kmeans_k6
1,4.796910424208145,0.8166904001345765,-0.05819078257305521,2.509090283866615,1.1472448054705278,-0.07084082497781986,-0.0883594812170693,-0.09061488350939803,-0.08616850375454674,-0.061156148303607605,-0.08902154343103968,-0.09536808266438598,-0.09559595456239481,-0.08943239406487241,-0.0671786727135086,-0.09272065378940286,-0.07260138704342459,-0.07559438188675804,-0.0489450791138067,1.4267103078968504,-0.07795342329178329,-0.07944840364850414,-0.07362442119131798,-0.095516081138597,-0.09399193072932921,2.38355563648975,-0.08233885688235894,-0.08200891930840823,-0.0787144747830008,0.7754951505915412,-0.09137803838267808,-0.07123123125903999,1.202388554346986,-0.07824314314421807,-0.07871571898512575,-0.08933110287713368,-0.08957370499392033,kmeans_k6
2,2.1267699293020677,0.2131653736818515,-0.041055691404343994,0.2791957481408305,2.44837398597596,1.375982331002208,0.037260075557945756,-0.08389436291000435,0.04543030421182252,3.952445345836801,0.5047461106354235,-0.07427353872477477,-0.04650733878499538,-0.034877099368817076,0.8155582687990914,1.7739403926019122,1.4943795119311605,0.04957184398338063,2.1085298505616716,2.1085456497488204,0.29190318731778275,1.8521000108303858,1.8666478087001843,-0.05373482778511777,-0.07409480496293533,0.3525077364301912,-0.0179357893707274,2.932842449547079,0.429868255540309,-0.03959042720854704,-0.03721561401375863,2.4075490263115,2.453075805734448,0.2263777352958558,3.4826401950755383,0.11293124105033775,-0.05966314938613729,kmeans_k6
3,4.3571416327952015,1.0101402928060725,-0.044724098480615634,0.02511129168827678,4.165879312281208,1.2149524945582328,-0.03885232488773859,-0.08709606479932307,-0.07571565572711733,-0.03738027320324215,-0.07795429956014788,-0.08957231853467379,-0.08533297078433748,-0.08301494070575226,0.08525414581912225,-0.082199416305994,1.3198302224522125,-0.05616191142930248,0.530097843922607,1.4520927567362385,1.0127556537924296,-0.031267240571059535,-0.01794001684757119,-0.08656103335439452,-0.09138829320097927,1.0405107251450592,-0.07312905542875126,-0.018273876087896455,-0.06363362338162741,-0.02121585875212675,-0.07915007616584534,-0.0528997453259442,1.7002967048686224,-0.0568617429598864,-0.03218802083984837,-0.08973712753072732,-0.08763009066677908,kmeans_k6
4,2.8850707364501655,-0.004744987391363933,0.053765529106527085,0.45439021741884733,2.3722810992054892,1.6478311345814847,0.30969822399481195,-0.07385494964915912,0.09253568265233286,2.793241064422143,0.39887819056735624,2.220377980000638,-0.03280593754647443,0.2717722112942339,0.9576112677075891,0.8183409259805527,1.6132828443842544,-0.027493859134767668,2.0626783034662406,2.131293719600643,0.37622720716252667,1.1488788986680292,1.399714666415299,3.4013083264134423,0.7418519567058321,1.0520748251688246,-0.021936582649288293,1.8811252262523173,0.3154698076285141,-0.01837884222646246,-0.03221410754403206,1.0899170080744556,2.4038408652478784,0.4878115231337087,2.9595458966667354,-0.016037958436071528,-0.057252556028353344,kmeans_k6
5,3.635357883219676,0.11745314270435037,-0.0436763996000581,1.0891865766047337,1.6644125177396112,-0.05766283629736328,-0.07451374955453804,-0.09150384573254836,-0.07516307203496739,0.4152351241724706,-0.061467027226022285,-0.0914775764305649,-0.07739422072771066,-0.01896953344884112,2.9479441304759044,-0.0415123705748902,-0.04389866729164789,-0.06199220918132089,2.3904438735433313,4.578590395302803,1.2620690243301276,-0.049316948369547656,-0.07113964460230107,-0.08301619467762442,-0.08173561350547567,-0.0017634604911746503,-0.07106422925929086,-0.04955918101380395,1.6004072787485302,-0.02903779435452783,-0.036397368595208604,0.891892375260025,5.551009661312698,2.081447107735803,0.6349587984414846,0.07935490175268918,-0.06481970156605249,kmeans_k6
0,2.373419004444426,0.03755140402833186,0.8336993611013129,0.34219613384528313,1.2149248096464271,-0.06341349463170065,-0.09381467330356479,-0.10139562521225026,-0.0894154162116046,-0.02417855123370106,-0.07129713490435818,-0.0926005754674353,-0.0818030656816863,-0.07427335084796925,2.1615495099513304,-0.07117355885513688,-0.05672047829131962,-0.0620496013721709,1.5116839624486789,3.3068529635024593,0.12626130363404203,-0.059313275073958345,-0.05638929047948764,-0.08376061127348655,-0.09123331886551143,-0.03444797521671897,-0.0832749306567451,-0.0815342995062267,0.04907050110809822,-0.009987457544912256,-0.04865728039473484,0.7757121430669978,5.714341323329384,1.9791124514588707,0.5147645301930208,-0.018037087479513277,1.3403778788709468,ward_k14
1,3.1605223932573105,-0.013044688312871606,-0.04707882687495578,0.7252713492509681,1.3867323561299607,-0.06828441419137293,-0.08304152804921715,-0.09500649222010367,-0.0823248190403679,0.2243745255855283,-0.06958171971632651,-0.08939516338246915,-0.08974698809285481,-0.028398911687808913,2.764124269755344,-0.051938347472968834,-0.0636910197555277,-0.07073647168703347,2.2197746935401836,4.488265101442911,1.082800190048568,-0.05864686694820216,-0.07799835837916172,-0.08584604256691444,-0.08404328216591306,-0.03962127902019387,-0.07611375854297249,-0.05748920900329009,1.3542321914199005,-0.04459978783482124,-0.048844926285954895,0.5981373753778401,5.416862027099128,1.9784796306431995,0.500217191297625,-0.009832629600628511,-0.07757842059858558,ward_k14
2,4.851828461092612,0.7553033334217867,-0.06417199852056216,2.6414426812324088,0.9467769485150933,-0.07193182749207844,-0.08704033287409113,-0.09366060193364203,-0.08804109219072419,-0.06222178021665437,-0.09019859544165537,-0.09834033926856516,-0.09610105785561185,-0.08970333597713746,-0.06643810017227578,-0.09747107796025098,-0.07857178891751249,-0.07215659713329911,-0.051028376303975415,1.4022016340681722,-0.07259648551823811,-0.08214552851160659,-0.07715935711745206,-0.0957050251846624,-0.09421165690979286,2.3885142886051254,-0.07792054325537685,-0.08614589388939402,-0.08182332814282652,0.8942553963480582,-0.08682202556741025,-0.07405646070686187,1.1320053988252576,-0.08300879163140028,-0.08090624859409982,-0.08782738169763861,-0.0847765666337738,ward_k14
3,1.4785100513188927,-0.038476837743939334,2.0154115310793035,-0.01795143358263373,0.7049523705136994,-0.07788501226427785,-0.0865304360427854,-0.09217385857536001,-0.0938353924942575,-0.0547078539071854,-0.07536375663215317,-0.0922328382507211,-0.09487508358535762,-0.08396960872354073,1.5203361515113758,-0.08202552809523894,-0.08484198730836978,-0.08437269510888033,0.08802134735895217,1.5802018646247842,-0.06817839841630885,-0.08869225242293549,-0.09323755986716223,-0.08951219661034741,-0.10210315001991849,-0.0700977482150816,-0.09273195736899098,-0.08165591902650543,-0.07252236341149951,-0.03384825699223082,-0.07514673076990451,0.21370774346175114,5.386189291590949,1.5238102954462063,0.19111667610446814,-0.07513283144546558,-0.08793500379800456,ward_k14
