cell_id,sample_id,event_index,component_1,component_2
gated_alive:a_001:436,a_001,436,3.930081844329834,10.93557071685791
gated_alive:a_001:535,a_001,535,9.59936809539795,11.466522216796875
gated_alive:a_001:603,a_001,603,10.536407470703125,12.899286270141602
gated_alive:a_001:814,a_001,814,3.8455653190612793,14.39641284942627
gated_alive:a_001:1146,a_001,1146,10.15262222290039,12.075562477111816
gated_alive:a_001:1468,a_001,1468,9.383845329284668,16.185890197753906
gated_alive:a_001:1477,a_001,1477,9.386067390441895,15.718358039855957
gated_alive:a_001:1602,a_001,1602,9.341139793395996,14.095926284790039
gated_alive:a_001:1774,a_001,1774,9.707521438598633,16.20709228515625
gated_alive:a_001:1817,a_001,1817,4.630774974822998,9.482905387878418
gated_alive:a_001:1862,a_001,1862,3.8845620155334473,14.661523818969727
gated_alive:a_001:1872,a_001,1872,3.0892632007598877,14.002161026000977
gated_alive:a_001:2045,a_001,2045,2.8059308528900146,11.774441719055176
gated_alive:a_001:2064,a_001,2064,3.229659080505371,10.839082717895508
gated_alive:a_001:2525,a_001,2525,8.668249130249023,11.292610168457031
gated_alive:a_001:2623,a_001,2623,9.719908714294434,16.073028564453125
gated_alive:a_001:2843,a_001,2843,4.1753668785095215,13.815862655639648
gated_alive:a_001:3053,a_001,3053,2.528533697128296,12.0490083694458
gated_alive:a_001:3073,a_001,3073,9.487783432006836,14.962512969970703
gated_alive:a_001:3415,a_001,3415,3.7808806896209717,13.163519859313965
gated_alive:a_001:3586,a_001,3586,6.352090835571289,7.73989200592041
gated_alive:a_001:3682,a_001,3682,7.04019832611084,8.240090370178223
gated_alive:a_001:3690,a_001,3690,10.317769050598145,9.843100547790527
gated_alive:a_001:4779,a_001,4779,4.6922149658203125,13.534926414489746
gated_alive:a_001:5224,a_001,5224,3.684326171875,10.356770515441895
gated_alive:a_001:5333,a_001,5333,9.641427993774414,14.577248573303223
gated_alive:a_001:5560,a_001,5560,6.751844882965088,7.456030368804932
gated_alive:a_001:6251,a_001,6251,9.218268394470215,12.389984130859375
gated_alive:a_001:6490,a_001,6490,10.06262493133545,12.778424263000488
gated_alive:a_001:6502,a_001,6502,2.8408079147338867,11.141846656799316
gated_alive:a_001:6652,a_001,6652,3.4679625034332275,14.275822639465332
gated_alive:a_001:6792,a_001,6792,8.708763122558594,10.648892402648926
gated_alive:a_001:6930,a_001,6930,8.947688102722168,13.038957595825195
gated_alive:a_001:6941,a_001,6941,2.9656028747558594,11.251161575317383
gated_alive:a_001:7033,a_001,7033,3.73506760597229,10.525033950805664
gated_alive:a_001:7189,a_001,7189,8.952486038208008,16.52376365661621
gated_alive:a_001:7302,a_001,7302,3.2334728240966797,10.370927810668945
gated_alive:a_001:7383,a_001,7383,3.0630054473876953,10.316102981567383
gated_alive:a_001:7422,a_001,7422,3.5858938694000244,11.14484977722168
gated_alive:a_001:7472,a_001,7472,3.4097750186920166,14.646001815795898
gated_alive:a_001:7541,a_001,7541,4.222102165222168,9.825003623962402
gated_alive:a_001:7706,a_001,7706,6.457372188568115,7.783825397491455
gated_alive:a_001:7765,a_001,7765,2.8518450260162354,11.098847389221191
gated_alive:a_001:7771,a_001,7771,2.2443056106567383,11.022751808166504
gated_alive:a_001:7908,a_001,7908,2.9799814224243164,11.730012893676758
gated_alive:a_001:7963,a_001,7963,3.6124274730682373,10.134257316589355
gated_alive:a_001:8487,a_001,8487,9.405160903930664,12.435680389404297
gated_alive:a_001:8703,a_001,8703,2.248138189315796,10.994807243347168
gated_alive:a_001:8713,a_001,8713,4.998470306396484,12.529718399047852
gated_alive:a_001:8850,a_001,8850,9.481108665466309,12.869016647338867
gated_alive:a_001:8917,a_001,8917,6.55058479309082,9.799985885620117
gated_alive:a_001:8982,a_001,8982,3.7668333053588867,11.475379943847656
gated_alive:a_001:9385,a_001,9385,4.405844688415527,13.670144081115723
gated_alive:a_001:9532,a_001,9532,4.358212947845459,11.99327278137207
gated_alive:a_001:9679,a_001,9679,6.532386302947998,9.829730033874512
gated_alive:a_001:9763,a_001,9763,9.338384628295898,12.991652488708496
gated_alive:a_001:9787,a_001,9787,4.265993595123291,13.806875228881836
gated_alive:a_001:10019,a_001,10019,3.2879974842071533,11.908514976501465
gated_alive:a_001:10091,a_001,10091,6.98643684387207,7.4673752784729
gated_alive:a_001:10179,a_001,10179,8.7780179977417,16.99859046936035
gated_alive:a_001:10352,a_001,10352,8.349662780761719,15.545278549194336
gated_alive:a_001:10467,a_001,10467,9.513052940368652,12.658051490783691
gated_alive:a_001:10485,a_001,10485,3.3909952640533447,11.578207015991211
gated_alive:a_001:10640,a_001,10640,8.561412811279297,16.95285415649414
gated_alive:a_001:10780,a_001,10780,5.696249961853027,7.464661121368408
gated_alive:a_001:10840,a_001,10840,5.978567600250244,9.625450134277344
gated_alive:a_001:10877,a_001,10877,2.942821741104126,11.603368759155273
gated_alive:a_001:11449,a_001,11449,4.423423767089844,13.374064445495605
gated_alive:a_001:11455,a_001,11455,9.494306564331055,16.225797653198242
gated_alive:a_001:11507,a_001,11507,4.366257190704346,11.58685302734375
gated_alive:a_001:11518,a_001,11518,3.1317758560180664,11.27509880065918
gated_alive:a_001:11547,a_001,11547,3.1527137756347656,10.904138565063477
gated_alive:a_001:11605,a_001,11605,9.853815078735352,14.458418846130371
gated_alive:a_001:11832,a_001,11832,8.380638122558594,15.435178756713867
