split_id,technical_variable,roc_auc
0,measurement_date,0.5
0,instrument,0.5
1,measurement_date,0.25
1,instrument,0.375
2,measurement_date,0.125
2,instrument,0.25
3,measurement_date,0.125
3,instrument,0.125
4,measurement_date,0.25
4,instrument,0.375
5,measurement_date,0.25
5,instrument,0.25
6,measurement_date,0.3125
6,instrument,0.375
7,measurement_date,0.25
7,instrument,0.25
8,measurement_date,0.5
8,instrument,0.5
9,measurement_date,0.125
9,instrument,0.5
10,measurement_date,0.5
10,instrument,0.5
11,measurement_date,0.5
11,instrument,0.5
12,measurement_date,0.25
12,instrument,0.375
13,measurement_date,0.25
13,instrument,0.25
14,measurement_date,0.25
14,instrument,0.375
15,measurement_date,0.125
15,instrument,0.5
16,measurement_date,0.3125
16,instrument,0.5
17,measurement_date,0.25
17,instrument,0.375
18,measurement_date,0.5
18,instrument,0.5
19,measurement_date,0.3125
19,instrument,0.5
20,measurement_date,0.5
20,instrument,0.5
21,measurement_date,0.0625
21,instrument,0.375
22,measurement_date,0.3125
22,instrument,0.5
23,measurement_date,0.4375
23,instrument,0.375
24,measurement_date,0.25
24,instrument,0.25
25,measurement_date,0.3125
25,instrument,0.375
26,measurement_date,0.25
26,instrument,0.375
27,measurement_date,0.5
27,instrument,0.5
28,measurement_date,0.25
28,instrument,0.25
29,measurement_date,0.3125
29,instrument,0.5
