"method","gate","run_mode","split_id","split_seed","cluster_id","marker","centroid","coefficient","transform_cofactor","minimum_cluster_size_fraction"
"citrus","gated_NK","smoke",1,976400780,1365,"CD3",0.535108724153333,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD27",0.0468333395909378,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD19",-0.0258384737250218,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD4",0.180423050025712,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD8",1.12848630371217,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD57",0.157119286346469,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"2DL1-S1",-0.0130094802455125,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"TRAIL",-0.0258414144966418,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"2DL2-L3-S2",0.303867913957087,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD16",3.91651569342375,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD10",0.582430962001315,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"3DL1-S1",0.0313516647654154,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"CD117",0.225382217193059,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"2DS4",0.0113096224835196,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"ILT2-CD85j",0.215300454561473,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"NKp46",1.88720127972264,-44.346402336609,5,0.05
"citrus","gated_NK","smoke",1,976400780,1365,"NKG2D",1.06695969221265,-44.346402336609,5,0.05
