"method","gate","run_mode","split_id","split_seed","cluster_id","marker","centroid","coefficient","transform_cofactor","minimum_cluster_size_fraction"
"citrus","gated_alive","full",0,3003105692,138664,"CD3",3.05606068365578,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD27",0.548488445577813,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD19",0.384416223031352,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD4",0.967256004631457,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD8",2.67661602683699,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD57",1.49702153367627,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"2DL1-S1",0.906333673952118,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"TRAIL",-0.0232498441910969,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"2DL2-L3-S2",0.516214774462071,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD16",3.98865447817815,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD10",0.84372423542417,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"3DL1-S1",0.123123316431726,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD117",0.210727146390754,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"2DS4",0.660726843313104,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"ILT2-CD85j",2.94005194967861,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"NKp46",2.35806470393943,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"NKG2D",1.60973371747333,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"NKG2C",0.324532020141116,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"2B4",2.76613667320932,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD33",4.63426297866594,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD11b",1.72899183205141,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"NKp30",1.88799763358573,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD122",1.86227130520962,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"3DL1",0.426144836622039,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"NKp44",0.0204154619577367,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD127",0.712312184520257,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"2DL1",2.43841215900231,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD94",1.51504808547556,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CD34",1.778621200592,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"CCR7",0.210464002301064,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"2DL3",0.639712386925566,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"NKG2A",1.20515172094171,-403.839446326451,5,5e-04
"citrus","gated_alive","full",0,3003105692,138664,"HLA-DR",5.39136418704795,-403.839446326451,5,5e-04
