"method","gate","run_mode","split_id","split_seed","r_seed","selected_lambda","selected_cluster_count","eligible_cluster_count","file_sample_size","minimum_cluster_size_fraction"
"citrus","gated_alive","full",0,3003105692,855622045,0.199902248780843,6,3117,10000,5e-04
"citrus","gated_alive","full",1,976400780,976400780,0.287366325459792,1,3112,10000,5e-04
"citrus","gated_alive","full",2,3387213021,1239729374,0.0356563927054345,10,3134,10000,5e-04
"citrus","gated_alive","full",3,1360466708,1360466708,0.0345624839736978,8,3172,10000,5e-04
"citrus","gated_alive","full",4,876933080,876933080,0.30506221975169,1,3150,10000,5e-04
"citrus","gated_alive","full",5,3424658561,1277174914,0.349766092246743,1,3142,10000,5e-04
"citrus","gated_alive","full",6,2760304911,612821264,0.344834262003423,3,3135,10000,5e-04
"citrus","gated_alive","full",7,2904491693,757008046,0.327278626269565,1,3126,10000,5e-04
"citrus","gated_alive","full",8,4245388044,2097904397,0.0113695009428921,12,3095,10000,5e-04
"citrus","gated_alive","full",9,1679802727,1679802727,0.050153534077854,8,3138,10000,5e-04
"citrus","gated_alive","full",10,3605303106,1457819459,0.189926598617392,7,3136,10000,5e-04
"citrus","gated_alive","full",11,1429424934,1429424934,0.230698877471718,7,3124,10000,5e-04
"citrus","gated_alive","full",12,2437408156,289924509,0.0779919487161725,10,3151,10000,5e-04
"citrus","gated_alive","full",13,2569716528,422232881,0.0480487082652665,8,3132,10000,5e-04
"citrus","gated_alive","full",14,915442270,915442270,0.273862556748865,2,3133,10000,5e-04
"citrus","gated_alive","full",15,802017219,802017219,0.136323190792932,7,3116,10000,5e-04
"citrus","gated_alive","full",16,984129068,984129068,0.24003518876152,4,3136,10000,5e-04
"citrus","gated_alive","full",17,2889465206,741981559,0.357956811933061,2,3106,10000,5e-04
"citrus","gated_alive","full",18,2634853374,487369727,0.254216178050965,4,3117,10000,5e-04
"citrus","gated_alive","full",19,4045012504,1897528857,0.352918707621061,0,3156,10000,5e-04
"citrus","gated_alive","full",20,3032918238,885434591,0.168172601954275,4,3154,10000,5e-04
"citrus","gated_alive","full",21,1066207224,1066207224,0.31977691590522,2,3150,10000,5e-04
"citrus","gated_alive","full",22,3929519758,1782036111,0.253219579704074,3,3121,10000,5e-04
"citrus","gated_alive","full",23,4075413513,1927929866,0.292229462878644,1,3121,10000,5e-04
"citrus","gated_alive","full",24,3145778132,998294485,0.346661453597825,0,3104,10000,5e-04
"citrus","gated_alive","full",25,2865763038,718279391,0.147239655947857,6,3125,10000,5e-04
"citrus","gated_alive","full",26,561033802,561033802,0.399315971083541,0,3114,10000,5e-04
"citrus","gated_alive","full",27,411878496,411878496,0.376542225489309,1,3107,10000,5e-04
"citrus","gated_alive","full",28,1143809828,1143809828,0.269629936065065,2,3153,10000,5e-04
"citrus","gated_alive","full",29,1897686915,1897686915,0.392832305815949,2,3107,10000,5e-04
