Methode,Metrik,Median,Q1,Q3,Mittelwert,Standardabweichung
CellCNN,roc_auc,0.875,0.625,1.0,0.825,0.1755533124644516
CellCNN,average_precision,0.8333333333333333,0.7,1.0,0.8399999999999999,0.1477545857986177
CellCNN,pr_auc,0.7916666666666666,0.6625,1.0,0.8122222222222224,0.1757984430892168
CellCNN,balanced_accuracy,0.625,0.5,0.875,0.6791666666666667,0.17884728282731227
Citrus,roc_auc,0.625,0.5,0.75,0.60625,0.24242289033550585
Citrus,average_precision,0.5416666666666666,0.3416666666666667,0.75,0.5783333333333333,0.22179604728226854
Citrus,pr_auc,0.6645833333333333,0.2875,0.7083333333333333,0.5330555555555555,0.2549390781907732
Citrus,balanced_accuracy,0.5,0.5,0.625,0.5291666666666667,0.15634336291137138
Lineare Single-Cell-SVM,roc_auc,0.875,0.75,0.875,0.8083333333333333,0.15651557889482315
Lineare Single-Cell-SVM,average_precision,0.8333333333333333,0.7124999999999999,0.8333333333333333,0.7949999999999999,0.15156590059186206
Lineare Single-Cell-SVM,pr_auc,0.7916666666666666,0.6739583333333333,0.7916666666666666,0.7473611111111111,0.19613569020426377
Lineare Single-Cell-SVM,balanced_accuracy,0.625,0.5,0.75,0.625,0.16738351585299655
