split_id,C,inner_fold,validation_roc_auc,gate,run_mode,selected
0,0.01,0,0.5,gated_alive,full,True
0,0.01,1,0.33333333333333337,gated_alive,full,True
0,0.01,2,0.75,gated_alive,full,True
0,0.1,0,0.5,gated_alive,full,False
0,0.1,1,0.33333333333333337,gated_alive,full,False
0,0.1,2,0.75,gated_alive,full,False
0,1.0,0,0.5,gated_alive,full,False
0,1.0,1,0.33333333333333337,gated_alive,full,False
0,1.0,2,0.75,gated_alive,full,False
1,0.01,0,0.5,gated_alive,full,True
1,0.01,1,0.16666666666666669,gated_alive,full,True
1,0.01,2,1.0,gated_alive,full,True
1,0.1,0,0.5,gated_alive,full,False
1,0.1,1,0.16666666666666669,gated_alive,full,False
1,0.1,2,1.0,gated_alive,full,False
1,1.0,0,0.5,gated_alive,full,False
1,1.0,1,0.16666666666666669,gated_alive,full,False
1,1.0,2,1.0,gated_alive,full,False
2,0.01,0,0.6666666666666666,gated_alive,full,True
2,0.01,1,0.8333333333333334,gated_alive,full,True
2,0.01,2,0.75,gated_alive,full,True
2,0.1,0,0.6666666666666666,gated_alive,full,False
2,0.1,1,0.8333333333333334,gated_alive,full,False
2,0.1,2,0.75,gated_alive,full,False
2,1.0,0,0.6666666666666666,gated_alive,full,False
2,1.0,1,0.8333333333333334,gated_alive,full,False
2,1.0,2,0.75,gated_alive,full,False
3,0.01,0,0.5,gated_alive,full,True
3,0.01,1,0.33333333333333337,gated_alive,full,True
3,0.01,2,0.75,gated_alive,full,True
3,0.1,0,0.5,gated_alive,full,False
3,0.1,1,0.33333333333333337,gated_alive,full,False
3,0.1,2,0.75,gated_alive,full,False
3,1.0,0,0.5,gated_alive,full,False
3,1.0,1,0.33333333333333337,gated_alive,full,False
3,1.0,2,0.75,gated_alive,full,False
4,0.01,0,1.0,gated_alive,full,True
4,0.01,1,1.0,gated_alive,full,True
4,0.01,2,0.75,gated_alive,full,True
4,0.1,0,1.0,gated_alive,full,False
4,0.1,1,1.0,gated_alive,full,False
4,0.1,2,0.75,gated_alive,full,False
4,1.0,0,1.0,gated_alive,full,False
4,1.0,1,1.0,gated_alive,full,False
4,1.0,2,0.75,gated_alive,full,False
5,0.01,0,1.0,gated_alive,full,True
5,0.01,1,0.6666666666666667,gated_alive,full,True
5,0.01,2,0.5,gated_alive,full,True
