split_id,selected_cluster_count,eligible_cluster_count,maximum_centroid_error,tree_reconstructed,null_model
0,2,30.0,4.66293670342566e-15,True,False
1,4,31.0,4.88498130835069e-15,True,False
2,0,,0.0,False,True
3,6,32.0,4.88498130835069e-15,True,False
4,2,34.0,4.44089209850063e-15,True,False
5,3,31.0,4.44089209850063e-15,True,False
6,5,31.0,4.88498130835069e-15,True,False
7,1,29.0,4.88498130835069e-15,True,False
8,5,31.0,4.44089209850063e-15,True,False
9,1,34.0,4.88498130835069e-15,True,False
10,1,31.0,4.44089209850063e-15,True,False
11,4,31.0,4.88498130835069e-15,True,False
12,1,30.0,4.44089209850063e-15,True,False
13,2,32.0,4.88498130835069e-15,True,False
14,0,,0.0,False,True
15,4,30.0,5.32907051820075e-15,True,False
16,0,,0.0,False,True
17,7,29.0,5.32907051820075e-15,True,False
18,3,31.0,4.88498130835069e-15,True,False
19,0,,0.0,False,True
20,5,33.0,4.88498130835069e-15,True,False
21,2,33.0,4.88498130835069e-15,True,False
22,8,32.0,4.88498130835069e-15,True,False
23,7,32.0,4.88498130835069e-15,True,False
24,0,,0.0,False,True
25,8,30.0,4.88498130835069e-15,True,False
26,2,35.0,4.88498130835069e-15,True,False
27,0,,0.0,False,True
28,1,31.0,3.77475828372553e-15,True,False
29,2,33.0,4.44089209850063e-15,True,False
30,5,31.0,4.88498130835069e-15,True,False
31,1,30.0,4.44089209850063e-15,True,False
32,4,30.0,4.88498130835069e-15,True,False
33,3,28.0,4.88498130835069e-15,True,False
34,1,34.0,3.77475828372553e-15,True,False
35,2,33.0,4.88498130835069e-15,True,False
36,2,30.0,4.88498130835069e-15,True,False
37,2,31.0,4.88498130835069e-15,True,False
38,0,,0.0,False,True
39,4,30.0,4.88498130835069e-15,True,False
40,3,31.0,4.88498130835069e-15,True,False
41,2,31.0,4.66293670342566e-15,True,False
42,3,30.0,4.44089209850063e-15,True,False
43,4,32.0,4.88498130835069e-15,True,False
44,3,30.0,4.88498130835069e-15,True,False
45,3,32.0,4.88498130835069e-15,True,False
46,3,31.0,4.66293670342566e-15,True,False
47,2,31.0,4.88498130835069e-15,True,False
48,5,32.0,4.88498130835069e-15,True,False
49,2,30.0,4.66293670342566e-15,True,False
50,2,32.0,4.88498130835069e-15,True,False
51,4,29.0,4.44089209850063e-15,True,False
52,1,32.0,4.88498130835069e-15,True,False
53,0,,0.0,False,True
54,3,33.0,4.66293670342566e-15,True,False
55,0,,0.0,False,True
56,1,31.0,4.88498130835069e-15,True,False
57,2,30.0,4.88498130835069e-15,True,False
58,6,32.0,4.88498130835069e-15,True,False
59,0,,0.0,False,True
60,6,32.0,4.88498130835069e-15,True,False
61,6,31.0,5.32907051820075e-15,True,False
62,4,33.0,4.88498130835069e-15,True,False
63,3,31.0,4.88498130835069e-15,True,False
64,7,33.0,4.44089209850063e-15,True,False
65,3,32.0,4.44089209850063e-15,True,False
66,3,31.0,5.32907051820075e-15,True,False
67,4,30.0,4.88498130835069e-15,True,False
68,4,32.0,5.32907051820075e-15,True,False
69,2,34.0,4.88498130835069e-15,True,False
70,1,30.0,4.88498130835069e-15,True,False
71,0,,0.0,False,True
72,5,31.0,4.66293670342566e-15,True,False
73,1,34.0,4.44089209850063e-15,True,False
74,8,31.0,4.88498130835069e-15,True,False
75,0,,0.0,False,True
76,1,32.0,4.21884749357559e-15,True,False
77,5,30.0,4.88498130835069e-15,True,False
78,6,32.0,4.88498130835069e-15,True,False
79,4,33.0,4.88498130835069e-15,True,False
80,3,32.0,4.88498130835069e-15,True,False
81,2,30.0,4.66293670342566e-15,True,False
82,5,32.0,4.88498130835069e-15,True,False
83,3,28.0,4.88498130835069e-15,True,False
84,2,31.0,4.88498130835069e-15,True,False
85,3,33.0,4.88498130835069e-15,True,False
86,0,,0.0,False,True
87,6,32.0,5.32907051820075e-15,True,False
88,5,31.0,4.88498130835069e-15,True,False
89,3,29.0,4.88498130835069e-15,True,False
90,3,31.0,4.88498130835069e-15,True,False
91,1,34.0,2.22044604925031e-15,True,False
92,2,31.0,4.88498130835069e-15,True,False
93,3,34.0,4.88498130835069e-15,True,False
94,1,30.0,4.44089209850063e-15,True,False
95,5,29.0,5.32907051820075e-15,True,False
96,0,,0.0,False,True
97,0,,0.0,False,True
98,2,33.0,4.88498130835069e-15,True,False
99,7,30.0,4.88498130835069e-15,True,False
