method,direction,donor_id,marker,value
SVM,positive,a_001,CD3,5.656434934849734
SVM,positive,a_001,CD27,0.8939995167623904
SVM,positive,a_001,CD19,-0.00214316531863602
SVM,positive,a_001,CD4,1.5054847059682164
SVM,positive,a_001,CD8,4.865443781766948
SVM,positive,a_001,CD57,3.5421457721922223
SVM,positive,a_001,2DL1-S1,-0.02583006082316067
SVM,positive,a_001,TRAIL,-0.11635171266795946
SVM,positive,a_001,2DL2-L3-S2,-0.12059397040181952
SVM,positive,a_001,CD16,1.311011573883411
SVM,positive,a_001,CD10,-0.0861868486299481
SVM,positive,a_001,3DL1-S1,-0.0794224611173317
SVM,positive,a_001,CD117,-0.10995768900395604
SVM,positive,a_001,2DS4,-0.07433878542854944
SVM,positive,a_001,ILT2-CD85j,1.3392988292331
SVM,positive,a_001,NKp46,-0.033787863625323634
SVM,positive,a_001,NKG2D,2.7157996774333153
SVM,positive,a_001,NKG2C,-0.15748728354132915
SVM,positive,a_001,2B4,0.721641490587971
SVM,positive,a_001,CD33,0.6680068232627513
SVM,positive,a_001,CD11b,-0.07628911204429394
SVM,positive,a_001,NKp30,0.8844201815422112
SVM,positive,a_001,CD122,-0.1803327123416048
SVM,positive,a_001,3DL1,0.25842129962242033
SVM,positive,a_001,NKp44,-0.08283802059906314
SVM,positive,a_001,CD127,-0.015598120579638936
SVM,positive,a_001,2DL1,-0.1320533753734925
SVM,positive,a_001,CD94,1.67349884811332
SVM,positive,a_001,CD34,-0.14145188925653696
SVM,positive,a_001,CCR7,-0.00439360218319658
SVM,positive,a_001,2DL3,-0.070169394310979
SVM,positive,a_001,NKG2A,-0.017249742010427907
SVM,positive,a_001,HLA-DR,3.9341890229802514
SVM,positive,a_001,2DL4,0.38039787231841116
SVM,positive,a_001,CD56,-0.17593793070620026
SVM,positive,a_001,2DL5,-0.05606185410433402
SVM,positive,a_001,CD25,-0.17927952225141358
SVM,positive,a_002,CD3,3.2757200922705314
SVM,positive,a_002,CD27,0.5058766364234579
SVM,positive,a_002,CD19,-0.006705343394879319
SVM,positive,a_002,CD4,0.7551244789060293
SVM,positive,a_002,CD8,3.487462606143288
SVM,positive,a_002,CD57,4.580862841942528
SVM,positive,a_002,2DL1-S1,0.44360233569635976
SVM,positive,a_002,TRAIL,-0.10088106240186129
SVM,positive,a_002,2DL2-L3-S2,1.0572517058482949
SVM,positive,a_002,CD16,4.191450703367963
SVM,positive,a_002,CD10,0.43449758603628924
SVM,positive,a_002,3DL1-S1,-0.0750425167030493
SVM,positive,a_002,CD117,0.7524757876019122
SVM,positive,a_002,2DS4,0.15330621522786061
SVM,positive,a_002,ILT2-CD85j,0.9964722551043765
SVM,positive,a_002,NKp46,1.3228251686864239
SVM,positive,a_002,NKG2D,2.2786723801222513
SVM,positive,a_002,NKG2C,3.7492484918355857
SVM,positive,a_002,2B4,1.5707885740926761
SVM,positive,a_002,CD33,1.2487709707630998
SVM,positive,a_002,CD11b,0.7227479875754366
SVM,positive,a_002,NKp30,0.7647823768196357
SVM,positive,a_002,CD122,0.589138509932935
SVM,positive,a_002,3DL1,-0.10029986784216634
SVM,positive,a_002,NKp44,-0.11558332430140685
SVM,positive,a_002,CD127,-0.01701211825953372
SVM,positive,a_002,2DL1,-0.04864896006778957
SVM,positive,a_002,CD94,3.232577586693587
SVM,positive,a_002,CD34,1.2292643158672638
SVM,positive,a_002,CCR7,0.047748843222357944
SVM,positive,a_002,2DL3,2.797292826900451
SVM,positive,a_002,NKG2A,-0.08257143911315978
SVM,positive,a_002,HLA-DR,1.87255663331994
SVM,positive,a_002,2DL4,0.687067020428261
SVM,positive,a_002,CD56,3.6341609458597652
SVM,positive,a_002,2DL5,0.2962764231495137
SVM,positive,a_002,CD25,-0.012819111918397347
SVM,positive,a_003,CD3,2.1417418057738
SVM,positive,a_003,CD27,0.3577842627688116
SVM,positive,a_003,CD19,-0.10680653659110188
SVM,positive,a_003,CD4,0.09192275361615312
SVM,positive,a_003,CD8,3.4516106996523233
SVM,positive,a_003,CD57,3.6572350516580645
SVM,positive,a_003,2DL1-S1,0.9516019116695604
SVM,positive,a_003,TRAIL,-0.11313365947186065
SVM,positive,a_003,2DL2-L3-S2,-0.06292687724245011
SVM,positive,a_003,CD16,3.4383406849732556
SVM,positive,a_003,CD10,0.01837775223610056
SVM,positive,a_003,3DL1-S1,-0.1259641694019308
SVM,positive,a_003,CD117,-0.04464558627261082
SVM,positive,a_003,2DS4,3.7746982450279285
SVM,positive,a_003,ILT2-CD85j,1.2924755983949832
SVM,positive,a_003,NKp46,0.43025912729679244
SVM,positive,a_003,NKG2D,2.8006631600664598
SVM,positive,a_003,NKG2C,1.2754530025242319
SVM,positive,a_003,2B4,0.993869013489838
SVM,positive,a_003,CD33,3.110524075574446
SVM,positive,a_003,CD11b,0.8441114206686386
SVM,positive,a_003,NKp30,0.040629928645093606
SVM,positive,a_003,CD122,1.673744221496634
SVM,positive,a_003,3DL1,0.5539694675229143
SVM,positive,a_003,NKp44,-0.07788352913214343
SVM,positive,a_003,CD127,0.43315654328461783
SVM,positive,a_003,2DL1,-0.01873441866579
SVM,positive,a_003,CD94,4.457368960777675
SVM,positive,a_003,CD34,0.8120164116557189
SVM,positive,a_003,CCR7,-0.09498951542076096
SVM,positive,a_003,2DL3,-0.0850849749560052
SVM,positive,a_003,NKG2A,3.4372561775731563
SVM,positive,a_003,HLA-DR,2.638478801674678
SVM,positive,a_003,2DL4,0.26933095394171186
SVM,positive,a_003,CD56,3.570575750301959
SVM,positive,a_003,2DL5,-0.0749020361198008
SVM,positive,a_003,CD25,0.2631685259397865
SVM,positive,a_004,CD3,2.639145423980726
SVM,positive,a_004,CD27,-0.13526682172744459
SVM,positive,a_004,CD19,-0.014900234327619798
SVM,positive,a_004,CD4,-0.08915727776525272
SVM,positive,a_004,CD8,1.4450812999536524
SVM,positive,a_004,CD57,2.592868905563343
SVM,positive,a_004,2DL1-S1,-0.031560507014814
SVM,positive,a_004,TRAIL,-0.06562386148908075
SVM,positive,a_004,2DL2-L3-S2,0.9099844258101544
SVM,positive,a_004,CD16,4.813384609887338
SVM,positive,a_004,CD10,0.1908845348294658
SVM,positive,a_004,3DL1-S1,-0.10075136670989025
SVM,positive,a_004,CD117,-0.1333063305654263
