method,direction,donor_id,selected_cells,weight_sum,selection_fraction
SVM,positive,a_001,3,0.16666666666666666,0.0003333333333333333
SVM,positive,a_002,15,2.8095238095238093,0.005619047619047619
SVM,positive,a_003,17,2.666666666666667,0.005333333333333334
SVM,positive,a_004,6,0.6,0.0012
SVM,positive,a_005,11,1.4166666666666665,0.002833333333333333
SVM,positive,a_006,9,1.076923076923077,0.002153846153846154
SVM,positive,a_007,11,1.35,0.0027
SVM,positive,a_009,21,1.7368421052631577,0.0034736842105263155
SVM,positive,a_010,9,0.48275862068965514,0.0009655172413793102
SVM,positive,a_011,14,1.05,0.0021000000000000003
SVM,positive,a_012,10,0.8333333333333334,0.0016666666666666668
SVM,positive,a_1a,15,0.7222222222222221,0.0014444444444444442
SVM,positive,a_2a,8,0.8648648648648649,0.00172972972972973
SVM,positive,a_2b,8,0.2647058823529411,0.0005294117647058822
SVM,positive,a_3a,1,0.024390243902439025,4.878048780487805e-05
SVM,positive,a_3b,7,0.810810810810811,0.001621621621621622
SVM,positive,a_4a,16,2.3703703703703702,0.004740740740740741
SVM,positive,a_4b,10,1.7916666666666665,0.003583333333333333
SVM,positive,a_5a,12,2.24,0.0044800000000000005
SVM,positive,a_5b,16,3.1739130434782608,0.006347826086956522
SVM,negative,a_001,24,5.083333333333334,0.010166666666666668
SVM,negative,a_002,20,3.8571428571428568,0.0077142857142857135
SVM,negative,a_003,15,2.2857142857142856,0.004571428571428571
SVM,negative,a_004,26,5.575,0.01115
SVM,negative,a_005,14,2.333333333333333,0.004666666666666666
SVM,negative,a_006,20,2.230769230769231,0.004461538461538462
SVM,negative,a_007,21,4.25,0.0085
SVM,negative,a_009,34,4.973684210526316,0.009947368421052632
SVM,negative,a_010,20,2.5517241379310347,0.005103448275862069
SVM,negative,a_011,24,2.625,0.00525
SVM,negative,a_012,15,2.833333333333333,0.005666666666666666
SVM,negative,a_1a,29,3.9722222222222223,0.007944444444444445
SVM,negative,a_2a,33,6.513513513513514,0.013027027027027028
SVM,negative,a_2b,24,4.029411764705882,0.008058823529411764
SVM,negative,a_3a,26,3.487804878048781,0.006975609756097562
SVM,negative,a_3b,24,3.3513513513513518,0.006702702702702704
SVM,negative,a_4a,23,1.9259259259259258,0.0038518518518518515
SVM,negative,a_4b,27,5.958333333333333,0.011916666666666666
SVM,negative,a_5a,9,0.88,0.00176
SVM,negative,a_5b,6,0.4782608695652174,0.0009565217391304348
CellCNN,positive,a_001,22,1.125,0.00225
CellCNN,positive,a_002,116,17.904761904761905,0.03580952380952381
CellCNN,positive,a_003,72,4.357142857142857,0.008714285714285714
CellCNN,positive,a_004,100,3.45,0.006900000000000001
CellCNN,positive,a_005,30,8.75,0.0175
CellCNN,positive,a_006,175,9.384615384615385,0.01876923076923077
CellCNN,positive,a_007,52,5.450000000000001,0.010900000000000002
CellCNN,positive,a_009,14,0.7894736842105263,0.0015789473684210526
CellCNN,positive,a_010,55,1.9655172413793105,0.003931034482758621
CellCNN,positive,a_011,66,2.125,0.00425
CellCNN,positive,a_012,19,1.25,0.0025
CellCNN,positive,a_1a,18,2.7777777777777777,0.005555555555555556
CellCNN,positive,a_2a,84,3.7837837837837838,0.0075675675675675675
CellCNN,positive,a_2b,102,4.088235294117647,0.008176470588235294
CellCNN,positive,a_3a,75,1.9756097560975612,0.003951219512195122
CellCNN,positive,a_3b,87,3.3513513513513518,0.006702702702702704
