method,direction,marker,value,supported_donors
SVM,positive,CD3,4.326222008270259,20
SVM,positive,CD27,0.43183044959613476,20
SVM,positive,CD19,0.20670327889083984,20
SVM,positive,CD4,0.5991261602903957,20
SVM,positive,CD8,3.5795327574023235,20
SVM,positive,CD57,3.6724220234224063,20
SVM,positive,2DL1-S1,0.18096304316997192,20
SVM,positive,TRAIL,-0.09232115932590162,20
SVM,positive,2DL2-L3-S2,0.11567079306953629,20
SVM,positive,CD16,3.4821950729140854,20
SVM,positive,CD10,0.48690373629294725,20
SVM,positive,3DL1-S1,-0.07150217284991353,20
SVM,positive,CD117,-0.04826972263818545,20
SVM,positive,2DS4,0.8037902737910063,20
SVM,positive,ILT2-CD85j,1.4007894090534414,20
SVM,positive,NKp46,0.030191174893584884,20
SVM,positive,NKG2D,1.711141544850377,20
SVM,positive,NKG2C,2.599124831662185,20
SVM,positive,2B4,1.8161695512715912,20
SVM,positive,CD33,2.2116501108379127,20
SVM,positive,CD11b,0.6222708263628987,20
SVM,positive,NKp30,0.5331941439666348,20
SVM,positive,CD122,0.8693658511673698,20
SVM,positive,3DL1,-0.05989097357150512,20
SVM,positive,NKp44,-0.08505712016790724,20
SVM,positive,CD127,0.09451210562163088,20
SVM,positive,2DL1,-0.04391564110579475,20
SVM,positive,CD94,2.734470985269386,20
SVM,positive,CD34,0.36898395898247116,20
SVM,positive,CCR7,-0.0385661683632693,20
SVM,positive,2DL3,0.017337236808424885,20
SVM,positive,NKG2A,0.28953247133303206,20
SVM,positive,HLA-DR,3.1424748588689475,20
SVM,positive,2DL4,1.056807523573685,20
SVM,positive,CD56,2.516028101413803,20
SVM,positive,2DL5,-0.03513529094000583,20
SVM,positive,CD25,-0.05678098904707943,20
SVM,negative,CD3,4.237339466635065,20
SVM,negative,CD27,0.6064635431807964,20
SVM,negative,CD19,-0.007384087001779957,20
SVM,negative,CD4,0.5230311223870832,20
SVM,negative,CD8,3.8074630521428405,20
SVM,negative,CD57,3.3106837999133765,20
SVM,negative,2DL1-S1,0.17413936626158433,20
SVM,negative,TRAIL,-0.09540676019025315,20
SVM,negative,2DL2-L3-S2,-0.012445500059515734,20
SVM,negative,CD16,2.8996085284886624,20
SVM,negative,CD10,0.11100020493640245,20
SVM,negative,3DL1-S1,-0.07637294825567215,20
SVM,negative,CD117,-0.05387676276567405,20
SVM,negative,2DS4,-0.009997834770898464,20
SVM,negative,ILT2-CD85j,1.4514676361940837,20
SVM,negative,NKp46,-0.020317280241466226,20
SVM,negative,NKG2D,1.7728015305209968,20
SVM,negative,NKG2C,1.6073282437755032,20
SVM,negative,2B4,2.06762599281414,20
SVM,negative,CD33,2.1530667731137165,20
SVM,negative,CD11b,0.7565107070265914,20
SVM,negative,NKp30,0.5150643965598302,20
SVM,negative,CD122,0.3973934055711984,20
SVM,negative,3DL1,-0.057607499062815995,20
SVM,negative,NKp44,-0.08425700408391168,20
SVM,negative,CD127,0.19846379760865662,20
SVM,negative,2DL1,-0.06728374412607568,20
SVM,negative,CD94,2.670528879830225,20
SVM,negative,CD34,0.13137066576850787,20
SVM,negative,CCR7,-0.054656091467121956,20
SVM,negative,2DL3,0.028806182640183187,20
SVM,negative,NKG2A,0.14943947295202092,20
SVM,negative,HLA-DR,3.381848761270761,20
SVM,negative,2DL4,1.0469423016552502,20
SVM,negative,CD56,1.776735030104275,20
SVM,negative,2DL5,-0.031304474704433684,20
SVM,negative,CD25,-0.04173854246846142,20
CellCNN,positive,CD3,4.037212428441188,20
CellCNN,positive,CD27,0.36326115135746617,20
CellCNN,positive,CD19,-0.026654561590598834,20
CellCNN,positive,CD4,1.0699765450540832,20
CellCNN,positive,CD8,2.4165499869083193,20
CellCNN,positive,CD57,1.609247926430149,20
CellCNN,positive,2DL1-S1,0.08295026971784664,20
CellCNN,positive,TRAIL,-0.09376614376578024,20
