cell_id,sample_id,event_index,component_1,component_2,n_test_models,positive_count,negative_count,positive_frequency,negative_frequency
gated_alive:a_001:436,a_001,436,5.543278217315674,-37.84444046020508,5,0,0,0.0,0.0
gated_alive:a_001:535,a_001,535,21.937217712402344,52.096885681152344,5,0,0,0.0,0.0
gated_alive:a_001:603,a_001,603,15.439745903015137,65.03256225585938,5,0,0,0.0,0.0
gated_alive:a_001:814,a_001,814,-35.211734771728516,-26.439266204833984,5,0,0,0.0,0.0
gated_alive:a_001:1146,a_001,1146,16.561433792114258,46.75416946411133,5,0,0,0.0,0.0
gated_alive:a_001:1468,a_001,1468,-49.37409210205078,28.91598892211914,5,0,0,0.0,0.0
gated_alive:a_001:1477,a_001,1477,-23.752050399780273,21.793344497680664,5,0,0,0.0,0.0
gated_alive:a_001:1602,a_001,1602,-12.098976135253906,38.99856185913086,5,0,0,0.0,0.0
gated_alive:a_001:1774,a_001,1774,-51.41267776489258,32.0847053527832,5,0,0,0.0,0.0
gated_alive:a_001:1817,a_001,1817,30.71727752685547,-40.3907585144043,5,0,0,0.0,0.0
gated_alive:a_001:1862,a_001,1862,-32.026737213134766,-31.884519577026367,5,0,0,0.0,0.0
gated_alive:a_001:1872,a_001,1872,-45.592559814453125,-36.806766510009766,5,0,0,0.0,0.0
gated_alive:a_001:2045,a_001,2045,-21.652530670166016,-47.04311752319336,5,0,0,0.0,0.0
gated_alive:a_001:2064,a_001,2064,-0.17979231476783752,-43.98973846435547,5,0,0,0.0,0.0
gated_alive:a_001:2525,a_001,2525,28.149524688720703,17.69354248046875,5,0,0,0.0,0.0
gated_alive:a_001:2623,a_001,2623,-55.21820831298828,33.314395904541016,5,0,0,0.0,0.0
gated_alive:a_001:2843,a_001,2843,-33.343536376953125,-23.34309196472168,5,0,0,0.0,0.0
gated_alive:a_001:3053,a_001,3053,-19.246564865112305,-40.622379302978516,5,0,0,0.0,0.0
gated_alive:a_001:3073,a_001,3073,-14.234923362731934,58.351802825927734,5,0,0,0.0,0.0
gated_alive:a_001:3415,a_001,3415,-33.081722259521484,-39.605873107910156,5,0,0,0.0,0.0
gated_alive:a_001:3586,a_001,3586,54.823184967041016,-9.691717147827148,5,0,0,0.0,0.0
gated_alive:a_001:3682,a_001,3682,48.27520751953125,5.016377925872803,5,0,0,0.0,0.0
gated_alive:a_001:3690,a_001,3690,58.483299255371094,27.79743766784668,5,0,0,0.0,0.0
