model,kind,fpr,mean_tpr,mean_split_auc,n_splits
cellcnn,network,0.0,0.595,0.8075,100
cellcnn,network,0.002,0.595,0.8075,100
cellcnn,network,0.004,0.595,0.8075,100
cellcnn,network,0.006,0.595,0.8075,100
cellcnn,network,0.008,0.595,0.8075,100
cellcnn,network,0.01,0.595,0.8075,100
cellcnn,network,0.012,0.595,0.8075,100
cellcnn,network,0.014,0.595,0.8075,100
cellcnn,network,0.016,0.595,0.8075,100
cellcnn,network,0.018000000000000002,0.595,0.8075,100
cellcnn,network,0.02,0.595,0.8075,100
cellcnn,network,0.022,0.595,0.8075,100
cellcnn,network,0.024,0.595,0.8075,100
cellcnn,network,0.026000000000000002,0.595,0.8075,100
cellcnn,network,0.028,0.595,0.8075,100
cellcnn,network,0.03,0.595,0.8075,100
cellcnn,network,0.032,0.595,0.8075,100
cellcnn,network,0.034,0.595,0.8075,100
cellcnn,network,0.036000000000000004,0.595,0.8075,100
cellcnn,network,0.038,0.595,0.8075,100
cellcnn,network,0.04,0.595,0.8075,100
cellcnn,network,0.042,0.595,0.8075,100
cellcnn,network,0.044,0.595,0.8075,100
cellcnn,network,0.046,0.595,0.8075,100
cellcnn,network,0.048,0.595,0.8075,100
cellcnn,network,0.05,0.595,0.8075,100
cellcnn,network,0.052000000000000005,0.595,0.8075,100
cellcnn,network,0.054,0.595,0.8075,100
cellcnn,network,0.056,0.595,0.8075,100
cellcnn,network,0.058,0.595,0.8075,100
cellcnn,network,0.06,0.595,0.8075,100
cellcnn,network,0.062,0.595,0.8075,100
cellcnn,network,0.064,0.595,0.8075,100
cellcnn,network,0.066,0.595,0.8075,100
cellcnn,network,0.068,0.595,0.8075,100
cellcnn,network,0.07,0.595,0.8075,100
cellcnn,network,0.07200000000000001,0.595,0.8075,100
cellcnn,network,0.074,0.595,0.8075,100
cellcnn,network,0.076,0.595,0.8075,100
cellcnn,network,0.078,0.595,0.8075,100
cellcnn,network,0.08,0.595,0.8075,100
cellcnn,network,0.082,0.595,0.8075,100
cellcnn,network,0.084,0.595,0.8075,100
cellcnn,network,0.08600000000000001,0.595,0.8075,100
cellcnn,network,0.088,0.595,0.8075,100
cellcnn,network,0.09,0.595,0.8075,100
cellcnn,network,0.092,0.595,0.8075,100
cellcnn,network,0.094,0.595,0.8075,100
cellcnn,network,0.096,0.595,0.8075,100
cellcnn,network,0.098,0.595,0.8075,100
cellcnn,network,0.1,0.595,0.8075,100
cellcnn,network,0.10200000000000001,0.595,0.8075,100
cellcnn,network,0.10400000000000001,0.595,0.8075,100
cellcnn,network,0.106,0.595,0.8075,100
cellcnn,network,0.108,0.595,0.8075,100
cellcnn,network,0.11,0.595,0.8075,100
cellcnn,network,0.112,0.595,0.8075,100
cellcnn,network,0.114,0.595,0.8075,100
