model,split_id,network_auc_delta,frequency_auc_delta
quadratic_top1,0,0.0,0.0
quadratic_top1,1,0.0,0.0
quadratic_top1,2,0.0,-0.3125
quadratic_top1,3,0.0,0.0
quadratic_top1,4,0.125,0.0
quadratic_top1,5,0.0,0.0
quadratic_top1,6,0.25,0.0
quadratic_top1,7,-0.125,-0.125
quadratic_top1,8,0.375,-0.1875
quadratic_top1,9,0.0,-0.0625
quadratic_top1,10,0.125,0.1875
quadratic_top1,11,0.125,0.125
quadratic_top1,12,0.0,-0.1875
quadratic_top1,13,-0.125,0.0
quadratic_top1,14,0.0,0.0
quadratic_top1,15,0.25,0.5
quadratic_top1,16,0.375,-0.125
quadratic_top1,17,0.125,-0.3125
quadratic_top1,18,0.0,0.0
quadratic_top1,19,0.375,0.375
quadratic_top1,20,0.125,0.25
quadratic_top1,21,0.375,0.5
quadratic_top1,22,-0.25,0.0
quadratic_top1,23,0.375,-0.375
quadratic_top1,24,0.0,0.0
quadratic_top1,25,0.125,-0.125
quadratic_top1,26,0.125,0.0
quadratic_top1,27,0.25,0.125
quadratic_top1,28,0.0,0.0
quadratic_top1,29,0.0,0.0
quadratic_top1,30,0.125,0.125
quadratic_top1,31,-0.125,-0.75
quadratic_top1,32,0.0,0.0
quadratic_top1,33,0.125,0.0
quadratic_top1,34,0.125,0.0
quadratic_top1,35,0.125,0.1875
quadratic_top1,36,-0.125,0.0
quadratic_top1,37,0.0,0.0
quadratic_top1,38,0.625,0.625
quadratic_top1,39,0.0,-0.25
quadratic_top1,40,0.25,0.0
quadratic_top1,41,0.5,0.125
quadratic_top1,42,0.25,0.375
quadratic_top1,43,0.125,-0.25
quadratic_top1,44,0.5,
quadratic_top1,45,0.0,0.0
quadratic_top1,46,-0.125,-0.0625
quadratic_top1,47,0.125,0.125
quadratic_top1,48,0.25,-0.0625
quadratic_top1,49,0.125,0.0625
quadratic_top1,50,0.0,-0.0625
quadratic_top1,51,0.0,0.0
quadratic_top1,52,0.0,-0.375
quadratic_top1,53,0.0,-0.125
quadratic_top1,54,0.625,0.25
quadratic_top1,55,0.0,0.0
quadratic_top1,56,0.25,0.0
quadratic_top1,57,0.0,-0.25
quadratic_top1,58,0.0,0.0
quadratic_top1,59,0.25,0.125
quadratic_top1,60,0.0,0.125
quadratic_top1,61,0.125,0.0
quadratic_top1,62,-0.25,0.0
quadratic_top1,63,0.125,0.375
quadratic_top1,64,0.125,0.0
quadratic_top1,65,0.0,0.0
quadratic_top1,66,-0.25,-0.5
quadratic_top1,67,0.125,0.0
quadratic_top1,68,0.25,0.375
quadratic_top1,69,0.0,0.0625
quadratic_top1,70,0.375,0.25
quadratic_top1,71,0.25,-0.0625
quadratic_top1,72,0.125,0.0
quadratic_top1,73,0.125,-0.0625
quadratic_top1,74,0.25,0.125
quadratic_top1,75,-0.25,-0.375
quadratic_top1,76,0.0,0.0
quadratic_top1,77,0.125,0.125
quadratic_top1,78,0.0,0.0
quadratic_top1,79,0.0,0.0
quadratic_top1,80,0.375,0.25
quadratic_top1,81,0.25,0.0
quadratic_top1,82,0.0,0.0
quadratic_top1,83,0.0,-0.25
quadratic_top1,84,0.125,
quadratic_top1,85,0.25,0.125
quadratic_top1,86,0.0,0.0
quadratic_top1,87,-0.375,-0.1875
quadratic_top1,88,0.0,-0.0625
quadratic_top1,89,-0.125,0.0
quadratic_top1,90,0.125,0.125
quadratic_top1,91,0.125,0.3125
quadratic_top1,92,0.0,0.125
quadratic_top1,93,0.25,-0.25
quadratic_top1,94,0.625,0.625
quadratic_top1,95,0.0,0.0
quadratic_top1,96,0.375,-0.4375
quadratic_top1,97,0.0,-0.125
quadratic_top1,98,0.125,0.0
quadratic_top1,99,0.125,-0.25
quadratic_soft,0,0.0,0.0
quadratic_soft,1,0.0,0.0
quadratic_soft,2,0.0,-0.3125
quadratic_soft,3,0.0,0.0
quadratic_soft,4,0.125,0.0
quadratic_soft,5,0.0,0.0
quadratic_soft,6,0.25,0.0
quadratic_soft,7,0.0,-0.5
quadratic_soft,8,0.375,-0.1875
quadratic_soft,9,0.0,-0.25
quadratic_soft,10,0.125,0.125
quadratic_soft,11,0.125,0.125
quadratic_soft,12,0.0,-0.1875
quadratic_soft,13,-0.125,0.0
quadratic_soft,14,0.0,0.0
quadratic_soft,15,0.375,0.5
quadratic_soft,16,0.375,-0.25
quadratic_soft,17,0.125,-0.3125
quadratic_soft,18,0.0,0.0
quadratic_soft,19,0.25,0.375
quadratic_soft,20,0.0,0.25
quadratic_soft,21,0.375,0.5
quadratic_soft,22,-0.25,0.0
quadratic_soft,23,0.375,-0.1875
quadratic_soft,24,0.0,0.0
quadratic_soft,25,0.125,-0.125
quadratic_soft,26,0.125,0.0
quadratic_soft,27,0.25,0.125
quadratic_soft,28,0.0,0.0
quadratic_soft,29,0.0,0.0
quadratic_soft,30,0.125,0.125
quadratic_soft,31,-0.125,-0.75
quadratic_soft,32,0.0,0.0
quadratic_soft,33,0.125,0.0
quadratic_soft,34,0.125,0.0
quadratic_soft,35,0.125,0.1875
quadratic_soft,36,-0.125,0.0
quadratic_soft,37,0.0,0.0
quadratic_soft,38,0.625,0.625
quadratic_soft,39,0.125,-0.1875
quadratic_soft,40,0.25,-0.0625
quadratic_soft,41,0.375,0.3125
quadratic_soft,42,0.25,0.375
quadratic_soft,43,0.125,-0.25
quadratic_soft,44,0.5,
quadratic_soft,45,0.0,0.0
quadratic_soft,46,-0.125,-0.0625
quadratic_soft,47,0.125,0.125
quadratic_soft,48,0.25,0.0
quadratic_soft,49,0.125,0.0625
quadratic_soft,50,0.0,-0.0625
quadratic_soft,51,0.0,0.0
quadratic_soft,52,0.0,-0.0625
quadratic_soft,53,0.0,-0.125
quadratic_soft,54,0.625,0.0625
quadratic_soft,55,0.0,0.0
quadratic_soft,56,0.125,0.0
quadratic_soft,57,0.0,-0.1875
quadratic_soft,58,0.0,0.0
quadratic_soft,59,0.25,0.25
quadratic_soft,60,0.0,-0.125
quadratic_soft,61,0.125,0.0
quadratic_soft,62,-0.25,0.0
quadratic_soft,63,0.125,0.375
quadratic_soft,64,0.125,0.0
quadratic_soft,65,0.0,0.0
quadratic_soft,66,-0.25,-0.5
quadratic_soft,67,0.125,0.0
quadratic_soft,68,0.25,0.375
quadratic_soft,69,0.125,0.0625
quadratic_soft,70,0.375,0.125
quadratic_soft,71,0.25,-0.0625
quadratic_soft,72,0.125,0.0
quadratic_soft,73,0.125,0.0
quadratic_soft,74,0.375,0.0
quadratic_soft,75,-0.25,-0.375
quadratic_soft,76,0.0,0.0
quadratic_soft,77,0.125,0.125
quadratic_soft,78,0.0,0.0
quadratic_soft,79,0.0,0.0
quadratic_soft,80,0.375,0.25
quadratic_soft,81,0.25,0.0
quadratic_soft,82,0.0,0.0
quadratic_soft,83,0.0,-0.25
quadratic_soft,84,0.125,
quadratic_soft,85,0.25,0.125
quadratic_soft,86,0.0,0.0
quadratic_soft,87,-0.375,-0.1875
quadratic_soft,88,0.0,-0.0625
quadratic_soft,89,-0.125,0.0
quadratic_soft,90,0.0,0.125
quadratic_soft,91,0.125,0.3125
quadratic_soft,92,0.0,0.125
quadratic_soft,93,0.25,-0.25
quadratic_soft,94,0.625,0.625
quadratic_soft,95,0.0,0.0
quadratic_soft,96,0.375,-0.4375
quadratic_soft,97,0.0,-0.1875
quadratic_soft,98,0.125,0.0
quadratic_soft,99,0.125,-0.25
prototype_soft,0,-0.25,-0.375
prototype_soft,1,0.0,-0.25
prototype_soft,2,-0.25,-0.25
prototype_soft,3,-0.75,-0.125
prototype_soft,4,-0.375,-0.125
prototype_soft,5,-0.375,0.0
prototype_soft,6,0.125,0.375
prototype_soft,7,-0.125,0.0
prototype_soft,8,0.5,0.0625
prototype_soft,9,-0.25,-0.375
prototype_soft,10,-0.125,0.0
prototype_soft,11,0.0,0.125
prototype_soft,12,-0.125,-0.1875
prototype_soft,13,-0.125,0.0
prototype_soft,14,-0.375,-0.5
prototype_soft,15,0.125,0.0
prototype_soft,16,0.25,-0.1875
prototype_soft,17,0.125,-0.25
prototype_soft,18,-0.125,-0.125
prototype_soft,19,0.5,-0.375
prototype_soft,20,0.125,0.0
prototype_soft,21,-0.375,0.125
prototype_soft,22,0.375,0.125
prototype_soft,23,-0.125,-0.5
prototype_soft,24,-0.25,-0.5
prototype_soft,25,-0.375,-0.125
prototype_soft,26,0.0,-0.125
prototype_soft,27,0.125,0.375
prototype_soft,28,-0.25,-0.4375
prototype_soft,29,0.0,0.0
