split_id,network_auc,average_precision,balanced_accuracy,frequency_auc,frequency_effect,phenotype_available
0,0.75,0.75,0.75,0.625,0.0025125,True
1,1.0,1.0,1.0,0.75,0.0019000000000000002,True
2,0.75,0.5833333333333333,0.625,0.75,0.0006125,True
3,0.25,0.325,0.125,0.875,0.005175000000000001,True
4,0.5,0.41666666666666663,0.75,0.75,0.00043749999999999995,True
5,0.625,0.5,0.75,1.0,0.0095625,True
6,0.75,0.75,0.5,0.875,0.0056500000000000005,True
7,0.625,0.5,0.625,0.75,0.0004249999999999998,True
8,1.0,1.0,0.875,1.0,0.003325,True
9,0.75,0.5833333333333333,0.75,0.625,0.002724999999999999,True
10,0.75,0.75,0.5,0.75,0.005475000000000001,True
11,0.875,0.8333333333333333,0.625,1.0,0.020525,True
12,0.625,0.5,0.75,0.5625,-0.0003874999999999998,True
13,0.875,0.8333333333333333,0.875,1.0,0.007412499999999999,True
14,0.625,0.5,0.5,0.5,0.0,True
15,0.75,0.75,0.5,0.5,-0.0009625000000000001,True
16,0.875,0.8333333333333333,0.875,0.6875,0.00023750000000000005,True
17,0.75,0.75,0.625,0.75,0.009112499999999999,True
18,0.875,0.8333333333333333,0.625,0.875,0.0008875,True
19,1.0,1.0,0.75,0.25,-0.003425,True
20,0.875,0.8333333333333333,0.625,0.75,0.0017375000000000003,True
21,0.25,0.325,0.375,0.625,0.003712499999999999,True
22,1.0,1.0,1.0,1.0,0.019325000000000002,True
23,0.5,0.45,0.625,0.5,-0.0016875000000000015,True
24,0.75,0.75,0.625,0.5,0.0009375,True
25,0.5,0.45,0.375,0.875,0.000175,True
26,0.875,0.8333333333333333,0.625,0.75,0.0009249999999999999,True
27,0.875,0.8333333333333333,0.625,1.0,0.0079625,True
28,0.75,0.75,0.5,0.5625,0.0012125,True
29,1.0,1.0,1.0,1.0,0.0123375,True
30,1.0,1.0,1.0,1.0,0.009174999999999999,True
31,0.625,0.5,0.375,0.625,8.750000000000001e-05,True
32,0.875,0.8333333333333333,0.75,0.875,0.0051,True
33,0.5,0.41666666666666663,0.75,0.875,0.001175,True
34,0.75,0.75,0.625,0.75,0.0026249999999999997,True
35,0.875,0.8333333333333333,0.875,0.6875,0.0007624999999999999,True
36,0.625,0.5,0.625,0.75,0.007324999999999998,True
37,0.5,0.6666666666666666,0.75,0.25,-0.00015000000000000001,True
38,1.0,1.0,1.0,1.0,0.0050999999999999995,True
39,0.75,0.75,0.75,0.5,0.0028125,True
40,0.0,0.26666666666666666,0.25,0.0,-0.000725,True
41,0.5,0.6666666666666666,0.75,0.5,-0.0015874999999999997,True
42,0.25,0.3333333333333333,0.25,0.5,2.499999999999985e-05,True
43,0.875,0.8333333333333333,0.75,0.875,0.007475,True
44,1.0,1.0,0.875,1.0,0.030975000000000003,True
45,0.25,0.325,0.375,0.5,-6.249999999999999e-05,True
46,0.75,0.5833333333333333,0.625,0.4375,-3.7500000000000003e-05,True
47,0.75,0.75,0.625,0.75,0.003299999999999999,True
48,0.875,0.8333333333333333,0.5,0.375,-8.75e-05,True
49,0.5,0.45,0.375,0.75,0.0013874999999999998,True
50,0.625,0.7,0.5,0.5,0.0,True
51,1.0,1.0,0.875,1.0,0.0023375,True
52,1.0,1.0,0.75,0.9375,0.0013875,True
53,1.0,1.0,0.75,1.0,0.01175,True
54,0.75,0.5833333333333333,0.875,0.875,0.001075,True
55,0.75,0.75,0.75,1.0,0.013349999999999999,True
56,0.5,0.6666666666666666,0.5,0.5,0.00041249999999999994,True
57,0.875,0.8333333333333333,0.625,0.875,0.0025125,True
58,0.625,0.5,0.5,1.0,0.0009875,True
59,0.125,0.29166666666666663,0.375,0.125,-0.00016250000000000002,True
60,0.875,0.8333333333333333,0.75,0.75,0.002075,True
61,0.75,0.75,0.75,0.8125,0.0019749999999999998,True
62,0.75,0.5833333333333333,0.75,0.875,0.001925,True
63,1.0,1.0,1.0,0.6875,0.000125,True
64,1.0,1.0,0.625,0.75,0.005050000000000001,True
65,0.625,0.7,0.75,0.3125,-0.0014375000000000004,True
66,0.75,0.5833333333333333,0.625,0.375,-0.00017500000000000003,True
67,1.0,1.0,0.875,1.0,0.003725,True
68,0.75,0.75,0.75,0.875,0.0021249999999999997,True
69,0.75,0.75,0.5,0.875,0.007975,True
70,0.625,0.7,0.375,0.75,0.0005000000000000002,True
71,0.375,0.3666666666666667,0.5,0.75,-0.0006375,True
72,1.0,1.0,1.0,1.0,0.011975,True
73,0.875,0.8333333333333333,0.75,0.875,0.0044875,True
74,0.75,0.75,0.625,0.875,0.0017625,True
75,0.5,0.45,0.5,0.9375,0.0070999999999999995,True
76,0.75,0.75,0.625,0.75,0.002862500000000002,True
77,0.5,0.41666666666666663,0.25,0.625,-0.000675,True
78,0.75,0.5833333333333333,0.375,0.5,-0.0001625,True
