split_id,network_auc,average_precision,balanced_accuracy,frequency_auc,frequency_effect,phenotype_available
0,1.0,1.0,1.0,1.0,0.0075375,True
1,1.0,1.0,1.0,1.0,0.0074624999999999995,True
2,1.0,1.0,0.75,0.6875,0.004599999999999999,True
3,1.0,1.0,1.0,1.0,0.012225,True
4,1.0,1.0,1.0,0.875,0.0008624999999999999,True
5,1.0,1.0,1.0,1.0,0.0138125,True
6,0.875,0.8333333333333333,0.625,0.5,0.0040125000000000004,True
7,0.75,0.5833333333333333,0.75,0.25,-5e-05,True
8,0.875,0.8333333333333333,0.75,0.75,0.0043749999999999995,True
9,1.0,1.0,1.0,0.75,0.0011874999999999998,True
10,1.0,1.0,0.75,0.875,0.0064,True
11,1.0,1.0,0.5,1.0,0.0004,True
12,0.75,0.75,0.5,0.5625,0.00155,True
13,0.875,0.8333333333333333,0.625,1.0,0.008249999999999999,True
14,1.0,1.0,1.0,1.0,0.0067,True
15,1.0,1.0,0.75,1.0,0.003575,True
16,1.0,1.0,0.75,0.625,0.006725,True
17,0.75,0.75,0.625,0.6875,0.0005874999999999999,True
18,1.0,1.0,1.0,1.0,0.013962500000000001,True
19,0.75,0.75,0.75,1.0,0.0063625,True
20,0.75,0.75,0.75,1.0,0.0027624999999999998,True
21,1.0,1.0,1.0,1.0,0.0039,True
22,0.375,0.3666666666666667,0.5,0.875,0.0013375,True
23,1.0,1.0,1.0,0.8125,0.0005499999999999999,True
24,1.0,1.0,0.875,1.0,0.01585,True
25,1.0,1.0,1.0,0.875,0.0008500000000000001,True
26,1.0,1.0,0.875,0.875,0.00375,True
27,1.0,1.0,0.75,0.75,0.0091125,True
28,1.0,1.0,1.0,1.0,0.0095125,True
29,1.0,1.0,1.0,1.0,0.009825,True
30,1.0,1.0,1.0,1.0,0.003675,True
31,0.75,0.5833333333333333,0.5,0.0,-0.000175,True
32,1.0,1.0,0.875,0.875,0.004049999999999999,True
33,0.875,0.8333333333333333,0.625,1.0,0.0011250000000000001,True
34,1.0,1.0,1.0,1.0,0.0095,True
