split_id,network_auc,average_precision,balanced_accuracy,frequency_auc,frequency_effect,phenotype_available
0,1.0,1.0,1.0,1.0,0.0075875,True
1,1.0,1.0,1.0,1.0,0.0072375,True
2,1.0,1.0,0.75,0.6875,0.0046749999999999995,True
3,1.0,1.0,1.0,1.0,0.0126875,True
4,1.0,1.0,1.0,0.875,0.0007999999999999999,True
5,1.0,1.0,1.0,1.0,0.012937500000000001,True
6,0.875,0.8333333333333333,0.625,0.5,0.003912499999999999,True
7,0.625,0.7,0.375,0.625,1.25e-05,True
8,0.875,0.8333333333333333,0.75,0.75,0.0044875,True
9,1.0,1.0,1.0,0.9375,0.0010375,True
10,1.0,1.0,0.75,0.9375,0.0063999999999999994,True
11,1.0,1.0,0.5,1.0,0.00031250000000000006,True
12,0.75,0.75,0.5,0.5625,0.00155,True
13,0.875,0.8333333333333333,0.625,1.0,0.008249999999999999,True
14,1.0,1.0,1.0,1.0,0.006425,True
15,0.875,0.8333333333333333,0.75,1.0,0.0031875,True
16,1.0,1.0,0.75,0.75,0.0068625,True
17,0.75,0.75,0.625,0.6875,0.001425,True
18,1.0,1.0,1.0,1.0,0.01225,True
19,0.875,0.8333333333333333,0.75,1.0,0.0063750000000000005,True
20,0.875,0.8333333333333333,0.75,1.0,0.0027875,True
21,1.0,1.0,1.0,1.0,0.0040750000000000005,True
22,0.375,0.3666666666666667,0.5,0.875,0.0010375,True
23,1.0,1.0,1.0,0.625,0.0014,True
24,1.0,1.0,1.0,1.0,0.015087499999999998,True
25,1.0,1.0,1.0,0.875,0.0007624999999999999,True
26,1.0,1.0,0.875,0.875,0.0037625,True
27,1.0,1.0,0.75,0.75,0.009062500000000001,True
28,1.0,1.0,1.0,1.0,0.00945,True
29,1.0,1.0,1.0,1.0,0.0096625,True
30,1.0,1.0,1.0,1.0,0.0036375,True
31,0.75,0.5833333333333333,0.5,0.0,-0.000175,True
32,1.0,1.0,0.875,0.875,0.0039375,True
33,0.875,0.8333333333333333,0.625,1.0,0.0009875,True
34,1.0,1.0,1.0,1.0,0.0094875,True
35,1.0,1.0,1.0,1.0,0.010275,True
36,0.75,0.75,0.75,1.0,0.0056125,True
37,1.0,1.0,1.0,1.0,0.003025,True
38,1.0,1.0,1.0,1.0,0.02035,True
39,0.875,0.8333333333333333,0.875,0.625,0.0024375,True
40,0.625,0.7,0.5,0.625,0.000675,True
41,1.0,1.0,0.75,0.6875,0.0019125000000000001,True
42,0.875,0.8333333333333333,0.75,0.875,0.0007375000000000001,True
43,1.0,1.0,1.0,0.75,0.008175,True
44,1.0,1.0,1.0,1.0,0.0120625,True
45,1.0,1.0,0.75,1.0,0.012887499999999998,True
