split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,validation_cross_entropy_at_best_epoch,epochs_run,selected
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,3003105992,0.2,0.5,0.7054249773025513,0.7053591141700745,7,False
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,3003106092,0.6,0.6666666666666666,0.686363648891449,0.686299693107605,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,3003106192,0.4,0.5,0.7039586019515991,0.7038860034942627,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,3003115992,0.4,0.33333333333333337,0.6934134306907653,0.6933704557418823,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,3003116092,0.4,0.33333333333333337,0.7058052830696105,0.7057142667770385,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,3003116192,0.6,0.6666666666666667,0.6405452098846436,0.6400767097473145,11,False
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,3003125992,0.75,0.75,0.5507916498184204,0.5498475325107575,13,True
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,3003126092,0.5,0.5,0.6931392955780029,0.693046669960022,7,False
0,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,3003126192,0.5,0.75,0.6910786080360413,0.6909924793243408,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,976401080,0.2,0.3333333333333333,0.7007114734649659,0.7006073441505433,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,976401180,0.4,0.16666666666666666,0.7583471817970275,0.7583179159164428,6,False
