split_id,network_auc,frequency_auc,frequency_effect,phenotype_status
0,1.0,1.0,0.007350000000000001,berechnet
1,1.0,1.0,0.033825,berechnet
2,1.0,1.0,0.026437500000000003,berechnet
3,1.0,1.0,0.00965,berechnet
4,0.875,0.875,0.0018875,berechnet
5,1.0,1.0,0.0126375,berechnet
6,0.625,0.5,0.003,berechnet
7,0.75,0.75,0.0004625,berechnet
8,0.5,0.9375,0.008875000000000001,berechnet
9,1.0,1.0,0.003225,berechnet
10,0.875,0.75,0.0006625000000000001,berechnet
11,0.875,0.875,0.0026875000000000002,berechnet
12,0.75,0.75,0.0033875,berechnet
13,1.0,1.0,0.012225,berechnet
14,1.0,1.0,0.008950000000000001,berechnet
15,0.625,0.5,-0.0010125000000000004,berechnet
16,0.625,0.875,0.011449999999999998,berechnet
17,0.625,1.0,0.0038374999999999998,berechnet
18,1.0,1.0,0.015612500000000001,berechnet
19,0.5,0.625,0.0007374999999999994,berechnet
20,0.75,0.75,0.000325,berechnet
21,0.625,0.5,0.003475,berechnet
22,0.625,0.875,0.0090375,berechnet
23,0.625,1.0,0.0075375,berechnet
24,1.0,1.0,0.025224999999999997,berechnet
25,0.875,1.0,0.0025375,berechnet
26,0.875,0.875,0.0034750000000000002,berechnet
27,0.75,0.625,0.010962499999999998,berechnet
28,1.0,1.0,0.0137875,berechnet
29,1.0,1.0,0.0144375,berechnet
30,0.875,0.875,0.00315,berechnet
31,0.875,0.75,0.00038750000000000004,berechnet
32,1.0,0.875,0.006337499999999999,berechnet
33,0.75,1.0,0.0020250000000000003,berechnet
34,0.875,1.0,0.0015375,berechnet
35,0.875,0.8125,0.005212500000000001,berechnet
36,0.875,1.0,0.0061625,berechnet
37,1.0,1.0,0.0084125,berechnet
38,0.375,0.375,-0.041624999999999995,berechnet
39,0.875,0.875,0.006225,berechnet
40,0.375,0.625,0.00031249999999999984,berechnet
41,0.5,0.5625,0.0018249999999999998,berechnet
42,0.625,0.5,-8.74999999999999e-05,berechnet
43,0.875,1.0,0.011537500000000001,berechnet
44,0.5,,,kein positiver Output-Kontrast
45,1.0,1.0,0.01605,berechnet
46,1.0,0.875,0.0011625,berechnet
47,0.75,0.875,0.0050625,berechnet
48,0.75,0.875,0.0123,berechnet
49,0.625,0.625,0.001,berechnet
50,0.75,0.75,0.0051375,berechnet
51,1.0,1.0,0.0102125,berechnet
52,1.0,1.0,0.0033499999999999997,berechnet
53,1.0,1.0,0.0124,berechnet
54,0.25,0.5,-0.00039999999999999996,berechnet
55,1.0,1.0,0.015187500000000001,berechnet
56,0.75,0.875,0.013225,berechnet
57,0.875,0.875,0.00445,berechnet
58,1.0,1.0,0.0178375,berechnet
59,0.75,0.75,0.0012125,berechnet
60,0.75,0.875,0.0239375,berechnet
61,0.625,1.0,0.007987500000000002,berechnet
62,1.0,1.0,0.0101,berechnet
63,0.875,0.625,0.00015000000000000001,berechnet
64,0.875,1.0,0.007975,berechnet
65,1.0,1.0,0.0168625,berechnet
66,1.0,1.0,0.0016375,berechnet
67,0.875,1.0,0.0156125,berechnet
68,0.75,0.625,0.0019124999999999993,berechnet
69,0.75,0.6875,0.0004875,berechnet
70,0.625,0.625,0.007487499999999999,berechnet
71,0.75,0.875,0.006274999999999999,berechnet
72,0.875,1.0,0.0117625,berechnet
73,0.75,0.75,0.00925,berechnet
74,0.5,0.625,0.00035000000000000005,berechnet
75,0.875,0.875,0.0049,berechnet
76,1.0,1.0,0.014575000000000003,berechnet
77,0.875,0.875,0.0062875,berechnet
78,1.0,1.0,0.025174999999999996,berechnet
79,1.0,1.0,0.0086625,berechnet
80,0.625,0.625,0.000125,berechnet
81,0.75,0.875,0.013587499999999999,berechnet
82,1.0,1.0,0.01425,berechnet
83,1.0,1.0,0.008212500000000001,berechnet
84,0.375,,,kein positiver Output-Kontrast
85,0.75,0.875,0.005487499999999999,berechnet
86,1.0,1.0,0.021675000000000003,berechnet
87,0.75,0.875,0.0007,berechnet
88,1.0,0.75,0.0016625,berechnet
89,0.875,1.0,0.015874999999999997,berechnet
90,0.875,0.75,0.007325,berechnet
91,0.75,0.5625,0.0046625,berechnet
92,1.0,0.875,0.013024999999999998,berechnet
93,0.75,0.75,0.005425,berechnet
94,0.375,0.375,6.250000000000006e-05,berechnet
95,1.0,1.0,0.0115,berechnet
96,0.25,1.0,0.0020625,berechnet
97,0.625,0.8125,0.013225,berechnet
98,0.875,1.0,0.0093875,berechnet
99,0.875,1.0,0.009587499999999999,berechnet
