split_id,donor_id,y_true,filter_id,frequency,n_selected_cells,n_cells,response_threshold,training_donors
0,a_002,1,0,0.0107,214,20000,15.523157119750977,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_004,0,0,0.00055,11,20000,15.523157119750977,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_006,0,0,0.0,0,20000,15.523157119750977,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_1a,0,0,0.00055,11,20000,15.523157119750977,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_2a,0,0,0.00045,9,20000,15.523157119750977,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_4a,1,0,0.00525,105,20000,15.523157119750977,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
1,a_002,1,1,0.0052,104,20000,28.935749053955078,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_003,0,1,0.0006,12,20000,28.935749053955078,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_004,0,1,0.0001,2,20000,28.935749053955078,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_006,0,1,0.0,0,20000,28.935749053955078,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_3b,0,1,0.00015,3,20000,28.935749053955078,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_5a,1,1,0.0097,194,20000,28.935749053955078,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
2,a_002,1,1,0.0097,194,20000,19.48563003540039,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_004,0,1,0.00025,5,20000,19.48563003540039,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_007,1,1,0.0001,2,20000,19.48563003540039,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_010,0,1,0.0,0,20000,19.48563003540039,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_1a,0,1,0.00055,11,20000,19.48563003540039,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_3b,0,1,0.0001,2,20000,19.48563003540039,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
3,a_006,0,1,0.0,0,20000,14.099592208862305,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_009,0,1,0.0,0,20000,14.099592208862305,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_011,0,1,0.0,0,20000,14.099592208862305,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_2a,0,1,0.00025,5,20000,14.099592208862305,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_5a,1,1,0.0108,216,20000,14.099592208862305,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_5b,1,1,0.0147,294,20000,14.099592208862305,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
4,a_001,1,2,0.00015,3,20000,12.825359344482422,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_003,0,2,0.0005,10,20000,12.825359344482422,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_010,0,2,5e-05,1,20000,12.825359344482422,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_011,0,2,5e-05,1,20000,12.825359344482422,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_2a,0,2,0.0001,2,20000,12.825359344482422,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_4b,1,2,0.0018,36,20000,12.825359344482422,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
5,a_003,0,0,0.00055,11,20000,15.536776542663574,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_011,0,0,5e-05,1,20000,15.536776542663574,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_2b,0,0,0.00035,7,20000,15.536776542663574,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_3b,0,0,0.0002,4,20000,15.536776542663574,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_5a,1,0,0.0128,256,20000,15.536776542663574,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_5b,1,0,0.01365,273,20000,15.536776542663574,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
6,a_001,1,3,5e-05,1,20000,19.883005142211914,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_003,0,3,0.00025,5,20000,19.883005142211914,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_1a,0,3,0.00045,9,20000,19.883005142211914,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_2a,0,3,0.00015,3,20000,19.883005142211914,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_2b,0,3,0.0003,6,20000,19.883005142211914,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_5a,1,3,0.00835,167,20000,19.883005142211914,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
7,a_002,1,0,5e-05,1,20000,23.195693969726562,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,a_004,0,0,0.0,0,20000,23.195693969726562,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,a_010,0,0,0.0,0,20000,23.195693969726562,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,a_012,1,0,0.0,0,20000,23.195693969726562,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,a_1a,0,0,5e-05,1,20000,23.195693969726562,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,a_2a,0,0,0.0,0,20000,23.195693969726562,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
8,a_001,1,0,0.00015,3,20000,22.85434913635254,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_006,0,0,0.0,0,20000,22.85434913635254,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_010,0,0,5e-05,1,20000,22.85434913635254,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_2a,0,0,0.0003,6,20000,22.85434913635254,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_2b,0,0,0.0004,8,20000,22.85434913635254,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_5a,1,0,0.0092,184,20000,22.85434913635254,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
9,a_003,0,0,0.00035,7,20000,18.35709571838379,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_007,1,0,0.0004,8,20000,18.35709571838379,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_011,0,0,0.0,0,20000,18.35709571838379,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_2b,0,0,0.0004,8,20000,18.35709571838379,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_3a,0,0,0.0002,4,20000,18.35709571838379,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_4b,1,0,0.00215,43,20000,18.35709571838379,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
10,a_002,1,3,0.0127,254,20000,13.849933624267578,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_003,0,3,0.00055,11,20000,13.849933624267578,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_007,1,3,0.00055,11,20000,13.849933624267578,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_009,0,3,0.0,0,20000,13.849933624267578,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_010,0,3,5e-05,1,20000,13.849933624267578,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_2a,0,3,0.0003,6,20000,13.849933624267578,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
11,a_002,1,3,0.00055,11,20000,8.55211067199707,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_003,0,3,0.0,0,20000,8.55211067199707,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_006,0,3,0.0,0,20000,8.55211067199707,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_010,0,3,5e-05,1,20000,8.55211067199707,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
