split_id,donor_id,y_true,filter_id,frequency,n_selected_cells,n_cells,response_threshold,training_donors
0,a_002,1,0,0.0105,210,20000,15.466368675231934,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_004,0,0,0.00055,11,20000,15.466368675231934,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_006,0,0,0.0,0,20000,15.466368675231934,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_1a,0,0,0.00055,11,20000,15.466368675231934,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_2a,0,0,0.00045,9,20000,15.466368675231934,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
0,a_4a,1,0,0.00535,107,20000,15.466368675231934,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b
1,a_002,1,1,0.00505,101,20000,30.29729652404785,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_003,0,1,0.0006,12,20000,30.29729652404785,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_004,0,1,0.0001,2,20000,30.29729652404785,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_006,0,1,0.0,0,20000,30.29729652404785,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_3b,0,1,0.00015,3,20000,30.29729652404785,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_5a,1,1,0.0103,206,20000,30.29729652404785,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
2,a_002,1,1,0.00955,191,20000,19.3016300201416,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_004,0,1,0.00025,5,20000,19.3016300201416,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_007,1,1,0.0001,2,20000,19.3016300201416,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_010,0,1,0.0,0,20000,19.3016300201416,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_1a,0,1,0.00055,11,20000,19.3016300201416,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_3b,0,1,0.0001,2,20000,19.3016300201416,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
3,a_006,0,1,0.0,0,20000,13.970224380493164,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_009,0,1,0.0,0,20000,13.970224380493164,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_011,0,1,0.0,0,20000,13.970224380493164,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_2a,0,1,0.0002,4,20000,13.970224380493164,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_5a,1,1,0.0104,208,20000,13.970224380493164,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
3,a_5b,1,1,0.01415,283,20000,13.970224380493164,a_001;a_003;a_004;a_005;a_007;a_1a;a_3b;a_4a;a_4b
4,a_001,1,2,0.0002,4,20000,13.74079704284668,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_003,0,2,0.00055,11,20000,13.74079704284668,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_010,0,2,5e-05,1,20000,13.74079704284668,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_011,0,2,5e-05,1,20000,13.74079704284668,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_2a,0,2,0.0001,2,20000,13.74079704284668,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,a_4b,1,2,0.0019,38,20000,13.74079704284668,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
5,a_003,0,0,0.00055,11,20000,16.203603744506836,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_011,0,0,5e-05,1,20000,16.203603744506836,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_2b,0,0,0.00035,7,20000,16.203603744506836,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_3b,0,0,0.0002,4,20000,16.203603744506836,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_5a,1,0,0.0136,272,20000,16.203603744506836,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,a_5b,1,0,0.0146,292,20000,16.203603744506836,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
6,a_001,1,3,5e-05,1,20000,19.907039642333984,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_003,0,3,0.00025,5,20000,19.907039642333984,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_1a,0,3,0.00045,9,20000,19.907039642333984,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_2a,0,3,0.00015,3,20000,19.907039642333984,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_2b,0,3,0.0003,6,20000,19.907039642333984,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,a_5a,1,3,0.00855,171,20000,19.907039642333984,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
7,a_002,1,1,0.0,0,20000,2.0471653938293457,a_001;a_003;a_005;a_007;a_009;a_011;a_3b;a_4a;a_5a
7,a_004,0,1,0.0,0,20000,2.0471653938293457,a_001;a_003;a_005;a_007;a_009;a_011;a_3b;a_4a;a_5a
7,a_010,0,1,0.0001,2,20000,2.0471653938293457,a_001;a_003;a_005;a_007;a_009;a_011;a_3b;a_4a;a_5a
7,a_012,1,1,0.0,0,20000,2.0471653938293457,a_001;a_003;a_005;a_007;a_009;a_011;a_3b;a_4a;a_5a
7,a_1a,0,1,0.0001,2,20000,2.0471653938293457,a_001;a_003;a_005;a_007;a_009;a_011;a_3b;a_4a;a_5a
7,a_2a,0,1,0.0,0,20000,2.0471653938293457,a_001;a_003;a_005;a_007;a_009;a_011;a_3b;a_4a;a_5a
8,a_001,1,0,0.0001,2,20000,22.896577835083008,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_006,0,0,0.0,0,20000,22.896577835083008,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_010,0,0,5e-05,1,20000,22.896577835083008,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_2a,0,0,0.0003,6,20000,22.896577835083008,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_2b,0,0,0.00035,7,20000,22.896577835083008,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
8,a_5a,1,0,0.009,180,20000,22.896577835083008,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b
9,a_003,0,0,0.00055,11,20000,19.17913246154785,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_007,1,0,0.00045,9,20000,19.17913246154785,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_011,0,0,5e-05,1,20000,19.17913246154785,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_2b,0,0,0.00055,11,20000,19.17913246154785,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_3a,0,0,0.0002,4,20000,19.17913246154785,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
9,a_4b,1,0,0.0026,52,20000,19.17913246154785,a_001;a_002;a_004;a_005;a_009;a_010;a_3b;a_5a;a_5b
10,a_002,1,3,0.0128,256,20000,13.945211410522461,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_003,0,3,0.00065,13,20000,13.945211410522461,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_007,1,3,0.00055,11,20000,13.945211410522461,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_009,0,3,0.0,0,20000,13.945211410522461,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_010,0,3,5e-05,1,20000,13.945211410522461,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
10,a_2a,0,3,0.0004,8,20000,13.945211410522461,a_001;a_004;a_005;a_011;a_012;a_1a;a_2b;a_3b;a_4b;a_5b
11,a_002,1,3,0.00075,15,20000,9.565874099731445,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_003,0,3,0.0,0,20000,9.565874099731445,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_006,0,3,0.0,0,20000,9.565874099731445,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_010,0,3,0.0,0,20000,9.565874099731445,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_011,0,3,0.0,0,20000,9.565874099731445,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,a_012,1,3,5e-05,1,20000,9.565874099731445,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
12,a_001,1,4,0.0,0,20000,40.41672134399414,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,a_003,0,4,0.0002,4,20000,40.41672134399414,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,a_004,0,4,5e-05,1,20000,40.41672134399414,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,a_006,0,4,0.0,0,20000,40.41672134399414,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,a_3a,0,4,5e-05,1,20000,40.41672134399414,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,a_4a,1,4,0.00325,65,20000,40.41672134399414,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
13,a_004,0,1,0.0006,12,20000,26.93703842163086,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,a_009,0,1,0.0,0,20000,26.93703842163086,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,a_1a,0,1,0.00175,35,20000,26.93703842163086,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,a_3b,0,1,0.00065,13,20000,26.93703842163086,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,a_4b,1,1,0.0025,50,20000,26.93703842163086,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,a_5a,1,1,0.0155,310,20000,26.93703842163086,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
14,a_005,1,1,0.0054,108,20000,20.567140579223633,a_002;a_004;a_006;a_007;a_009;a_012;a_2b;a_4a;a_5b
14,a_010,0,1,0.0,0,20000,20.567140579223633,a_002;a_004;a_006;a_007;a_009;a_012;a_2b;a_4a;a_5b
14,a_2a,0,1,0.0001,2,20000,20.567140579223633,a_002;a_004;a_006;a_007;a_009;a_012;a_2b;a_4a;a_5b
14,a_3a,0,1,0.0001,2,20000,20.567140579223633,a_002;a_004;a_006;a_007;a_009;a_012;a_2b;a_4a;a_5b
14,a_3b,0,1,0.0,0,20000,20.567140579223633,a_002;a_004;a_006;a_007;a_009;a_012;a_2b;a_4a;a_5b
14,a_5a,1,1,0.0081,162,20000,20.567140579223633,a_002;a_004;a_006;a_007;a_009;a_012;a_2b;a_4a;a_5b
15,a_002,1,0,0.0056,112,20000,18.27729034423828,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b
15,a_003,0,0,0.00035,7,20000,18.27729034423828,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b
