split_id,network_auc,frequency_auc,frequency_effect,phenotype_status
0,1.0,1.0,0.0075375,berechnet
1,1.0,1.0,0.0074624999999999995,berechnet
2,1.0,0.6875,0.004599999999999999,berechnet
3,1.0,1.0,0.012225,berechnet
4,1.0,0.875,0.0008624999999999999,berechnet
5,1.0,1.0,0.0138125,berechnet
6,0.875,0.5,0.0040125000000000004,berechnet
7,0.75,0.25,-5e-05,berechnet
8,0.875,0.75,0.0043749999999999995,berechnet
9,1.0,0.75,0.0011874999999999998,berechnet
10,1.0,0.875,0.0064,berechnet
11,1.0,1.0,0.0004,berechnet
12,0.75,0.5625,0.00155,berechnet
13,0.875,1.0,0.008249999999999999,berechnet
14,1.0,1.0,0.0067,berechnet
15,1.0,1.0,0.003575,berechnet
16,1.0,0.625,0.006725,berechnet
17,0.75,0.6875,0.0005874999999999999,berechnet
18,1.0,1.0,0.013962500000000001,berechnet
19,0.75,1.0,0.0063625,berechnet
20,0.75,1.0,0.0027624999999999998,berechnet
21,1.0,1.0,0.0039,berechnet
22,0.375,0.875,0.0013375,berechnet
23,1.0,0.8125,0.0005499999999999999,berechnet
24,1.0,1.0,0.01585,berechnet
25,1.0,0.875,0.0008500000000000001,berechnet
26,1.0,0.875,0.00375,berechnet
27,1.0,0.75,0.0091125,berechnet
28,1.0,1.0,0.0095125,berechnet
29,1.0,1.0,0.009825,berechnet
30,1.0,1.0,0.003675,berechnet
31,0.75,0.0,-0.000175,berechnet
32,1.0,0.875,0.004049999999999999,berechnet
33,0.875,1.0,0.0011250000000000001,berechnet
34,1.0,1.0,0.0095,berechnet
35,1.0,1.0,0.0100625,berechnet
36,0.75,1.0,0.0053750000000000004,berechnet
37,1.0,1.0,0.003175,berechnet
38,1.0,1.0,0.017912499999999998,berechnet
39,1.0,0.6875,0.0026875000000000002,berechnet
40,0.625,0.5625,0.000375,berechnet
41,0.875,0.875,0.0017000000000000001,berechnet
42,0.875,0.875,0.0009750000000000001,berechnet
43,1.0,0.75,0.0081625,berechnet
44,1.0,1.0,0.0121875,berechnet
45,1.0,1.0,0.0127625,berechnet
46,0.875,0.8125,0.0001,berechnet
47,0.875,1.0,0.006762499999999999,berechnet
48,1.0,0.875,0.0046500000000000005,berechnet
49,0.75,0.6875,0.001625,berechnet
50,0.75,0.6875,0.0010249999999999999,berechnet
51,1.0,1.0,0.0135625,berechnet
52,1.0,0.9375,0.0021125,berechnet
53,1.0,0.875,0.0077624999999999994,berechnet
54,0.875,0.5625,0.000375,berechnet
55,1.0,1.0,0.006987500000000001,berechnet
56,0.875,0.875,0.008424999999999998,berechnet
57,0.875,0.6875,0.0028875000000000003,berechnet
58,1.0,1.0,0.007237499999999999,berechnet
59,1.0,1.0,0.00035000000000000005,berechnet
60,0.75,0.75,0.0007500000000000001,berechnet
61,0.75,1.0,0.004662499999999999,berechnet
62,0.75,1.0,0.0059499999999999996,berechnet
63,1.0,1.0,0.001675,berechnet
64,1.0,1.0,0.0050125,berechnet
65,1.0,1.0,0.0078375,berechnet
66,0.75,0.5,-0.00025,berechnet
67,1.0,1.0,0.007549999999999999,berechnet
68,1.0,1.0,0.00655,berechnet
69,0.875,0.75,3.7500000000000003e-05,berechnet
70,1.0,0.75,0.004675,berechnet
71,1.0,0.8125,0.00395,berechnet
72,1.0,1.0,0.008324999999999999,berechnet
73,0.875,0.75,0.004762499999999999,berechnet
74,0.875,0.625,9.999999999999994e-05,berechnet
75,0.625,0.5,0.0059,berechnet
76,1.0,1.0,0.0113125,berechnet
77,1.0,1.0,0.0033125000000000003,berechnet
78,1.0,1.0,0.004762499999999999,berechnet
79,1.0,1.0,0.015125000000000001,berechnet
80,1.0,0.875,0.0055875000000000005,berechnet
81,1.0,0.875,0.008812500000000001,berechnet
82,1.0,1.0,0.012825,berechnet
83,1.0,0.75,0.0054125,berechnet
84,0.5,0.8125,0.00023750000000000003,berechnet
85,1.0,1.0,0.009300000000000001,berechnet
86,1.0,1.0,0.007637499999999999,berechnet
87,0.375,0.6875,8.75e-05,berechnet
88,1.0,0.6875,0.0007250000000000001,berechnet
89,0.75,1.0,0.0090375,berechnet
90,0.875,0.875,0.0019250000000000003,berechnet
91,0.875,0.875,0.005975,berechnet
92,1.0,1.0,0.0084625,berechnet
93,1.0,0.5,0.0015999999999999999,berechnet
94,1.0,1.0,0.0046125,berechnet
95,1.0,1.0,0.0081125,berechnet
96,0.625,0.5625,7.499999999999998e-05,berechnet
97,0.625,0.625,0.0014624999999999998,berechnet
98,1.0,1.0,0.0084,berechnet
99,1.0,0.75,0.00915,berechnet
