split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_learnable,frequency_auc_learnable,frequency_effect_learnable,phenotype_status_learnable,network_auc_hard,frequency_auc_hard,frequency_effect_hard,phenotype_status_hard,network_auc_delta,network_auc_delta_vs_baseline
0,1.0,1.0,0.007350000000000001,berechnet,1.0,1.0,0.0075375,berechnet,1.0,1.0,0.0075875,berechnet,0.0,0.0
1,1.0,1.0,0.033825,berechnet,1.0,1.0,0.0074624999999999995,berechnet,1.0,1.0,0.0072375,berechnet,0.0,0.0
2,1.0,1.0,0.026437500000000003,berechnet,1.0,0.6875,0.004599999999999999,berechnet,1.0,0.6875,0.0046749999999999,berechnet,0.0,0.0
3,1.0,1.0,0.00965,berechnet,1.0,1.0,0.012225,berechnet,1.0,1.0,0.0126875,berechnet,0.0,0.0
4,0.875,0.875,0.0018875,berechnet,1.0,0.875,0.0008624999999999999,berechnet,1.0,0.875,0.0007999999999999,berechnet,0.0,0.125
5,1.0,1.0,0.0126375,berechnet,1.0,1.0,0.0138125,berechnet,1.0,1.0,0.0129375,berechnet,0.0,0.0
6,0.625,0.5,0.003,berechnet,0.875,0.5,0.0040125000000000004,berechnet,0.875,0.5,0.0039124999999999,berechnet,0.0,0.25
7,0.75,0.75,0.0004625,berechnet,0.75,0.25,-5e-05,berechnet,0.625,0.625,1.25e-05,berechnet,0.125,0.0
8,0.5,0.9375,0.008875000000000001,berechnet,0.875,0.75,0.0043749999999999995,berechnet,0.875,0.75,0.0044875,berechnet,0.0,0.375
9,1.0,1.0,0.003225,berechnet,1.0,0.75,0.0011874999999999998,berechnet,1.0,0.9375,0.0010375,berechnet,0.0,0.0
10,0.875,0.75,0.0006625000000000001,berechnet,1.0,0.875,0.0064,berechnet,1.0,0.9375,0.0063999999999999,berechnet,0.0,0.125
11,0.875,0.875,0.0026875000000000002,berechnet,1.0,1.0,0.0004,berechnet,1.0,1.0,0.0003125,berechnet,0.0,0.125
12,0.75,0.75,0.0033875,berechnet,0.75,0.5625,0.00155,berechnet,0.75,0.5625,0.00155,berechnet,0.0,0.0
