split_id,network_auc,frequency_auc,frequency_effect,phenotype_status
0,1.0,1.0,0.0075875,berechnet
1,1.0,1.0,0.0072375,berechnet
2,1.0,0.6875,0.0046749999999999995,berechnet
3,1.0,1.0,0.0126875,berechnet
4,1.0,0.875,0.0007999999999999999,berechnet
5,1.0,1.0,0.012937500000000001,berechnet
6,0.875,0.5,0.003912499999999999,berechnet
7,0.625,0.625,1.25e-05,berechnet
8,0.875,0.75,0.0044875,berechnet
9,1.0,0.9375,0.0010375,berechnet
10,1.0,0.9375,0.0063999999999999994,berechnet
11,1.0,1.0,0.00031250000000000006,berechnet
12,0.75,0.5625,0.00155,berechnet
13,0.875,1.0,0.008249999999999999,berechnet
14,1.0,1.0,0.006425,berechnet
15,0.875,1.0,0.0031875,berechnet
16,1.0,0.75,0.0068625,berechnet
17,0.75,0.6875,0.001425,berechnet
18,1.0,1.0,0.01225,berechnet
19,0.875,1.0,0.0063750000000000005,berechnet
20,0.875,1.0,0.0027875,berechnet
21,1.0,1.0,0.0040750000000000005,berechnet
22,0.375,0.875,0.0010375,berechnet
23,1.0,0.625,0.0014,berechnet
24,1.0,1.0,0.015087499999999998,berechnet
25,1.0,0.875,0.0007624999999999999,berechnet
26,1.0,0.875,0.0037625,berechnet
27,1.0,0.75,0.009062500000000001,berechnet
28,1.0,1.0,0.00945,berechnet
29,1.0,1.0,0.0096625,berechnet
30,1.0,1.0,0.0036375,berechnet
31,0.75,0.0,-0.000175,berechnet
32,1.0,0.875,0.0039375,berechnet
33,0.875,1.0,0.0009875,berechnet
34,1.0,1.0,0.0094875,berechnet
35,1.0,1.0,0.010275,berechnet
36,0.75,1.0,0.0056125,berechnet
37,1.0,1.0,0.003025,berechnet
38,1.0,1.0,0.02035,berechnet
39,0.875,0.625,0.0024375,berechnet
40,0.625,0.625,0.000675,berechnet
41,1.0,0.6875,0.0019125000000000001,berechnet
42,0.875,0.875,0.0007375000000000001,berechnet
43,1.0,0.75,0.008175,berechnet
44,1.0,1.0,0.0120625,berechnet
45,1.0,1.0,0.012887499999999998,berechnet
46,0.875,0.8125,7.500000000000002e-05,berechnet
47,0.875,1.0,0.007712499999999999,berechnet
48,1.0,0.8125,0.0044875,berechnet
49,0.75,0.6875,0.0014375,berechnet
50,0.75,0.6875,0.001075,berechnet
51,1.0,1.0,0.0133625,berechnet
52,1.0,0.625,0.00015000000000000001,berechnet
53,1.0,0.875,0.007899999999999999,berechnet
54,0.875,0.75,0.000125,berechnet
55,1.0,1.0,0.00605,berechnet
56,1.0,0.875,0.00845,berechnet
57,0.875,0.625,0.0024375,berechnet
58,1.0,1.0,0.0092,berechnet
59,1.0,0.875,0.000325,berechnet
60,0.75,1.0,0.0158375,berechnet
61,0.75,1.0,0.0047374999999999995,berechnet
62,0.75,1.0,0.009174999999999999,berechnet
63,1.0,1.0,0.00165,berechnet
64,1.0,1.0,0.0043875,berechnet
65,1.0,1.0,0.01645,berechnet
66,0.75,0.5,-0.000225,berechnet
67,1.0,1.0,0.009224999999999999,berechnet
68,1.0,1.0,0.0083875,berechnet
69,0.75,0.75,3.7500000000000003e-05,berechnet
70,1.0,0.875,0.0044875,berechnet
71,1.0,0.8125,0.004050000000000001,berechnet
72,1.0,1.0,0.008375,berechnet
73,0.875,0.6875,0.0049375,berechnet
74,0.75,0.75,0.0002999999999999999,berechnet
75,0.625,0.5,0.0060625,berechnet
76,1.0,1.0,0.0111375,berechnet
77,1.0,1.0,0.0034125,berechnet
78,1.0,1.0,0.0051125,berechnet
79,1.0,1.0,0.015225,berechnet
80,1.0,0.875,0.005537500000000001,berechnet
81,1.0,0.875,0.0084875,berechnet
82,1.0,1.0,0.013125000000000001,berechnet
83,1.0,0.75,0.0053124999999999995,berechnet
84,0.5,1.0,5e-05,berechnet
85,1.0,1.0,0.010700000000000001,berechnet
86,1.0,1.0,0.007775,berechnet
87,0.375,0.6875,8.75e-05,berechnet
88,1.0,0.6875,0.0007625000000000002,berechnet
89,0.75,1.0,0.0091,berechnet
90,1.0,0.875,0.0018375,berechnet
91,0.875,0.875,0.0058874999999999995,berechnet
92,1.0,1.0,0.008925,berechnet
93,1.0,0.5,0.0016124999999999998,berechnet
94,1.0,1.0,0.0044125,berechnet
95,1.0,1.0,0.0100625,berechnet
96,0.625,0.5625,8.750000000000001e-05,berechnet
97,0.625,0.6875,0.0011625,berechnet
98,1.0,1.0,0.0085625,berechnet
99,1.0,0.75,0.009925,berechnet
