split_id,donor_id,y_true,filter_id,frequency,n_cells,response_threshold,training_donors
0,a_002,1,3,0.011399999260902405,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,a_004,0,3,4.999999873689376e-05,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,a_006,0,3,0.0006500000017695129,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,a_1a,0,3,0.00279999990016222,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,a_2a,0,3,0.00019999999494757503,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,a_4a,1,3,0.005150000099092722,20000,5.747089385986328,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
1,a_002,1,0,0.04569999873638153,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_003,0,0,0.004100000020116568,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_004,0,0,0.0010499999625608325,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_006,0,0,0.0006500000017695129,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_3b,0,0,0.0007999999797903001,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,a_5a,1,0,0.02524999901652336,20000,8.408774375915527,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
2,a_002,1,2,0.05179999768733978,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_004,0,2,0.0010499999625608325,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_007,1,2,0.003999999724328518,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_010,0,2,0.00039999998989515007,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_1a,0,2,0.0032999999821186066,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,a_3b,0,2,0.0010999999940395355,20000,10.417335510253906,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
