split_id,donor_id,y_true,filter_id,frequency,n_cells
0,a_002,1,1,0.055799998342990875,20000
0,a_004,0,1,0.08204999566078186,20000
0,a_006,0,1,0.07864999771118164,20000
0,a_1a,0,1,0.003999999724328518,20000
0,a_2a,0,1,0.04149999842047691,20000
0,a_4a,1,1,0.022350000217556953,20000
1,a_002,1,1,0.6711999773979187,20000
1,a_003,0,1,0.5038999915122986,20000
1,a_004,0,1,0.5444999933242798,20000
1,a_006,0,1,0.6275999546051025,20000
1,a_3b,0,1,0.6717000007629395,20000
1,a_5a,1,1,0.7328000068664551,20000
2,a_002,1,1,0.04039999842643738,20000
2,a_004,0,1,0.08379999548196793,20000
2,a_007,1,1,0.029600000008940697,20000
2,a_010,0,1,0.03904999792575836,20000
2,a_1a,0,1,0.019700000062584877,20000
2,a_3b,0,1,0.03904999792575836,20000
