split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,epochs_run,selected
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,3,3003105992,0.4,0.5,0.7165634460449218,8,False
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,4,3003106092,0.6,0.5,0.6732997140884399,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,5,3003106192,0.6,0.5,0.6918436417579651,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,3,3003115992,0.6,0.6666666666666667,0.6867501034736633,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,4,3003116092,0.6,0.6666666666666667,0.6790963082313538,6,True
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,5,3003116192,0.6,0.6666666666666667,0.6906281085014343,6,False
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,3,3003125992,0.5,0.75,0.666226704120636,12,False
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,4,3003126092,0.5,0.5,0.6936249327659607,7,False
0,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,5,3003126192,0.5,0.25,0.6933515548706055,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,3,976401080,0.4,0.5,0.706375214099884,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,4,976401180,0.4,0.16666666666666666,0.7112314682006836,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,5,976401280,0.4,0.5,0.7138133325576782,7,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,3,976411080,0.4,0.0,0.7276819128990173,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,4,976411180,0.6,0.0,0.6861781659126281,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,5,976411280,0.4,0.33333333333333337,0.7234359908103943,6,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,3,976421080,0.75,0.5,0.6917771649360657,8,False
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,4,976421180,0.75,0.5,0.6584084022045136,15,True
1,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,5,976421280,0.5,0.5,0.6933620047569274,6,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,3,3387213321,0.6,0.0,0.683067262172699,6,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,4,3387213421,0.4,1.0,0.6994344034194946,6,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,0,5,3387213521,0.4,0.3333333333333333,0.7065542106628417,6,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,3,3387223321,0.4,0.16666666666666669,0.7239142417907715,6,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,4,3387223421,0.4,0.6666666666666667,0.6811979603767395,12,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,1,5,3387223521,0.6,0.33333333333333337,0.6788992629051208,6,True
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,3,3387233321,0.5,0.5,0.6931344985961914,6,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,4,3387233421,0.5,0.75,0.6893538570404053,7,False
2,gated_alive,full,cuda,diagonal_prototype_relu_mean_v1,2,5,3387233521,0.5,0.5,0.6935151982307434,6,False
