split_id,network_auc,pooled_response_auc,pooled_response_effect,phenotype_status
0,1.0,0.75,0.12040314078330994,berechnet
1,1.0,1.0,2.8124359250068665,berechnet
2,0.75,0.75,1.0973598957061768,berechnet
3,0.5,0.5,0.29900801181793213,berechnet
4,0.375,0.875,1.0986675024032593,berechnet
5,0.5,0.875,1.228307843208313,berechnet
6,0.875,1.0,1.0531930923461914,berechnet
7,0.75,0.875,1.132563591003418,berechnet
8,0.75,1.0,2.223151445388794,berechnet
9,0.5,0.875,1.7201426029205322,berechnet
10,0.625,0.75,0.3455337882041931,berechnet
11,0.5,0.625,0.25254130363464355,berechnet
12,0.75,0.75,0.3458794355392456,berechnet
13,0.875,1.0,2.77227246761322,berechnet
14,0.625,0.75,0.023938201367855072,berechnet
15,0.875,0.625,0.8707219362258911,berechnet
16,0.125,0.25,-0.717372715473175,berechnet
17,0.875,0.75,0.3336103558540344,berechnet
18,0.875,1.0,0.6879338026046753,berechnet
19,0.875,1.0,1.2103379964828491,berechnet
20,1.0,1.0,3.3755396604537964,berechnet
21,0.5,0.75,0.9426940083503723,berechnet
22,1.0,1.0,0.7763746976852417,berechnet
23,0.375,0.5,0.15040525794029236,berechnet
24,1.0,0.875,0.33167749643325806,berechnet
25,0.625,0.75,1.847074270248413,berechnet
26,0.75,0.75,0.2758391201496124,berechnet
27,0.75,0.5,0.014882352203130722,berechnet
28,1.0,1.0,0.7088245153427124,berechnet
29,1.0,1.0,3.5518020391464233,berechnet
30,0.5,0.75,0.12011044472455978,berechnet
31,0.5,0.5,0.48644208908081055,berechnet
32,0.625,0.625,0.4038088321685791,berechnet
33,1.0,0.75,1.1488049030303955,berechnet
34,0.5,0.625,0.19033101201057434,berechnet
35,1.0,0.125,-0.25765159726142883,berechnet
36,0.75,1.0,3.1467814445495605,berechnet
37,0.75,0.875,0.5023500919342041,berechnet
38,1.0,0.75,0.08480450510978699,berechnet
39,0.75,1.0,0.37740588188171387,berechnet
40,0.75,0.375,-0.03610789775848389,berechnet
41,0.875,0.375,-0.036578379571437836,berechnet
42,0.75,1.0,1.322135329246521,berechnet
43,1.0,0.875,2.817448854446411,berechnet
44,0.875,1.0,0.9659653902053833,berechnet
45,0.25,0.5,-0.054441869258880615,berechnet
46,0.625,0.75,0.7542769908905029,berechnet
47,0.625,0.625,0.511650562286377,berechnet
48,0.25,0.5,0.0020120739936828613,berechnet
49,0.625,0.625,0.3537869453430176,berechnet
50,1.0,1.0,0.4312576800584793,berechnet
51,0.5,0.25,-0.008047223091125488,berechnet
52,1.0,0.75,0.2108806073665619,berechnet
53,1.0,0.875,0.10580933094024658,berechnet
54,0.625,0.75,0.8866190910339355,berechnet
55,0.875,1.0,4.893115997314453,berechnet
56,0.875,1.0,3.407870292663574,berechnet
57,0.875,0.75,0.04817040264606476,berechnet
58,1.0,1.0,1.2103550434112549,berechnet
59,0.75,0.75,0.4378826320171356,berechnet
60,0.625,0.625,0.37369823455810547,berechnet
61,0.625,1.0,5.16472315788269,berechnet
62,0.75,0.625,0.8703302145004272,berechnet
63,0.75,0.75,0.1803746223449707,berechnet
64,0.625,0.375,-6.402842700481415e-05,berechnet
65,0.0,0.0,-0.10942831635475159,berechnet
66,1.0,0.875,0.6608381867408752,berechnet
67,1.0,1.0,2.9314955472946167,berechnet
68,0.75,0.75,1.250268042087555,berechnet
69,0.5,0.75,0.670407772064209,berechnet
70,0.875,0.75,0.5565613508224487,berechnet
71,0.75,1.0,1.6034765243530273,berechnet
72,1.0,1.0,5.178388833999634,berechnet
73,0.625,0.75,0.451371431350708,berechnet
74,1.0,0.375,0.0072977542877197266,berechnet
75,0.25,0.0,-0.07863801717758179,berechnet
76,0.75,0.75,0.5166547894477844,berechnet
77,0.875,1.0,0.329464316368103,berechnet
78,0.75,0.75,0.1994885802268982,berechnet
79,0.5,0.5,0.024990469217300415,berechnet
80,0.625,0.5,0.004198737442493439,berechnet
81,0.375,0.375,-0.19994047284126282,berechnet
82,0.5,0.625,0.15674251317977905,berechnet
83,1.0,1.0,3.524199962615967,berechnet
84,0.625,0.875,0.7907261252403259,berechnet
85,0.125,0.25,-0.11472181975841522,berechnet
86,0.625,0.875,0.983094334602356,berechnet
87,0.75,0.625,0.6896030902862549,berechnet
88,0.75,1.0,1.0219252109527588,berechnet
89,0.375,0.25,-0.4871203899383545,berechnet
90,0.875,0.875,3.454803228378296,berechnet
91,0.5,0.875,1.6406142711639404,berechnet
92,0.875,0.625,1.342228651046753,berechnet
93,0.375,1.0,0.5526961088180542,berechnet
94,0.875,1.0,1.3433446884155273,berechnet
95,1.0,0.75,2.1824402809143066,berechnet
96,1.0,0.875,0.384360134601593,berechnet
97,0.875,0.875,1.8741759061813354,berechnet
98,0.25,0.75,0.017733052372932434,berechnet
99,1.0,1.0,0.6807609796524048,berechnet
