split_id,network_auc_baseline,network_auc_modified,pooled_response_auc,pooled_response_effect,phenotype_status,network_auc_delta,filter_count,alpha_values,strongest_positive_filter,strongest_positive_alpha,training_seconds
0,1.0,1.0,0.75,0.12040314078330994,berechnet,0.0,4,"[0.006027371156960726, 0.02726331539452076, 0.00720132514834404, 0.019652999937534332]",1,0.02726331539452076,29.25900594900304
1,1.0,1.0,1.0,2.8124359250068665,berechnet,0.0,3,"[0.0204978808760643, 0.01675426959991455, 0.0176321379840374]",2,0.0176321379840374,23.574210093000147
2,1.0,0.75,0.75,1.0973598957061768,berechnet,-0.25,4,"[0.027747677639126778, 0.006114806979894638, 0.025505023077130318, 0.08285165578126907]",0,0.027747677639126778,35.64581641299446
3,1.0,0.5,0.5,0.29900801181793213,berechnet,-0.5,5,"[0.022050507366657257, 0.007998918183147907, 0.008388287387788296, 0.0046792165376245975, 0.013375790789723396]",3,0.0046792165376245975,25.876626450000913
4,0.875,0.375,0.875,1.0986675024032593,berechnet,-0.5,3,"[0.04175809398293495, 0.09835174679756165, 0.03379340469837189]",2,0.03379340469837189,31.89337522599817
5,1.0,0.5,0.875,1.228307843208313,berechnet,-0.5,4,"[0.023246807977557182, 0.017264770343899727, 0.06705226004123688, 0.06878577172756195]",1,0.017264770343899727,27.483170979001443
6,0.625,0.875,1.0,1.0531930923461914,berechnet,0.25,4,"[0.013490589335560799, 0.020947370678186417, 0.026768583804368973, 0.025469064712524414]",3,0.025469064712524414,25.645297864000895
7,0.75,0.75,0.875,1.132563591003418,berechnet,0.0,5,"[0.0372173972427845, 0.04911084100604057, 0.011033705435693264, 0.011370271444320679, 0.16468210518360138]",0,0.0372173972427845,26.723836149001727
8,0.5,0.75,1.0,2.223151445388794,berechnet,0.25,4,"[0.01346147246658802, 0.005328397732228041, 0.01974635198712349, 0.02976260893046856]",0,0.01346147246658802,28.87013352800568
9,1.0,0.5,0.875,1.7201426029205322,berechnet,-0.5,3,"[0.13112320005893707, 0.042352642863988876, 0.01869346760213375]",1,0.042352642863988876,54.14773441699799
10,0.875,0.625,0.75,0.3455337882041931,berechnet,-0.25,4,"[0.014985044486820698, 0.014671938493847847, 0.026644503697752953, 0.03584041818976402]",1,0.014671938493847847,30.072118623997085
11,0.875,0.5,0.625,0.25254130363464355,berechnet,-0.375,4,"[0.02327037788927555, 0.03879976645112038, 0.019802140071988106, 0.014590118080377579]",0,0.02327037788927555,51.348619475000305
12,0.75,0.75,0.75,0.3458794355392456,berechnet,0.0,5,"[0.007186034228652716, 0.0068078120239079, 0.011679621413350105, 0.010169470682740211, 0.02441563829779625]",3,0.010169470682740211,41.42031117300212
13,1.0,0.875,1.0,2.77227246761322,berechnet,-0.125,5,"[0.017398066818714142, 0.04527692496776581, 0.008082196116447449, 0.022205200046300888, 0.044479213654994965]",3,0.022205200046300888,41.960648508000304
14,1.0,0.625,0.75,0.023938201367855072,berechnet,-0.375,4,"[0.010370275937020779, 0.010319110937416553, 0.010098477825522423, 0.009893652983009815]",0,0.010370275937020779,31.99103150600422
15,0.625,0.875,0.625,0.8707219362258911,berechnet,0.25,4,"[0.029012810438871384, 0.041785743087530136, 0.022139504551887512, 0.026879511773586273]",1,0.041785743087530136,47.24865040700388
16,0.625,0.125,0.25,-0.717372715473175,berechnet,-0.5,3,"[0.008467585779726505, 0.008260832168161869, 0.009212428703904152]",0,0.008467585779726505,24.86707273399952
17,0.625,0.875,0.75,0.3336103558540344,berechnet,0.25,4,"[0.062126342207193375, 0.031128382310271263, 0.012416820041835308, 0.027379142120480537]",0,0.062126342207193375,38.85153339700628
