split_id,baseline_auc,without_geometry_auc,with_geometry_auc,delta_vs_without_geometry,delta_vs_baseline
0,1.0,1.0,1.0,0.0,0.0
1,1.0,1.0,1.0,0.0,0.0
2,1.0,0.75,0.75,0.0,-0.25
3,1.0,0.5,0.5,0.0,-0.5
4,0.875,0.375,0.5,0.125,-0.375
5,1.0,0.5,0.5,0.0,-0.5
6,0.625,0.875,0.875,0.0,0.25
7,0.75,0.75,0.625,-0.125,-0.125
8,0.5,0.75,0.75,0.0,0.25
9,1.0,0.5,0.625,0.125,-0.375
10,0.875,0.625,0.625,0.0,-0.25
11,0.875,0.5,0.5,0.0,-0.375
12,0.75,0.75,0.75,0.0,0.0
13,1.0,0.875,0.875,0.0,-0.125
14,1.0,0.625,0.625,0.0,-0.375
15,0.625,0.875,0.875,0.0,0.25
16,0.625,0.125,0.125,0.0,-0.5
17,0.625,0.875,0.875,0.0,0.25
18,1.0,0.875,0.875,0.0,-0.125
19,0.5,0.875,0.875,0.0,0.375
20,0.75,1.0,1.0,0.0,0.25
21,0.625,0.5,0.5,0.0,-0.125
22,0.625,1.0,1.0,0.0,0.375
23,0.625,0.375,0.375,0.0,-0.25
24,1.0,1.0,1.0,0.0,0.0
25,0.875,0.625,0.625,0.0,-0.25
26,0.875,0.75,0.75,0.0,-0.125
27,0.75,0.75,0.75,0.0,0.0
28,1.0,1.0,1.0,0.0,0.0
29,1.0,1.0,1.0,0.0,0.0
30,0.875,0.5,0.5,0.0,-0.375
31,0.875,0.5,0.5,0.0,-0.375
32,1.0,0.625,0.75,0.125,-0.25
33,0.75,1.0,1.0,0.0,0.25
34,0.875,0.5,0.5,0.0,-0.375
35,0.875,1.0,1.0,0.0,0.125
36,0.875,0.75,0.625,-0.125,-0.25
37,1.0,0.75,0.75,0.0,-0.25
38,0.375,1.0,1.0,0.0,0.625
39,0.875,0.75,0.75,0.0,-0.125
40,0.375,0.75,0.75,0.0,0.375
41,0.5,0.875,0.875,0.0,0.375
42,0.625,0.75,0.75,0.0,0.125
43,0.875,1.0,1.0,0.0,0.125
44,0.5,0.875,0.875,0.0,0.375
45,1.0,0.25,0.25,0.0,-0.75
46,1.0,0.625,0.625,0.0,-0.375
47,0.75,0.625,0.625,0.0,-0.125
48,0.75,0.25,0.25,0.0,-0.5
49,0.625,0.625,0.625,0.0,0.0
