split_id,network_auc,pooled_response_auc,pooled_response_effect,phenotype_status
0,1.0,0.75,0.11893594264984131,berechnet
1,1.0,1.0,2.8045369386672974,berechnet
2,0.75,0.75,1.1704914569854736,berechnet
3,0.5,0.5,0.29977601766586304,berechnet
4,0.5,0.75,1.14931058883667,berechnet
5,0.5,0.875,1.159737229347229,berechnet
6,0.875,1.0,1.0492312908172607,berechnet
7,0.625,0.875,0.8391687273979187,berechnet
8,0.75,1.0,2.221571207046509,berechnet
9,0.625,0.875,1.9050976037979126,berechnet
10,0.625,0.75,0.34579676389694214,berechnet
11,0.5,0.625,0.25179439783096313,berechnet
12,0.75,0.75,1.6619442701339722,berechnet
13,0.875,1.0,2.757514715194702,berechnet
14,0.625,0.75,0.02393726259469986,berechnet
15,0.875,0.625,0.7996687889099121,berechnet
16,0.125,0.25,-0.7180126011371613,berechnet
17,0.875,0.75,0.3338649272918701,berechnet
18,0.875,1.0,0.687571108341217,berechnet
19,0.875,1.0,1.197597861289978,berechnet
20,1.0,1.0,3.1782084703445435,berechnet
21,0.5,0.75,0.9423622488975525,berechnet
22,1.0,1.0,0.7661277055740356,berechnet
23,0.375,0.5,0.1503055989742279,berechnet
24,1.0,0.875,0.3321113586425781,berechnet
25,0.625,0.75,1.7538169622421265,berechnet
26,0.75,0.75,0.2745850384235382,berechnet
27,0.75,0.5,0.014868974685668945,berechnet
28,1.0,1.0,0.7086544036865234,berechnet
29,1.0,1.0,3.5481427907943726,berechnet
30,0.5,0.75,0.12010614201426506,berechnet
31,0.5,0.5,0.4827859401702881,berechnet
32,0.75,0.625,0.4303128719329834,berechnet
33,1.0,0.75,1.1484328508377075,berechnet
34,0.5,0.625,0.19032913446426392,berechnet
35,1.0,0.125,-0.25647205114364624,berechnet
36,0.625,1.0,2.9285861253738403,berechnet
37,0.75,0.875,0.5013424158096313,berechnet
38,1.0,0.75,0.08434197306632996,berechnet
39,0.75,1.0,0.36966216564178467,berechnet
40,0.75,0.375,-0.03503572940826416,berechnet
41,0.875,0.375,-0.0343644805252552,berechnet
42,0.75,1.0,1.284772276878357,berechnet
43,1.0,0.875,2.8106662034988403,berechnet
44,0.875,1.0,0.9681718349456787,berechnet
45,0.25,0.5,-0.05444929003715515,berechnet
46,0.625,0.75,0.7588305473327637,berechnet
47,0.625,0.625,0.51289963722229,berechnet
48,0.25,0.5,0.0020118504762649536,berechnet
49,0.625,0.625,0.4306579828262329,berechnet
