split_id,network_auc_baseline,network_auc_modified,pooled_response_auc,pooled_response_effect,phenotype_status,network_auc_delta,filter_count,alpha_values,strongest_positive_filter,strongest_positive_alpha,training_seconds
0,1.0,1.0,0.75,0.11893594264984131,berechnet,0.0,4,"[0.006049938965588808, 0.027194097638130188, 0.0071807862259447575, 0.01967381127178669]",1,0.027194097638130188,26.200605204008752
1,1.0,1.0,1.0,2.8045369386672974,berechnet,0.0,3,"[0.020504429936408997, 0.016732381656765938, 0.017662763595581055]",2,0.017662763595581055,23.60385953799414
2,1.0,0.75,0.75,1.1704914569854736,berechnet,-0.25,4,"[0.027135223150253296, 0.0065511432476341724, 0.025432318449020386, 0.08510317653417587]",0,0.027135223150253296,35.29716305999318
3,1.0,0.5,0.5,0.29977601766586304,berechnet,-0.5,5,"[0.02208632044494152, 0.007997317239642143, 0.008401290513575077, 0.004679753910750151, 0.013358195312321186]",3,0.004679753910750151,24.72799279500032
4,0.875,0.5,0.75,1.14931058883667,berechnet,-0.375,3,"[0.04139748960733414, 0.11550933867692947, 0.03479798138141632]",2,0.03479798138141632,35.84977614899981
5,1.0,0.5,0.875,1.159737229347229,berechnet,-0.5,4,"[0.02366374060511589, 0.016968606039881706, 0.06544162333011627, 0.06802257895469666]",1,0.016968606039881706,24.00907203000679
6,0.625,0.875,1.0,1.0492312908172607,berechnet,0.25,4,"[0.013471114449203014, 0.0209369957447052, 0.02671375684440136, 0.025398947298526764]",3,0.025398947298526764,25.242268790010712
7,0.75,0.625,0.875,0.8391687273979187,berechnet,-0.125,5,"[0.02937561646103859, 0.03247986361384392, 0.01149190403521061, 0.009476801380515099, 0.03953653201460838]",0,0.02937561646103859,19.94449384100153
8,0.5,0.75,1.0,2.221571207046509,berechnet,0.25,4,"[0.013242073357105255, 0.006468583829700947, 0.02042160928249359, 0.030988413840532303]",0,0.013242073357105255,19.72733682898979
9,1.0,0.625,0.875,1.9050976037979126,berechnet,-0.375,3,"[0.1442362666130066, 0.043048959225416183, 0.02070946805179119]",1,0.043048959225416183,40.88489419899997
