split_id,split_seed,donor_id,label,outer_partition,inner_fold
0,3003105692,a_001,1,train,0
0,3003105692,a_002,1,test,-1
0,3003105692,a_003,0,train,0
0,3003105692,a_004,0,test,-1
0,3003105692,a_005,1,train,1
0,3003105692,a_006,0,test,-1
0,3003105692,a_007,1,train,1
0,3003105692,a_009,0,train,1
0,3003105692,a_010,0,train,1
0,3003105692,a_011,0,train,0
0,3003105692,a_012,1,train,0
0,3003105692,a_1a,0,test,-1
0,3003105692,a_2a,0,test,-1
0,3003105692,a_2b,0,train,2
0,3003105692,a_3a,0,train,1
0,3003105692,a_3b,0,train,2
0,3003105692,a_4a,1,test,-1
0,3003105692,a_4b,1,train,2
0,3003105692,a_5a,1,train,2
0,3003105692,a_5b,1,train,0
1,976400780,a_001,1,train,0
1,976400780,a_002,1,test,-1
1,976400780,a_003,0,test,-1
1,976400780,a_004,0,test,-1
1,976400780,a_005,1,train,1
1,976400780,a_006,0,test,-1
1,976400780,a_007,1,train,2
1,976400780,a_009,0,train,1
1,976400780,a_010,0,train,1
1,976400780,a_011,0,train,0
1,976400780,a_012,1,train,1
1,976400780,a_1a,0,train,2
1,976400780,a_2a,0,train,2
1,976400780,a_2b,0,train,1
1,976400780,a_3a,0,train,0
1,976400780,a_3b,0,test,-1
1,976400780,a_4a,1,train,0
1,976400780,a_4b,1,train,2
1,976400780,a_5a,1,test,-1
1,976400780,a_5b,1,train,0
2,3387213021,a_001,1,train,1
2,3387213021,a_002,1,test,-1
2,3387213021,a_003,0,train,2
2,3387213021,a_004,0,test,-1
2,3387213021,a_005,1,train,2
2,3387213021,a_006,0,train,1
2,3387213021,a_007,1,test,-1
2,3387213021,a_009,0,train,1
2,3387213021,a_010,0,test,-1
2,3387213021,a_011,0,train,1
2,3387213021,a_012,1,train,0
2,3387213021,a_1a,0,test,-1
2,3387213021,a_2a,0,train,0
2,3387213021,a_2b,0,train,0
2,3387213021,a_3a,0,train,2
2,3387213021,a_3b,0,test,-1
2,3387213021,a_4a,1,train,1
2,3387213021,a_4b,1,train,0
2,3387213021,a_5a,1,train,2
2,3387213021,a_5b,1,train,0
3,1360466708,a_001,1,train,0
3,1360466708,a_002,1,train,1
3,1360466708,a_003,0,train,0
3,1360466708,a_004,0,train,2
3,1360466708,a_005,1,train,0
3,1360466708,a_006,0,test,-1
3,1360466708,a_007,1,train,2
3,1360466708,a_009,0,test,-1
3,1360466708,a_010,0,train,1
3,1360466708,a_011,0,test,-1
3,1360466708,a_012,1,train,1
3,1360466708,a_1a,0,train,0
3,1360466708,a_2a,0,test,-1
3,1360466708,a_2b,0,train,1
3,1360466708,a_3a,0,train,1
3,1360466708,a_3b,0,train,2
3,1360466708,a_4a,1,train,0
3,1360466708,a_4b,1,train,2
3,1360466708,a_5a,1,test,-1
3,1360466708,a_5b,1,test,-1
4,876933080,a_001,1,test,-1
4,876933080,a_002,1,train,2
4,876933080,a_003,0,test,-1
4,876933080,a_004,0,train,0
4,876933080,a_005,1,train,0
4,876933080,a_006,0,train,2
4,876933080,a_007,1,train,1
4,876933080,a_009,0,train,1
4,876933080,a_010,0,test,-1
4,876933080,a_011,0,test,-1
4,876933080,a_012,1,train,0
4,876933080,a_1a,0,train,1
4,876933080,a_2a,0,test,-1
4,876933080,a_2b,0,train,2
4,876933080,a_3a,0,train,1
4,876933080,a_3b,0,train,0
4,876933080,a_4a,1,train,2
4,876933080,a_4b,1,test,-1
4,876933080,a_5a,1,train,1
4,876933080,a_5b,1,train,0
5,3424658561,a_001,1,train,1
5,3424658561,a_002,1,train,2
5,3424658561,a_003,0,test,-1
5,3424658561,a_004,0,train,2
5,3424658561,a_005,1,train,0
5,3424658561,a_006,0,train,1
5,3424658561,a_007,1,train,2
5,3424658561,a_009,0,train,0
5,3424658561,a_010,0,train,1
5,3424658561,a_011,0,test,-1
5,3424658561,a_012,1,train,0
5,3424658561,a_1a,0,train,1
5,3424658561,a_2a,0,train,0
5,3424658561,a_2b,0,test,-1
5,3424658561,a_3a,0,train,2
5,3424658561,a_3b,0,test,-1
5,3424658561,a_4a,1,train,1
5,3424658561,a_4b,1,train,0
5,3424658561,a_5a,1,test,-1
5,3424658561,a_5b,1,test,-1
6,2760304911,a_001,1,test,-1
6,2760304911,a_002,1,train,0
6,2760304911,a_003,0,test,-1
6,2760304911,a_004,0,train,1
6,2760304911,a_005,1,train,2
6,2760304911,a_006,0,train,1
6,2760304911,a_007,1,train,0
6,2760304911,a_009,0,train,1
6,2760304911,a_010,0,train,0
6,2760304911,a_011,0,train,2
6,2760304911,a_012,1,train,0
6,2760304911,a_1a,0,test,-1
6,2760304911,a_2a,0,test,-1
6,2760304911,a_2b,0,test,-1
6,2760304911,a_3a,0,train,2
6,2760304911,a_3b,0,train,0
6,2760304911,a_4a,1,train,2
6,2760304911,a_4b,1,train,1
6,2760304911,a_5a,1,test,-1
6,2760304911,a_5b,1,train,1
7,2904491693,a_001,1,train,2
7,2904491693,a_002,1,test,-1
7,2904491693,a_003,0,train,2
7,2904491693,a_004,0,test,-1
7,2904491693,a_005,1,train,2
7,2904491693,a_006,0,train,1
7,2904491693,a_007,1,train,0
7,2904491693,a_009,0,train,0
