split_id,network_auc,frequency_auc,frequency_effect,phenotype_status
0,0.375,0.375,-0.012474998598918319,berechnet
1,1.0,0.875,0.1150750070810318,berechnet
2,0.25,0.5,-0.010399998631328344,berechnet
3,0.625,0.5,-0.07427499070763588,berechnet
4,0.5,0.375,-0.03964996337890625,berechnet
5,0.5,0.75,0.042099982500076294,berechnet
6,0.875,0.75,0.0760124921798706,berechnet
7,0.25,0.625,0.0026624999818523065,berechnet
8,0.375,,,kein positiver Output-Kontrast
9,0.625,0.5,-0.004275009036064148,berechnet
10,0.625,0.25,0.00415000319480896,berechnet
11,1.0,0.375,0.0007500052452087402,berechnet
12,0.75,0.375,-0.004424989223480225,berechnet
13,0.75,0.75,0.0543999969959259,berechnet
14,0.25,0.25,-0.032362499507144094,berechnet
15,0.75,0.75,0.06130000948905945,berechnet
16,1.0,1.0,0.21433749049901962,berechnet
17,0.625,0.625,0.060549989342689514,berechnet
18,0.875,0.875,0.1876249983906746,berechnet
19,0.75,0.25,-0.07041247189044952,berechnet
20,0.875,0.75,0.11681248992681503,berechnet
21,0.25,0.625,0.021725013852119446,berechnet
22,1.0,1.0,0.19337499141693115,berechnet
23,0.5,0.25,-0.009324997663497925,berechnet
24,0.875,0.75,0.03453749418258667,berechnet
25,0.5,0.5,0.001050010323524475,berechnet
26,0.5,0.5,-0.0080375075340271,berechnet
27,0.25,0.5,0.03247499838471413,berechnet
28,1.0,0.625,0.014350011944770813,berechnet
29,0.625,0.625,0.03966251015663147,berechnet
30,1.0,1.0,0.20704999566078186,berechnet
31,0.5,0.6875,2.7284841053187847e-12,berechnet
32,0.75,0.75,0.05376249551773071,berechnet
33,0.625,0.375,-0.01688745617866516,berechnet
34,0.75,0.625,0.0016750097274780273,berechnet
35,0.75,0.5,0.023800015449523926,berechnet
36,0.375,0.375,-0.028287500143051147,berechnet
37,0.75,0.125,-0.000624999975116225,berechnet
38,0.75,0.625,0.017275013029575348,berechnet
39,0.375,0.75,0.008937499951571226,berechnet
40,0.5,0.5,-0.08538749068975449,berechnet
41,0.75,0.625,0.008912503719329834,berechnet
42,0.625,0.375,-0.022312507033348083,berechnet
43,0.75,0.75,0.02063749637454748,berechnet
44,1.0,0.5,0.03837499022483826,berechnet
45,0.375,0.375,-0.015900015830993652,berechnet
46,0.625,0.625,0.03628748655319214,berechnet
47,0.625,0.5,-0.04124999791383743,berechnet
48,0.75,0.75,0.001912500236358028,berechnet
49,0.625,0.75,0.018024999648332596,berechnet
50,0.5,0.5,-1.2500006050686352e-05,berechnet
51,0.75,0.5,0.03471249341964722,berechnet
52,0.875,0.625,0.013187527656555176,berechnet
53,0.875,0.875,0.03767499327659607,berechnet
54,0.375,0.5,0.01158750057220459,berechnet
55,0.75,0.5,0.008412495255470276,berechnet
56,0.625,0.75,0.051225002855062485,berechnet
57,0.625,0.625,0.05745002627372742,berechnet
58,0.5,0.125,-0.00036249999538995326,berechnet
59,0.25,0.25,-0.0031249999010469764,berechnet
60,0.625,0.75,0.09043749421834946,berechnet
61,0.5,0.5,-0.03692498803138733,berechnet
62,0.875,0.875,0.10506248474121094,berechnet
63,1.0,,,kein positiver Output-Kontrast
64,0.875,0.75,0.02498750388622284,berechnet
65,0.75,0.75,0.12373751401901245,berechnet
66,1.0,0.5,-0.005112454295158386,berechnet
67,0.625,0.625,0.022087514400482178,berechnet
68,1.0,1.0,0.15316248685121536,berechnet
69,0.5,0.5,-0.030799999833106995,berechnet
70,0.5,0.375,-3.749999450519681e-05,berechnet
71,0.25,0.75,0.029762476682662964,berechnet
72,0.25,0.75,0.00028750002456945367,berechnet
73,0.625,0.5,-0.003612503409385681,berechnet
74,0.25,0.8125,7.499999719584594e-05,berechnet
75,0.5,,,kein positiver Output-Kontrast
76,0.875,0.75,0.03445000946521759,berechnet
77,0.5,0.5,0.04359999392181635,berechnet
78,0.75,0.5,0.005762510001659393,berechnet
79,0.5,0.375,-0.016375002451241016,berechnet
80,0.625,0.375,-0.01649998128414154,berechnet
81,0.25,0.5,-0.01967500150203705,berechnet
82,0.625,0.75,0.06414999067783356,berechnet
83,1.0,0.75,0.022162511944770813,berechnet
84,0.375,0.375,-0.01438748836517334,berechnet
85,0.25,0.375,-0.013512497767806053,berechnet
86,0.875,0.625,0.01596248149871826,berechnet
87,0.75,0.875,0.20259999483823776,berechnet
88,0.625,0.875,0.007950000232085586,berechnet
89,0.5,0.25,-0.040437474846839905,berechnet
90,0.75,0.875,0.08951249718666077,berechnet
91,0.5,0.5,-0.029149994254112244,berechnet
92,0.625,0.625,0.001249995082616806,berechnet
93,0.25,0.5,-0.00036250054836273193,berechnet
94,0.5,0.5,0.04472500830888748,berechnet
95,0.75,0.625,0.0834374949336052,berechnet
96,1.0,0.625,0.06288749724626541,berechnet
97,0.75,0.75,0.07184998691082001,berechnet
98,0.75,0.375,-0.007837533950805664,berechnet
99,0.625,0.625,0.06242498755455017,berechnet
