split_id,network_auc,frequency_auc,frequency_effect,phenotype_status
0,1.0,1.0,0.007537499812315218,berechnet
1,1.0,1.0,0.007462500010660733,berechnet
2,1.0,0.6875,0.00459999980921566,berechnet
3,1.0,1.0,0.012224999638419831,berechnet
4,1.0,0.875,0.0008624999572930392,berechnet
5,1.0,1.0,0.013812499336381734,berechnet
6,0.875,0.5,0.004012499734017183,berechnet
7,0.75,0.25,-4.999999873689376e-05,berechnet
8,0.875,0.75,0.004374999812171154,berechnet
9,1.0,0.75,0.001187500002743036,berechnet
10,1.0,0.875,0.006399999839231896,berechnet
11,1.0,1.0,0.0004000000026280759,berechnet
12,0.75,0.5625,0.0015499999190069502,berechnet
13,0.875,1.0,0.008249999867985025,berechnet
14,1.0,1.0,0.006699999943521107,berechnet
15,1.0,1.0,0.003574999875127105,berechnet
16,1.0,0.625,0.006724999824655242,berechnet
17,0.75,0.6875,0.0005874999706065864,berechnet
18,1.0,1.0,0.013962499797344208,berechnet
19,0.75,1.0,0.0063624998001614586,berechnet
20,0.75,1.0,0.002762499936579843,berechnet
21,1.0,1.0,0.0038999997868813807,berechnet
22,0.375,0.875,0.001337499954388477,berechnet
23,1.0,0.8125,0.0005499999906533048,berechnet
24,1.0,1.0,0.01584999948681798,berechnet
25,1.0,0.875,0.0008499999403284164,berechnet
26,1.0,0.875,0.0037499999334613676,berechnet
27,1.0,0.75,0.00911250020544685,berechnet
28,1.0,1.0,0.009512499989796197,berechnet
29,1.0,1.0,0.009824999418924563,berechnet
30,1.0,1.0,0.003674999847135041,berechnet
31,0.75,0.0,-0.00017499999557912815,berechnet
32,1.0,0.875,0.004049999888593447,berechnet
33,0.875,1.0,0.0011249999970459612,berechnet
34,1.0,1.0,0.009499999660874892,berechnet
35,1.0,1.0,0.010062499750347342,berechnet
36,0.75,1.0,0.0053749999296996975,berechnet
37,1.0,1.0,0.0031749998925079126,berechnet
38,1.0,1.0,0.017912499994054087,berechnet
39,1.0,0.6875,0.002687500022148015,berechnet
40,0.625,0.5625,0.00037499997051781975,berechnet
41,0.875,0.875,0.0017000000107145752,berechnet
42,0.875,0.875,0.0009749999808263965,berechnet
43,1.0,0.75,0.008162499633726839,berechnet
44,1.0,1.0,0.012187499779429345,berechnet
45,1.0,1.0,0.012762499511154601,berechnet
46,0.875,0.8125,9.999999292631401e-05,berechnet
47,0.875,1.0,0.006762499840988312,berechnet
48,1.0,0.875,0.004649999847970321,berechnet
49,0.75,0.6875,0.001624999940759153,berechnet
