split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,epochs_run,selected
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,3,3003105992,0.4,0.5,0.7157912483215332,10,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,4,3003106092,0.6,0.3333333333333333,0.6832930545806885,6,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,5,3003106192,0.6,0.6666666666666666,0.590865605680272,6,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,3,3003115992,0.6,0.0,0.6841372375488282,6,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,4,3003116092,0.8,1.0,0.29387779924832286,10,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,5,3003116192,0.6,0.6666666666666667,0.640549377322197,7,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,3,3003125992,1.0,1.0,0.35196504335850476,8,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,4,3003126092,0.75,1.0,0.24507619137410075,7,False
0,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,5,3003126192,1.0,1.0,0.24820407250663265,8,True
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,3,976401080,0.8,1.0,0.28356603256240487,8,False
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,4,976401180,0.6,0.8333333333333333,0.47593427926301957,6,False
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,5,976401280,0.8,1.0,0.5116353813409805,6,False
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,3,976411080,0.4,0.5,0.7177143864631653,18,False
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,4,976411180,0.8,0.6666666666666667,0.6775255689620971,6,False
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,5,976411280,0.6,0.6666666666666667,0.6878583540916443,6,False
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,3,976421080,1.0,1.0,0.30179498553276063,14,False
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,4,976421180,1.0,1.0,0.13982458487153054,38,True
1,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,5,976421280,1.0,1.0,0.25340396136045457,15,False
2,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,3,3387213321,0.8,0.6666666666666666,0.6538187055587769,6,False
2,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,4,3387213421,0.6,1.0,0.4745671594142914,6,False
2,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,5,3387213521,0.4,0.3333333333333333,0.9247562141418457,6,False
