split_id,inner_fold,filter_id,alpha
0,2,0,0.008106837049126625
0,2,1,0.00940246693789959
0,2,2,0.010309754870831966
0,2,3,0.008546948432922363
0,2,4,0.009427503682672977
1,2,0,0.006206993479281664
1,2,1,0.011544326320290565
1,2,2,0.010945749469101429
1,2,3,0.01043421495705843
2,2,0,0.008900957182049751
2,2,1,0.008814174681901932
2,2,2,0.007883491925895214
2,2,3,0.010473492555320263
2,2,4,0.010571196675300598
3,1,0,0.009067184291779995
3,1,1,0.009060148149728775
3,1,2,0.009404664859175682
3,1,3,0.010749385692179203
4,0,0,0.007104886695742607
4,0,1,0.007930779829621315
4,0,2,0.011245599947869778
4,0,3,0.014882737770676613
4,0,4,0.011602981947362423
5,0,0,0.01212332770228386
5,0,1,0.007414613850414753
5,0,2,0.010628019459545612
5,0,3,0.010982942767441273
6,2,0,0.00859733298420906
6,2,1,0.006894050166010857
6,2,2,0.011547302827239037
6,2,3,0.009812396951019764
6,2,4,0.008421155624091625
7,1,0,0.009974878281354904
7,1,1,0.010263176634907722
7,1,2,0.009772449731826782
7,1,3,0.008574026636779308
8,2,0,0.0076137809082865715
8,2,1,0.010049075819551945
8,2,2,0.010275815613567829
8,2,3,0.011757452972233295
8,2,4,0.010496195405721664
9,1,0,0.013804735615849495
9,1,1,0.010670778341591358
9,1,2,0.007591866888105869
