split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_modified,frequency_auc_modified,frequency_effect_modified,phenotype_status_modified,network_auc_delta
0,1.0,1.0,0.007349999706093513,berechnet,1.0,1.0,0.007587499727378599,berechnet,0.0
1,1.0,1.0,0.03382499888539314,berechnet,1.0,1.0,0.007237499694383587,berechnet,0.0
2,1.0,1.0,0.02643749872368062,berechnet,1.0,0.6875,0.004674999681810732,berechnet,0.0
3,1.0,1.0,0.00964999968164193,berechnet,1.0,1.0,0.0126874993002275,berechnet,0.0
4,0.875,0.875,0.001887500038719736,berechnet,1.0,0.875,0.0007999999907042366,berechnet,0.125
5,1.0,1.0,0.0126375000236294,berechnet,1.0,1.0,0.012937499891449988,berechnet,0.0
6,0.625,0.5,0.0030000001497683115,berechnet,0.875,0.5,0.003912499903890421,berechnet,0.25
7,0.75,0.75,0.0004624999937732355,berechnet,0.625,0.625,1.249999968422344e-05,berechnet,-0.125
8,0.5,0.9375,0.008874999533873051,berechnet,0.875,0.75,0.004487500104914943,berechnet,0.375
9,1.0,1.0,0.003224999913072679,berechnet,1.0,0.9375,0.0010374999219493475,berechnet,0.0
