split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,epochs_run,selected
0,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,3003105992,0.4,0.5,0.7158387699127198,10,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,3003106092,0.6,0.3333333333333333,0.6845562028884887,6,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,3003106192,0.6,0.6666666666666666,0.60433261146117,6,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,3003115992,0.6,0.0,0.6805211191177368,6,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,3003116092,0.8,1.0,0.29721392734954133,13,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,3003116192,0.6,0.6666666666666667,0.6374876749515533,7,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,3003125992,1.0,1.0,0.34925291649997237,8,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,3003126092,0.75,1.0,0.26282429493032394,7,False
0,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,3003126192,1.0,1.0,0.2415336992428638,8,True
1,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,976401080,0.8,1.0,0.3156736406031996,8,False
1,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,976401180,0.6,0.8333333333333333,0.4735521677136421,6,False
1,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,976401280,0.8,1.0,0.5175881245136261,6,False
1,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,976411080,0.4,0.5,0.7177164278030396,18,False
1,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,976411180,0.8,0.6666666666666667,0.6811230735778808,6,False
1,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,976411280,0.6,0.6666666666666667,0.6872201328277587,6,False
1,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,976421080,1.0,1.0,0.30066968202590943,14,False
1,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,976421180,1.0,1.0,0.10968206025660038,38,True
1,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,976421280,1.0,1.0,0.27331235378980634,8,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,3387213321,0.8,0.6666666666666666,0.6289998334050179,6,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,3387213421,0.6,1.0,0.475849653467536,6,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,3387213521,0.4,0.3333333333333333,0.914810537815094,6,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,3387223321,0.8,1.0,0.2885030106306076,8,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,3387223421,0.8,1.0,0.38441403523832557,8,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,3387223521,0.8,0.8333333333333334,0.41581509578228,7,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,3387233321,0.5,0.25,0.6933356380462646,7,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,3387233421,1.0,1.0,0.012807716568931937,10,False
2,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,3387233521,1.0,1.0,0.0043857151689007876,12,True
3,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,1360467008,0.6,0.3333333333333333,0.687099748134613,6,False
3,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,1360467108,0.6,0.8333333333333333,0.5843903241157532,8,False
3,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,1360467208,0.4,0.3333333333333333,1.0977671024799347,6,False
3,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,1360477008,0.8,0.8333333333333334,0.5092657844424248,9,False
3,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,1360477108,1.0,1.0,0.22428772169258446,10,True
3,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,1360477208,0.8,1.0,0.3998948048055172,8,False
3,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,1360487008,0.75,1.0,0.49052590131759644,7,False
3,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,1360487108,1.0,1.0,0.30290576338768005,15,False
3,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,1360487208,0.75,0.75,0.6025111508369446,7,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,876933380,1.0,1.0,0.024239315478131174,25,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,876933480,1.0,1.0,0.008047034242656083,46,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,876933580,1.0,1.0,0.007513312348164618,47,True
4,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,876943380,0.8,1.0,0.1621754917288199,9,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,876943480,0.8,1.0,0.22863184562698008,7,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,876943580,0.8,1.0,0.3213922418653965,7,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,876953380,0.75,0.5,0.5793783760070801,7,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,876953480,1.0,1.0,0.3514726710319519,7,False
4,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,876953580,0.5,0.75,0.7142859843373298,9,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,3424658861,0.8,1.0,0.38903608798980716,11,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,3424658961,1.0,1.0,0.24868245942145586,10,True
5,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,3424659061,0.6,0.8333333333333333,0.5163785373568535,7,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,3424668861,0.6,0.8333333333333334,0.5608250463046134,14,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,3424668961,0.8,0.8333333333333334,0.45912641334533694,6,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,3424669061,0.8,1.0,0.4249627327919006,7,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,3424678861,1.0,1.0,0.36592132865451277,18,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,3424678961,0.5,0.0,0.6999207472801209,6,False
5,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,3424679061,1.0,1.0,0.2914764442434534,32,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,2760305211,0.4,0.5,0.7126358547210694,8,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,2760305311,0.6,0.8333333333333333,0.8154994707107543,6,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,2760305411,0.4,1.0,0.8183783280849457,6,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,2760315211,0.6,0.5,1.3003626284003258,6,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,2760315311,0.6,0.5,2.6440502325221895,6,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,2760315411,0.4,0.5,0.7803662483692169,6,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,2760325211,0.25,0.5,0.6954210805892944,6,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,2760325311,1.0,1.0,0.00929373404243961,34,False
6,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,2760325411,1.0,1.0,0.001294969404116273,97,True
