number,short_name,detector_name,analysis_marker
1,Time,Time,no
2,Cell_length,Cell_length,no
3,CD3,CD3(Cd112)Dd,yes
4,Dead,Dead(In115)Dd,no
5,(La139)Dd,(La139)Dd,no
6,CD27,CD27(Pr141)Dd,yes
7,CD19,CD19(Nd142)Dd,yes
8,CD4,CD4(Nd143)Dd,yes
9,CD8,CD8(Nd144)Dd,yes
10,CD57,CD57(Nd145)Dd,yes
11,2DL1-S1,2DL1-S1(Nd146)Dd,yes
12,TRAIL,TRAIL(Sm147)Dd,yes
13,2DL2-L3-S2,2DL2-L3-S2(Nd148)Dd,yes
14,CD16,CD16(Sm149)Dd,yes
15,CD10,CD10(Nd150)Dd,yes
16,3DL1-S1,3DL1-S1(Eu151)Dd,yes
17,CD117,CD117(Sm152)Dd,yes
18,2DS4,2DS4(Eu153)Dd,yes
19,ILT2-CD85j,ILT2-CD85j(Gd154)Dd,yes
20,NKp46,NKp46(Gd155)Dd,yes
21,NKG2D,NKG2D(Gd156)Dd,yes
22,NKG2C,NKG2C(Gd157)Dd,yes
23,2B4,2B4(Gd158)Dd,yes
24,CD33,CD33(Tb159)Dd,yes
25,CD11b,CD11b(Gd160)Dd,yes
26,NKp30,NKp30(Dy161)Dd,yes
27,CD122,CD122(Dy162)Dd,yes
28,3DL1,3DL1(Dy163)Dd,yes
29,NKp44,NKp44(Dy164)Dd,yes
30,CD127,CD127(Ho165)Dd,yes
31,2DL1,2DL1(Er166)Dd,yes
32,CD94,CD94(Er167)Dd,yes
33,CD34,CD34(Er168)Dd,yes
34,CCR7,CCR7(Tm169)Dd,yes
35,2DL3,2DL3(Er170)Dd,yes
36,NKG2A,NKG2A(Yb171)Dd,yes
37,HLA-DR,HLA-DR(Yb172)Dd,yes
38,2DL4,2DL4(Yb173)Dd,yes
39,CD56,CD56(Yb174)Dd,yes
40,2DL5,2DL5(Lu175)Dd,yes
41,CD25,CD25(Yb176)Dd,yes
42,DNA1,DNA1(Ir191)Dd,no
43,DNA2,DNA2(Ir193)Dd,no
